Running Update Time,Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return,Itration
371,1855000,753.22,74.5724,-18950.17578125,30.4195,170.28,371
372,1860000,745.3,74.7659,-19005.732421875,30.1417,237.84,372
373,1865000,790.73,75.4243,-18949.8125,30.6179,201.85,373
374,1870000,593.82,74.1367,-19047.318359375,30.9056,234.45,374
375,1875000,739.78,74.3211,-19010.2578125,30.4092,264.18,375
376,1880000,889.14,74.3778,-19057.408203125,30.8518,194.67,376
377,1885000,742.76,74.8172,-19091.978515625,30.7029,259.13,377
378,1890000,445.0,74.216,-19058.462890625,30.8157,150.3,378
379,1895000,599.88,74.6015,-19146.33984375,30.8513,207.98,379
380,1900000,820.29,74.0076,-18980.1953125,30.2676,227.21,380
381,1905000,794.26,74.5051,-19114.85546875,30.7487,243.47,381
382,1910000,646.77,75.611,-19144.859375,30.8469,279.06,382
383,1915000,686.43,74.9441,-19055.744140625,30.9544,261.97,383
384,1920000,646.16,74.4259,-19137.275390625,30.6946,212.89,384
385,1925000,777.91,73.8736,-19034.98046875,30.9582,168.48,385
386,1930000,797.26,74.0044,-19041.267578125,30.6879,191.74,386
387,1935000,841.53,74.3273,-19116.73828125,30.4467,196.55,387
388,1940000,692.97,75.1565,-19140.15625,30.8483,218.01,388
389,1945000,589.1,74.7395,-19205.908203125,30.8567,168.76,389
390,1950000,737.22,75.9652,-19140.4921875,30.7464,148.68,390
391,1955000,652.91,73.7268,-19119.34765625,30.8135,255.38,391
392,1960000,792.05,74.0229,-19173.365234375,30.6832,196.41,392
393,1965000,702.85,73.4313,-19112.037109375,30.3032,186.52,393
394,1970000,830.4,74.4521,-19219.66015625,31.598,228.56,394
395,1975000,636.77,74.7856,-19259.388671875,31.1053,211.74,395
396,1980000,598.48,74.4698,-19188.88671875,31.1822,266.66,396
397,1985000,833.01,74.0253,-19158.8125,30.7864,185.97,397
398,1990000,634.82,74.9009,-19240.642578125,31.248,253.71,398
399,1995000,690.57,74.7251,-19204.890625,30.8269,222.12,399
400,2000000,742.71,74.1311,-19249.85546875,30.8046,269.27,400
401,2005000,664.9,75.3198,-19280.40625,31.3278,222.8,401
402,2010000,684.62,75.2693,-19230.1796875,31.1515,204.03,402
403,2015000,685.61,74.7428,-19181.78515625,30.609,282.69,403
404,2020000,734.29,75.2555,-19254.564453125,31.0356,221.5,404
