Running Update Time,Running Reverse KL,Running Forward KL,Itration,Reward Loss,Running Env Steps,Real Det Return,Real Sto Return
406,1529.8185,553.3455,406,-98890.7109375,2030000,141.02,135.23
407,903.2055,558.7564,407,-98897.875,2035000,160.89,146.85
408,867.1268,519.6171,408,-98473.296875,2040000,222.07,204.62
409,1281.4639,737.0123,409,-98931.515625,2045000,57.09,56.72
410,1771.7794,763.8507,410,-98728.2734375,2050000,57.02,57.48
411,2311.2076,672.3192,411,-97880.4375,2055000,96.4,101.52
412,1033.783,686.6548,412,-96934.8671875,2060000,60.51,60.32
413,1434.1141,711.7887,413,-98097.65625,2065000,63.48,63.62
414,2562.5789,720.213,414,-98487.25,2070000,60.34,60.34
415,1541.988,779.5836,415,-96420.1796875,2075000,57.16,57.14
416,3071.135,764.943,416,-97601.4296875,2080000,57.77,57.73
417,1797.4717,675.4878,417,-98638.2734375,2085000,140.13,150.89
418,2960.697,586.4699,418,-98740.4375,2090000,164.62,138.3
419,2230.8729,530.3549,419,-98624.671875,2095000,207.39,204.75
420,1934.5032,507.6284,420,-98368.5390625,2100000,286.75,309.72
421,3003.4049,654.8771,421,-98327.9765625,2105000,162.03,130.89
422,1119.7974,658.3336,422,-98035.109375,2110000,56.59,56.51
423,1646.8155,743.8042,423,-97181.6796875,2115000,55.92,55.91
424,1611.054,711.1423,424,-94408.6640625,2120000,56.2,56.05
425,2167.748,701.9415,425,-96527.5234375,2125000,56.19,57.08
426,3419.4861,801.4028,426,-98707.8671875,2130000,56.15,57.15
427,4027.1674,812.3532,427,-98943.9296875,2135000,58.59,58.52
428,2083.6176,754.2943,428,-98419.59375,2140000,58.0,57.99
429,2472.9363,755.8672,429,-98638.171875,2145000,57.47,57.79
430,3370.3695,752.5603,430,-98952.0625,2150000,59.29,59.27
431,3880.4515,747.646,431,-99073.796875,2155000,63.38,63.82
432,2316.1015,743.5442,432,-99137.1875,2160000,61.41,61.52
433,2179.4735,757.4052,433,-99405.78125,2165000,61.62,61.51
434,2383.3231,747.5093,434,-99195.8203125,2170000,61.75,61.13
435,2238.8981,747.7853,435,-99342.78125,2175000,59.79,59.81
436,1750.7068,745.9289,436,-99460.609375,2180000,57.08,56.87
437,2147.4114,746.1559,437,-99458.609375,2185000,59.32,59.37
438,2100.58,743.1759,438,-99422.9375,2190000,61.44,61.79
439,2286.6603,743.828,439,-99508.015625,2195000,58.24,58.14
440,1969.5427,738.989,440,-99492.1953125,2200000,60.14,60.31
441,2439.7178,732.2705,441,-99424.984375,2205000,58.87,58.84
442,2201.2084,734.5112,442,-99364.9375,2210000,59.82,60.12
443,2425.2747,758.3828,443,-99452.5625,2215000,59.12,58.95
444,2298.2732,767.5523,444,-99574.171875,2220000,58.37,58.3
445,2325.1551,745.185,445,-99551.0859375,2225000,59.66,59.65
446,1921.9989,742.2743,446,-99500.0703125,2230000,60.71,60.7
447,2490.4249,747.388,447,-99587.71875,2235000,59.46,59.54
448,2198.1284,749.4392,448,-99615.1171875,2240000,57.98,57.88
449,2193.6285,739.9325,449,-99544.796875,2245000,60.05,58.86
450,2239.5617,734.2519,450,-99458.5703125,2250000,62.37,62.12
451,2347.3252,728.4598,451,-99435.5234375,2255000,59.56,59.67
452,1808.5472,707.1885,452,-98910.5625,2260000,62.29,62.27
453,1231.9779,723.9809,453,-97325.5078125,2265000,59.88,59.88
454,2227.912,718.219,454,-99032.4921875,2270000,58.57,58.75
455,2363.1918,721.8013,455,-99291.046875,2275000,58.59,58.85
456,2302.7799,719.92,456,-99034.0078125,2280000,57.66,57.66
457,2445.022,742.9033,457,-99470.859375,2285000,61.53,61.53
458,2438.544,747.1365,458,-99564.046875,2290000,62.2,62.2
459,1840.2014,738.9909,459,-98957.8515625,2295000,63.39,63.43
460,2464.0829,729.6654,460,-99513.7890625,2300000,62.84,63.09
461,2267.8715,715.6468,461,-98978.4375,2305000,63.57,62.09
462,2368.2145,719.1802,462,-99385.453125,2310000,57.71,57.72
463,2436.1505,728.7673,463,-99397.6640625,2315000,57.41,57.41
464,2513.6058,755.6063,464,-99597.8203125,2320000,57.6,57.6
465,2533.7366,739.5565,465,-99466.515625,2325000,67.82,68.64
466,2517.4419,776.7412,466,-99576.640625,2330000,57.68,57.68
467,2555.325,723.8958,467,-99508.5078125,2335000,57.44,57.45
468,2406.619,535.7968,468,-99127.078125,2340000,158.37,111.96
469,2472.2538,632.7488,469,-99311.53125,2345000,202.6,201.97
470,2429.7116,734.9465,470,-99549.8984375,2350000,57.71,57.58
471,2363.477,723.546,471,-99435.6171875,2355000,59.72,59.56
472,2305.0554,727.4154,472,-99330.2734375,2360000,64.08,63.48
473,2511.1609,755.6213,473,-99563.6640625,2365000,53.88,53.89
474,2416.0651,737.3244,474,-99536.7109375,2370000,54.53,54.53
475,2169.8127,714.7093,475,-98814.4921875,2375000,57.83,57.66
476,2316.8037,721.1193,476,-99178.1953125,2380000,57.74,57.91
477,2199.4506,714.5599,477,-97918.5390625,2385000,85.62,86.74
478,2399.1654,734.3969,478,-99489.625,2390000,55.04,55.08
479,2412.0088,727.8326,479,-99440.5859375,2395000,56.88,57.23
480,2423.5856,739.3044,480,-99581.375,2400000,56.81,56.88
481,2393.6338,727.7644,481,-99524.25,2405000,57.5,57.38
482,2494.1395,776.0895,482,-99659.0703125,2410000,57.53,57.53
483,2435.704,785.0062,483,-99650.0,2415000,57.48,57.48
484,2440.1954,784.5907,484,-99628.8046875,2420000,57.12,57.13
485,2334.7135,734.2576,485,-99490.8125,2425000,62.61,61.85
486,1461.3059,773.1513,486,-99702.5859375,2430000,61.88,61.39
487,1334.7221,746.272,487,-99527.6484375,2435000,61.96,61.38
488,2132.4945,754.252,488,-99665.78125,2440000,59.82,60.49
489,2474.5327,761.9463,489,-99635.890625,2445000,60.86,60.81
490,1469.431,752.6569,490,-99607.328125,2450000,59.28,58.69
491,969.3529,749.009,491,-99626.3203125,2455000,59.59,59.59
492,1696.7677,746.4124,492,-99592.8203125,2460000,56.94,56.83
493,1825.7353,774.839,493,-99632.15625,2465000,57.15,57.12
494,1658.142,749.7744,494,-99538.671875,2470000,57.16,57.14
495,1473.1223,762.8961,495,-99567.609375,2475000,57.67,57.67
496,2082.0566,740.8585,496,-99433.65625,2480000,56.77,57.12
497,1385.21,762.2071,497,-99612.0234375,2485000,56.61,56.7
498,1382.6621,770.7443,498,-99620.5390625,2490000,56.99,56.95
499,1745.6772,755.0028,499,-99579.609375,2495000,57.2,57.21
500,1012.4277,725.7983,500,-99305.96875,2500000,57.25,57.31
501,1087.1664,766.817,501,-99611.421875,2505000,57.18,57.18
502,2593.765,767.4042,502,-99619.5390625,2510000,57.28,57.27
503,1286.1737,751.2697,503,-99693.65625,2515000,58.28,58.2
504,1402.9054,760.1498,504,-99615.5546875,2520000,57.2,57.55
505,761.3724,754.385,505,-99668.8515625,2525000,57.45,57.59
506,2883.9844,748.9459,506,-99601.2734375,2530000,57.68,57.81
507,3432.182,745.7467,507,-99588.0859375,2535000,57.48,57.8
508,2207.4172,762.7337,508,-99605.234375,2540000,57.25,57.3
509,1227.1394,732.4957,509,-99330.875,2545000,58.02,58.07
510,982.9055,735.0018,510,-99382.984375,2550000,57.63,57.64
511,919.0587,730.2142,511,-99371.0703125,2555000,57.63,57.63
512,1374.8786,742.0804,512,-99438.9140625,2560000,58.16,58.15
513,2754.3217,737.2025,513,-99240.4296875,2565000,58.23,58.27
514,1135.2423,724.7464,514,-99016.71875,2570000,58.04,58.27
515,1258.5996,731.2497,515,-99428.3046875,2575000,58.23,58.22
516,2065.2522,737.2521,516,-99358.7109375,2580000,58.05,57.99
517,2059.3917,734.3721,517,-99428.5546875,2585000,59.94,59.84
518,3037.7401,739.8407,518,-99457.578125,2590000,59.95,60.87
519,3732.7739,748.6097,519,-99461.1953125,2595000,59.92,60.97
520,2800.2976,754.2814,520,-99578.109375,2600000,59.73,60.61
521,1290.4053,745.6975,521,-99491.796875,2605000,58.81,59.66
522,1017.6311,794.7062,522,-99505.28125,2610000,59.97,60.73
523,3061.232,760.2667,523,-99583.2578125,2615000,59.33,60.56
524,1622.8417,761.1186,524,-99546.2265625,2620000,61.13,61.18
525,3517.4153,823.0335,525,-99632.1171875,2625000,58.86,59.61
526,1912.7101,767.5899,526,-99667.7890625,2630000,59.28,60.49
527,2142.9416,805.7705,527,-99640.625,2635000,59.88,60.71
528,4059.048,824.2727,528,-99670.0390625,2640000,59.98,60.55
529,4302.3233,822.0301,529,-99633.7890625,2645000,60.73,61.91
530,3857.1869,732.2806,530,-99584.5390625,2650000,62.57,62.86
531,1385.2921,741.8481,531,-98660.203125,2655000,62.52,62.94
532,2968.43,744.2109,532,-99426.171875,2660000,62.5,62.91
533,3265.5734,749.8733,533,-99745.5390625,2665000,63.59,64.21
534,2635.0696,767.6683,534,-99669.8984375,2670000,61.05,61.46
535,2119.2341,781.2728,535,-99686.7265625,2675000,61.06,60.21
536,2164.413,722.3973,536,-99626.96875,2680000,58.98,59.67
537,3606.0246,761.6411,537,-99677.1484375,2685000,57.46,58.27
538,2789.7943,751.8656,538,-99562.7421875,2690000,60.72,61.51
539,3452.0504,763.317,539,-99635.15625,2695000,61.87,61.93
540,3297.8683,757.6445,540,-99569.734375,2700000,60.61,61.1
541,2873.8711,751.8189,541,-99504.4609375,2705000,58.63,59.43
542,3311.7042,757.3218,542,-99625.5078125,2710000,60.27,60.3
543,4070.8949,779.855,543,-99624.7734375,2715000,60.43,60.66
544,3419.3227,748.4881,544,-99674.7578125,2720000,61.14,61.58
545,3339.411,753.3809,545,-99694.0078125,2725000,60.23,60.3
546,3142.8276,762.5296,546,-99687.203125,2730000,59.6,59.49
547,3059.3523,755.5388,547,-99704.0078125,2735000,60.23,59.93
548,1412.7563,743.358,548,-99441.78125,2740000,59.47,59.4
549,3167.3989,744.1729,549,-99609.28125,2745000,59.95,59.73
550,2774.9843,744.5921,550,-99600.96875,2750000,59.94,59.2
551,2867.3193,769.2108,551,-99659.1015625,2755000,58.33,58.87
552,3254.0468,750.9604,552,-99605.6953125,2760000,57.85,58.16
553,3384.2403,761.2451,553,-99671.734375,2765000,59.99,60.06
554,3704.8625,751.9505,554,-99610.0625,2770000,59.42,60.03
555,1682.8527,750.7822,555,-99646.9453125,2775000,59.91,59.48
556,3532.2647,764.1055,556,-99703.0,2780000,59.06,59.31
557,3823.6974,765.6724,557,-99693.8046875,2785000,59.03,59.3
558,2898.9732,747.2332,558,-99663.2265625,2790000,59.06,59.25
559,3455.2767,745.024,559,-99680.6796875,2795000,56.33,56.62
560,3539.7682,746.9249,560,-99675.7734375,2800000,57.34,58.39
561,2661.6092,739.1471,561,-99241.1015625,2805000,57.26,58.25
562,3740.7744,751.4748,562,-99577.6796875,2810000,58.34,58.88
563,2980.7383,734.3332,563,-99342.0703125,2815000,56.42,56.76
564,2516.4487,737.6672,564,-99284.171875,2820000,58.66,59.06
565,2692.2101,765.904,565,-99558.6953125,2825000,57.41,57.89
566,3835.1286,757.2204,566,-99650.7734375,2830000,58.46,59.17
567,3901.5804,757.1056,567,-99623.0859375,2835000,58.03,57.95
568,2925.9664,751.3481,568,-99568.4765625,2840000,57.31,57.56
569,3457.6695,763.431,569,-99717.484375,2845000,58.64,59.27
570,3750.5411,737.7409,570,-99605.5234375,2850000,57.59,58.28
571,3273.5553,753.1264,571,-99602.03125,2855000,57.36,58.66
572,3058.7279,740.7016,572,-99487.515625,2860000,57.79,57.61
573,3231.9753,755.8697,573,-99501.875,2865000,58.71,58.8
574,3759.6824,746.981,574,-99594.53125,2870000,60.07,59.86
575,3422.1067,738.1799,575,-99562.78125,2875000,57.94,58.19
576,2731.3401,737.6877,576,-99533.984375,2880000,58.83,58.66
577,2735.4061,745.0339,577,-99531.2109375,2885000,59.73,59.75
578,2970.0663,753.6423,578,-99578.828125,2890000,60.07,59.63
579,1869.7005,726.5119,579,-99564.046875,2895000,59.75,59.99
580,679.2408,746.1086,580,-99616.9609375,2900000,59.6,59.87
581,742.8291,699.7362,581,-98813.1796875,2905000,61.49,61.49
582,604.319,728.788,582,-99384.28125,2910000,61.76,61.62
583,3593.7981,737.681,583,-99548.3203125,2915000,58.84,59.27
584,593.9494,724.4404,584,-99488.8203125,2920000,61.04,61.04
585,600.2489,685.6519,585,-97801.78125,2925000,59.41,58.97
586,728.641,720.816,586,-99058.421875,2930000,57.3,57.78
587,600.7542,675.462,587,-97371.671875,2935000,58.96,59.44
588,640.1196,707.8894,588,-97522.21875,2940000,58.57,58.56
589,694.4362,714.2829,589,-99031.0,2945000,56.83,57.07
590,704.4903,783.8425,590,-99380.265625,2950000,59.85,59.62
591,924.2867,787.4132,591,-99552.859375,2955000,59.84,59.45
592,1013.4939,699.0096,592,-97744.640625,2960000,59.62,59.43
593,1028.3146,689.4042,593,-97272.015625,2965000,59.62,59.36
594,1620.5166,696.0663,594,-97865.7890625,2970000,56.93,57.27
595,1079.8251,724.0402,595,-98653.34375,2975000,56.88,57.08
596,1340.5782,721.4607,596,-99188.4609375,2980000,56.12,55.98
597,1131.902,714.3541,597,-98791.359375,2985000,56.02,56.2
598,999.9559,727.3761,598,-99031.71875,2990000,56.86,56.43
599,1186.4933,726.9641,599,-97559.8984375,2995000,56.45,57.03
