Running Update Time,Itration,Real Sto Return,Running Env Steps,Running Forward KL,Running Reverse KL,Reward Loss,Real Det Return
403,403,62.36,2015000,837.5855,860.8081,-98739.7265625,61.17
404,404,63.88,2020000,824.8437,723.0506,-98764.828125,61.17
405,405,65.38,2025000,827.2006,806.2435,-98821.1953125,64.06
406,406,63.24,2030000,822.6432,751.4664,-98845.7109375,61.67
407,407,65.03,2035000,826.8936,684.0203,-98863.6015625,61.61
408,408,62.78,2040000,818.6618,687.6169,-98899.5390625,61.0
409,409,63.24,2045000,820.5524,783.4767,-98934.3671875,62.38
410,410,65.34,2050000,758.1294,906.7532,-98622.5390625,63.68
411,411,64.04,2055000,673.0647,701.3554,-98844.4140625,62.93
412,412,116.84,2060000,603.3644,707.0155,-91771.1953125,117.74
413,413,92.97,2065000,691.2588,652.408,-94815.6953125,92.95
414,414,219.11,2070000,593.0824,1071.1724,-90818.171875,218.02
415,415,243.34,2075000,510.0709,903.4434,-89060.734375,214.33
416,416,239.68,2080000,530.2459,748.8641,-94110.6328125,252.0
417,417,146.14,2085000,602.0967,775.2718,-95079.953125,143.08
418,418,168.08,2090000,613.0302,798.1066,-98796.203125,167.24
419,419,78.49,2095000,652.3413,783.3651,-98292.046875,66.6
420,420,65.12,2100000,842.611,836.7384,-98987.3046875,64.37
421,421,66.47,2105000,845.907,847.1646,-99121.046875,63.98
422,422,64.79,2110000,857.8211,884.0042,-99000.609375,63.55
423,423,63.75,2115000,853.2849,880.6644,-99099.484375,63.98
424,424,187.41,2120000,617.9987,830.9031,-98991.78125,199.67
425,425,209.68,2125000,660.7071,786.7856,-98679.109375,212.2
426,426,166.96,2130000,591.2699,793.3859,-99012.671875,170.03
427,427,160.85,2135000,563.5895,720.6255,-98839.8046875,169.75
428,428,181.07,2140000,616.5104,747.9687,-99000.375,188.88
429,429,324.12,2145000,501.6282,657.3036,-97748.9765625,356.63
430,430,326.14,2150000,492.6666,699.3205,-94937.203125,352.15
431,431,245.85,2155000,501.207,713.0646,-98284.078125,234.56
432,432,64.98,2160000,850.5148,805.8085,-99123.9921875,65.57
433,433,65.57,2165000,842.229,730.24,-99209.7890625,62.61
434,434,65.16,2170000,819.4672,699.4201,-99229.8984375,65.15
435,435,65.48,2175000,796.6654,655.2204,-99181.078125,64.14
436,436,64.2,2180000,790.6935,584.4884,-99228.171875,64.54
437,437,64.69,2185000,758.4945,540.8905,-99195.3359375,63.93
438,438,64.45,2190000,784.0794,530.9995,-99249.9609375,65.35
439,439,64.4,2195000,765.0093,501.133,-99258.5546875,64.77
440,440,65.72,2200000,776.1987,476.1367,-99285.6015625,64.26
441,441,66.72,2205000,736.4505,447.587,-99230.2578125,64.35
442,442,67.0,2210000,675.1092,407.9508,-98083.2734375,66.55
443,443,66.41,2215000,711.6243,417.6766,-99118.1796875,66.22
444,444,67.33,2220000,696.0745,396.0651,-95192.5703125,66.69
445,445,65.75,2225000,661.6819,390.7509,-97810.6796875,64.01
446,446,69.11,2230000,664.7563,389.7247,-98120.15625,67.42
447,447,66.97,2235000,657.1341,366.4275,-93718.4375,67.59
448,448,67.94,2240000,677.9258,394.1954,-99116.828125,68.23
449,449,68.47,2245000,705.4407,415.0736,-99238.578125,68.67
450,450,67.72,2250000,644.793,379.0535,-97373.2578125,67.28
451,451,68.18,2255000,666.1787,387.1186,-98494.453125,67.15
452,452,67.92,2260000,682.5246,390.1529,-99152.625,68.71
453,453,68.49,2265000,680.6433,372.2126,-98675.0703125,66.15
454,454,66.0,2270000,677.7361,381.4545,-99164.171875,66.43
455,455,67.38,2275000,676.892,381.9864,-99227.3671875,67.31
456,456,66.92,2280000,675.359,381.6664,-99152.671875,67.22
457,457,67.81,2285000,674.789,384.6968,-99013.984375,65.45
458,458,67.68,2290000,699.6476,440.1214,-98875.28125,67.26
459,459,68.3,2295000,717.0889,434.3506,-98718.015625,67.9
460,460,67.65,2300000,729.232,449.5924,-98550.7734375,67.17
461,461,68.75,2305000,719.1982,417.1789,-97858.4296875,67.57
462,462,69.01,2310000,718.1733,417.7814,-97416.9296875,68.05
463,463,68.37,2315000,683.5346,444.4428,-98098.0234375,68.07
464,464,68.4,2320000,665.664,454.9634,-97803.4453125,68.11
465,465,68.2,2325000,659.6857,463.0878,-98176.359375,68.11
466,466,68.55,2330000,642.8025,451.0214,-98082.96875,67.27
467,467,68.35,2335000,673.247,452.4227,-97906.6171875,68.2
468,468,68.16,2340000,660.4346,482.2442,-96918.9453125,67.52
469,469,68.09,2345000,653.1242,477.6956,-97523.4375,66.38
470,470,67.21,2350000,655.2828,486.1298,-97983.1015625,66.01
471,471,68.13,2355000,658.3866,478.9444,-97815.5390625,66.73
472,472,66.86,2360000,652.182,458.3305,-97856.6953125,65.38
473,473,66.37,2365000,666.6925,458.6051,-98272.0234375,64.56
474,474,65.78,2370000,678.5694,477.8717,-98435.484375,65.61
475,475,66.18,2375000,674.9071,521.509,-98010.859375,63.25
476,476,67.27,2380000,700.0387,485.2918,-97241.8125,65.97
477,477,66.04,2385000,686.3026,450.5824,-97902.984375,64.53
478,478,66.77,2390000,676.0361,430.9161,-98041.53125,64.43
479,479,67.31,2395000,679.0595,472.0472,-97395.625,65.03
480,480,66.48,2400000,664.6777,423.7593,-97842.8671875,65.28
481,481,66.6,2405000,669.2018,458.6433,-98650.09375,66.16
482,482,67.2,2410000,676.2112,486.774,-98382.578125,67.08
483,483,65.49,2415000,676.596,471.7442,-97896.828125,64.52
484,484,65.78,2420000,673.5163,457.8335,-98147.7421875,63.75
485,485,65.76,2425000,677.4191,474.5473,-98487.8203125,62.66
486,486,65.4,2430000,670.4565,467.5852,-97368.2421875,64.33
487,487,65.75,2435000,665.2019,480.6329,-98748.2734375,63.79
488,488,65.59,2440000,669.681,445.5616,-97552.6875,65.75
489,489,65.85,2445000,682.7705,462.0367,-96021.2265625,65.2
490,490,66.18,2450000,665.3735,469.2036,-96520.703125,65.22
491,491,67.11,2455000,658.9496,465.823,-97176.46875,65.55
492,492,66.58,2460000,647.667,428.7302,-96702.140625,66.09
493,493,66.46,2465000,669.4007,447.7639,-96882.9765625,64.64
494,494,66.21,2470000,671.4641,474.0269,-97629.34375,65.0
495,495,65.52,2475000,676.2131,493.4182,-99147.765625,64.67
496,496,66.49,2480000,677.3148,519.0645,-99232.515625,65.32
497,497,66.9,2485000,681.2274,509.4064,-99245.0625,64.2
498,498,67.02,2490000,667.9767,501.1918,-99139.453125,66.11
499,499,67.73,2495000,669.0954,491.9831,-99271.296875,67.35
500,500,67.42,2500000,676.9178,487.3232,-99260.84375,66.27
501,501,67.47,2505000,683.1725,525.333,-99286.875,65.61
502,502,67.54,2510000,669.0427,491.1628,-98937.5234375,66.5
503,503,68.53,2515000,668.0734,495.7467,-98722.4609375,68.71
504,504,69.72,2520000,666.7837,506.1599,-99366.171875,69.91
505,505,69.62,2525000,665.289,503.6977,-99231.53125,69.8
506,506,69.62,2530000,681.7026,536.7511,-99374.125,69.04
507,507,70.29,2535000,680.628,535.5202,-99272.7109375,71.36
508,508,72.04,2540000,648.6939,512.8911,-98935.25,72.84
509,509,71.74,2545000,666.2766,548.9373,-99275.3046875,73.83
510,510,72.74,2550000,669.4788,549.2273,-99231.296875,72.8
511,511,73.7,2555000,653.1898,503.3983,-99013.8984375,73.28
512,512,72.2,2560000,667.1947,559.2023,-99220.96875,73.38
513,513,70.94,2565000,652.8741,509.0949,-99217.3203125,70.46
514,514,73.77,2570000,645.0873,514.4623,-98067.984375,73.45
515,515,73.16,2575000,674.2132,555.3683,-99340.1171875,71.35
516,516,69.31,2580000,653.6016,513.3129,-98654.1015625,70.73
517,517,70.87,2585000,684.9878,565.306,-99292.2578125,74.33
518,518,71.75,2590000,653.4362,545.3512,-99135.9765625,73.31
519,519,73.81,2595000,661.3242,533.15,-98824.6796875,75.55
520,520,76.31,2600000,659.761,544.6615,-99028.796875,74.22
521,521,72.48,2605000,657.1478,525.6935,-98966.5234375,75.19
522,522,72.76,2610000,683.5124,568.4055,-99500.46875,72.98
523,523,73.13,2615000,657.2855,512.6999,-98383.5625,72.91
524,524,71.4,2620000,691.6321,576.9218,-99468.8984375,71.11
525,525,69.01,2625000,668.6728,547.0111,-98554.1875,70.8
526,526,71.08,2630000,653.6968,500.7313,-98544.515625,72.51
527,527,70.35,2635000,695.3833,621.9344,-99511.765625,71.2
528,528,65.92,2640000,699.2002,690.6064,-99461.15625,64.72
529,529,68.73,2645000,732.578,671.6515,-99359.015625,68.62
530,530,159.07,2650000,599.7651,758.3118,-97346.6015625,164.1
531,531,195.43,2655000,521.6409,1192.3139,-94050.140625,193.6
532,532,225.44,2660000,535.3052,769.0434,-94693.2109375,225.67
533,533,352.84,2665000,541.4471,1277.9655,-94180.5625,365.81
534,534,238.02,2670000,568.7023,378.4056,-96771.515625,236.07
535,535,282.98,2675000,527.9744,285.2792,-95065.984375,250.5
536,536,312.82,2680000,510.2194,434.5577,-92799.984375,277.65
537,537,385.72,2685000,497.8663,407.761,-91073.0390625,373.1
538,538,69.97,2690000,580.5836,494.7724,-92016.0546875,69.36
539,539,121.17,2695000,579.6611,456.2621,-85391.4375,93.73
540,540,113.18,2700000,574.3735,700.1949,-84289.1875,137.5
541,541,114.85,2705000,592.2601,715.8108,-86626.6953125,127.8
542,542,253.91,2710000,555.018,922.4025,-91991.84375,286.95
543,543,282.58,2715000,537.4773,827.7907,-91704.921875,265.55
544,544,224.27,2720000,593.0889,994.3772,-97344.9921875,156.92
545,545,61.4,2725000,848.0593,1272.2279,-99451.9453125,62.5
546,546,69.2,2730000,741.1429,965.4156,-98652.53125,68.35
547,547,66.27,2735000,842.2193,837.9298,-99347.859375,66.76
548,548,81.72,2740000,751.9638,917.2775,-99417.21875,93.68
549,549,89.28,2745000,746.7267,966.464,-99318.3125,73.85
550,550,55.99,2750000,754.3735,986.3435,-99568.6484375,56.07
551,551,175.19,2755000,622.1592,866.5651,-98452.484375,164.86
552,552,284.8,2760000,586.904,855.4044,-98316.40625,286.92
553,553,254.74,2765000,638.8706,814.7227,-97898.96875,261.05
554,554,321.99,2770000,520.7167,906.4662,-98276.3671875,315.51
555,555,386.78,2775000,496.5135,786.0621,-95512.1015625,414.28
556,556,236.93,2780000,523.1124,962.3724,-98273.546875,224.94
557,557,217.65,2785000,523.2986,1003.0889,-96276.296875,200.06
558,558,133.37,2790000,538.5273,797.1745,-95254.4609375,140.73
559,559,148.47,2795000,575.8972,755.6692,-96226.7578125,146.7
560,560,179.24,2800000,565.061,922.6228,-96846.296875,198.85
561,561,185.52,2805000,535.1912,910.8897,-95927.8046875,187.75
562,562,197.69,2810000,504.6541,1215.1748,-96608.75,245.41
563,563,173.11,2815000,612.8899,1165.0744,-96167.78125,170.88
564,564,158.42,2820000,523.1557,1099.3417,-98197.953125,171.95
565,565,277.99,2825000,529.5678,1352.8972,-98756.46875,256.44
566,566,92.77,2830000,587.8526,1187.5695,-98671.7734375,87.48
567,567,210.0,2835000,557.728,1087.5772,-95964.796875,218.29
568,568,67.43,2840000,634.942,1394.8527,-99175.265625,65.78
569,569,76.41,2845000,735.9309,1380.9376,-99123.0703125,69.24
570,570,56.92,2850000,782.2882,1413.7937,-99248.7421875,57.75
571,571,58.29,2855000,767.7182,1402.2166,-99224.96875,57.13
572,572,55.83,2860000,779.1877,1418.5195,-99374.359375,50.63
573,573,56.48,2865000,781.2944,1417.0578,-99357.8984375,55.92
574,574,57.04,2870000,766.4277,1409.8861,-99416.2421875,57.06
575,575,51.93,2875000,771.9067,1443.4043,-99408.96875,52.65
576,576,60.63,2880000,769.0783,1428.1244,-99289.703125,59.77
577,577,62.99,2885000,693.9606,1250.4578,-98860.8828125,63.02
578,578,61.22,2890000,774.5414,1420.4768,-99328.421875,61.44
579,579,61.13,2895000,777.7008,1452.6653,-99261.453125,63.0
580,580,61.14,2900000,761.5987,1410.5199,-99220.328125,62.48
581,581,61.34,2905000,732.457,1299.2917,-98631.6640625,60.74
582,582,61.78,2910000,757.4942,1366.6052,-99131.921875,63.38
583,583,58.88,2915000,714.9374,1302.6235,-98956.921875,58.92
584,584,58.34,2920000,750.5395,1291.5975,-99313.8828125,58.33
585,585,62.08,2925000,763.1495,1342.3215,-99413.5234375,62.19
586,586,59.43,2930000,761.7363,1385.0157,-99518.21875,58.85
587,587,112.43,2935000,690.3851,1255.4481,-99350.9921875,107.81
588,588,57.3,2940000,778.9168,1406.3751,-99577.125,56.68
589,589,55.61,2945000,780.0452,1422.6475,-99587.1875,55.77
590,590,57.49,2950000,772.3689,1383.3222,-99537.4296875,57.71
591,591,57.1,2955000,791.8708,1407.814,-99604.28125,57.23
592,592,55.63,2960000,784.8724,1410.3694,-99586.5234375,56.1
593,593,53.81,2965000,786.1054,1385.0096,-99583.296875,53.2
594,594,50.35,2970000,783.317,1371.2486,-99535.1953125,48.48
595,595,49.45,2975000,795.2609,1413.0141,-99577.7421875,47.02
596,596,47.92,2980000,793.397,1408.7695,-99597.9453125,46.8
597,597,48.01,2985000,794.4689,1403.8616,-99586.5390625,46.9
598,598,56.09,2990000,795.4444,1359.3929,-99636.65625,55.91
599,599,47.75,2995000,794.4109,1350.1367,-99617.9609375,46.8
