Running Update Time,Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Real Sto Return,Reward Loss
386,156.5668,15.1458,1930000,386,2336.71,1931.16,-12412.025390625
387,156.5607,14.864,1935000,387,2297.68,1916.07,-12491.2568359375
388,156.6058,15.1937,1940000,388,2327.7,1973.62,-12516.9794921875
389,156.6801,15.1312,1945000,389,2306.18,1952.14,-12536.2373046875
390,156.4557,15.052,1950000,390,2309.44,1937.87,-12514.8544921875
391,156.4723,15.1184,1955000,391,2322.87,1951.07,-12558.4052734375
392,156.6295,15.083,1960000,392,2311.6,1944.54,-12584.6494140625
393,156.6109,15.0554,1965000,393,2322.55,1954.66,-12583.4228515625
394,156.5896,15.0757,1970000,394,2329.59,1959.36,-12633.0830078125
395,156.6478,15.1008,1975000,395,2282.95,1940.88,-12634.99609375
396,156.6432,15.2585,1980000,396,2330.71,1959.78,-12670.1328125
397,156.4762,14.9214,1985000,397,2286.99,1911.81,-12647.138671875
398,156.5002,15.0793,1990000,398,2304.93,1961.17,-12669.435546875
399,156.4364,15.0991,1995000,399,2317.03,1948.7,-12761.560546875
400,156.5121,15.1845,2000000,400,2307.09,1961.47,-12757.56640625
