Running Env Steps,Itration,Running Forward KL,Reward Loss,Real Sto Return,Running Update Time,Running Reverse KL,Real Det Return
1930000,386,156.6891,-13000.6044921875,2003.91,386,15.414,2332.94
1935000,387,156.5462,-13042.349609375,2012.14,387,15.5401,2363.97
1940000,388,156.6691,-13161.716796875,1994.78,388,15.4683,2351.56
1945000,389,156.6237,-13120.7158203125,2003.95,389,15.3967,2342.07
1950000,390,156.6462,-13121.05859375,1953.57,390,15.2458,2330.59
1955000,391,156.6904,-13131.4453125,1971.22,391,15.2714,2334.17
1960000,392,156.5145,-13128.6865234375,1945.12,392,15.1896,2322.35
1965000,393,156.3886,-13186.724609375,1970.72,393,15.3404,2329.12
1970000,394,156.7178,-13206.15625,1947.43,394,15.2404,2348.65
1975000,395,156.6203,-13219.2373046875,1941.41,395,15.1361,2329.81
1980000,396,156.6769,-13272.4521484375,1958.61,396,15.2461,2304.87
1985000,397,156.3253,-13374.6533203125,1922.69,397,15.3063,2337.27
1990000,398,156.5392,-13398.041015625,1963.24,398,15.7214,2226.06
1995000,399,156.3557,-13199.7890625,1911.68,399,14.9065,2226.39
2000000,400,156.4892,-13153.4501953125,1829.37,400,14.7332,2141.78
2005000,401,158.2652,-13253.703125,-181.8,401,24.7667,-218.25
