Itration,Real Sto Return,Real Det Return,Running Forward KL,Running Reverse KL
366,4969.34,5070.99,38.6026,17.325
367,4965.08,5043.81,38.2679,17.4025
368,4948.89,5019.22,38.2874,16.5703
369,4954.23,5021.74,38.6715,17.3365
370,4971.75,5072.61,38.3507,17.0932
371,5024.82,5107.89,38.8935,18.1579
372,4972.53,5075.74,38.9177,17.5089
373,4894.62,5102.43,38.7409,17.7597
374,4991.46,5085.36,38.9511,17.7038
375,4971.32,5082.33,38.7403,17.2041
376,4961.69,5061.21,38.2515,16.5026
377,5036.79,5121.76,38.458,17.4179
378,4930.74,5034.5,38.8215,17.3843
379,4951.39,5051.64,38.6578,16.756
380,4995.87,5082.98,38.2529,16.7743
381,4935.55,5062.05,38.4069,16.9382
382,4966.47,5049.5,38.7851,17.0788
383,4979.84,5046.72,38.6186,16.9713
384,4942.02,5044.81,38.2044,16.9339
385,4953.77,5040.72,38.0392,16.8153
386,4978.11,5052.76,38.2507,17.032
387,4982.9,5065.57,38.3108,17.1821
388,4924.9,5064.69,37.8771,16.7698
389,4799.98,5000.88,38.0003,16.8993
390,4830.56,5072.57,38.4533,17.0704
391,4981.97,5091.1,38.1155,17.8442
392,4928.03,5018.44,37.7742,16.1457
393,4965.89,5118.41,38.5669,16.7623
394,4932.5,5065.14,38.1991,16.7742
395,4957.11,5077.9,38.3172,16.9099
396,4954.56,5078.89,38.4399,17.1056
397,4961.4,5062.05,38.5093,17.0801
398,4859.79,5091.47,38.2552,16.6478
399,4950.83,5051.44,38.4513,17.4826
400,4985.81,5094.88,38.4518,16.8892
401,4966.15,5065.64,38.4334,16.7246
402,4655.75,5032.82,38.8413,18.0875
403,4959.69,5057.51,38.4694,17.8002
404,4978.24,5064.56,38.9372,17.7487
405,4948.85,5061.62,39.1695,16.2961
406,4972.35,5050.5,38.6744,17.1646
407,4953.5,5053.34,39.1386,15.7919
408,4958.12,5064.5,38.3725,17.0761
409,4751.93,5044.97,38.3604,16.1162
410,4927.56,5068.78,38.339,17.2533
411,4625.99,5077.62,38.0216,16.5209
412,4325.84,5085.89,38.726,16.7477
413,4996.84,5107.65,38.5276,15.7793
414,4781.95,5119.27,38.9503,17.4897
415,4990.4,5129.0,38.6735,17.3067
416,4997.59,5103.34,38.7523,19.6966
417,4968.11,5068.01,38.286,16.902
418,4985.66,5086.45,38.0419,16.7272
419,4967.54,5062.39,38.6412,17.001
420,4992.29,5081.97,38.2361,16.6489
421,4971.0,5049.89,38.7197,16.9288
422,4922.03,5030.13,38.448,16.6876
423,4967.35,5059.74,38.4843,16.7948
