Real Det Return,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Running Env Steps,Running Reverse KL,Itration
2203.03,244,4339.23,-17896.94140625,301.4788,1220000,132.8765,244
2564.18,245,4050.83,-18095.66796875,305.2896,1225000,123.8449,245
2257.48,246,4848.1,-18030.08984375,321.6783,1230000,134.1158,246
2597.38,247,2968.94,-18285.97265625,318.9429,1235000,172.2166,247
2973.98,248,4326.44,-17853.158203125,301.9346,1240000,103.9103,248
1600.01,249,2872.9,-18375.58984375,328.4558,1245000,187.9122,249
4321.8,250,4550.36,-18163.4453125,300.5232,1250000,114.2587,250
2273.08,251,4158.5,-17861.33984375,299.6025,1255000,115.8873,251
3179.37,252,4815.6,-17757.01953125,293.8734,1260000,102.0,252
4919.54,253,4425.27,-18018.818359375,302.4228,1265000,98.9219,253
5154.62,254,4392.65,-18088.583984375,311.2742,1270000,116.3989,254
3825.62,255,3648.36,-18013.78515625,304.6451,1275000,111.027,255
4614.79,256,3785.96,-18004.30859375,308.2894,1280000,130.6993,256
4637.53,257,4759.22,-17737.869140625,292.2137,1285000,104.4178,257
5183.1,258,4963.02,-17804.171875,302.3462,1290000,104.6205,258
1314.55,259,3964.1,-17678.1015625,298.9117,1295000,99.9043,259
4739.01,260,4598.22,-17871.89453125,291.9634,1300000,93.4926,260
3780.71,261,4401.03,-17888.63671875,295.8987,1305000,105.0977,261
4672.06,262,3598.01,-17470.2109375,289.864,1310000,98.7093,262
3860.84,263,4424.77,-17729.443359375,294.0378,1315000,108.2506,263
4700.23,264,4394.99,-17830.470703125,292.1091,1320000,91.5529,264
5171.69,265,3813.61,-17731.03125,298.7958,1325000,108.15,265
3377.01,266,3516.07,-18136.078125,311.1972,1330000,128.1381,266
4065.52,267,4016.69,-17720.322265625,294.2306,1335000,130.4729,267
4533.4,268,4611.77,-17847.849609375,289.3937,1340000,97.8159,268
5027.28,269,4257.62,-17445.98828125,292.9707,1345000,115.7193,269
4246.69,270,3268.05,-18160.625,306.0396,1350000,161.7945,270
3733.28,271,4322.68,-17826.69140625,303.805,1355000,130.8203,271
4730.54,272,4586.67,-17406.482421875,286.7076,1360000,86.8979,272
4361.99,273,3912.42,-17783.392578125,296.504,1365000,97.9775,273
4471.39,274,3766.01,-18256.294921875,307.9925,1370000,139.9303,274
3944.2,275,3664.77,-17564.564453125,301.7735,1375000,134.4646,275
3542.29,276,3654.12,-17332.654296875,290.5058,1380000,112.9071,276
4706.94,277,3064.53,-17888.08203125,295.6536,1385000,135.3255,277
3166.69,278,2977.18,-17121.978515625,313.4075,1390000,137.4396,278
4711.23,279,3409.31,-17802.158203125,297.3521,1395000,112.581,279
4553.37,280,3934.79,-17880.1015625,303.8139,1400000,153.1889,280
2766.88,281,3572.2,-17575.576171875,299.6093,1405000,125.4586,281
4003.63,282,4002.67,-17884.79296875,308.4515,1410000,150.7192,282
3237.24,283,3026.54,-17327.037109375,311.1732,1415000,135.4229,283
2422.66,284,2958.81,-17375.060546875,312.4135,1420000,138.0561,284
2759.25,285,3560.95,-17423.373046875,308.3718,1425000,122.8492,285
4221.96,286,4008.06,-17614.240234375,295.1813,1430000,104.1332,286
1763.29,287,2145.94,-16982.28125,339.3176,1435000,166.2861,287
1591.0,288,2007.76,-17039.4296875,333.6314,1440000,174.6246,288
1842.62,289,1826.63,-17426.46875,337.9155,1445000,184.7775,289
4117.72,290,2585.93,-17162.09765625,343.5293,1450000,187.3162,290
1184.5,291,1031.26,-17882.59375,377.857,1455000,239.7058,291
772.27,292,692.45,-18438.701171875,399.5129,1460000,251.8612,292
480.74,293,438.93,-18494.380859375,429.5697,1465000,280.1799,293
709.16,294,580.01,-18639.1640625,428.588,1470000,267.8408,294
339.68,295,315.19,-18454.359375,441.7138,1475000,258.9682,295
662.51,296,629.12,-18418.08203125,409.2832,1480000,247.1743,296
771.48,297,660.4,-18316.626953125,409.1608,1485000,260.8758,297
658.8,298,816.62,-18662.111328125,460.6322,1490000,262.1107,298
346.67,299,410.86,-18676.056640625,483.609,1495000,279.6103,299
625.61,300,554.32,-17510.1328125,432.813,1500000,242.9075,300
440.33,301,587.19,-17702.65625,401.4382,1505000,245.8749,301
219.44,302,456.49,-17701.126953125,429.8672,1510000,286.701,302
724.71,303,590.07,-17716.458984375,423.5863,1515000,272.9774,303
203.85,304,320.55,-17110.962890625,467.5409,1520000,308.0159,304
325.91,305,475.77,-16967.80078125,446.3674,1525000,300.8239,305
371.91,306,288.55,-16846.908203125,443.9617,1530000,278.7403,306
345.44,307,298.13,-16292.8330078125,497.5102,1535000,312.6763,307
171.96,308,215.67,-17578.33203125,448.2757,1540000,361.6888,308
332.66,309,233.08,-18433.376953125,477.6149,1545000,342.0649,309
324.09,310,298.38,-17519.775390625,450.6231,1550000,327.319,310
384.7,311,343.9,-18379.451171875,492.7065,1555000,340.6166,311
447.52,312,398.45,-18278.1484375,457.3738,1560000,307.8313,312
383.6,313,400.62,-18494.064453125,481.724,1565000,409.7426,313
185.82,314,226.86,-17760.625,502.0411,1570000,302.1912,314
272.19,315,271.22,-18049.484375,488.489,1575000,459.0006,315
317.05,316,328.84,-18671.177734375,488.0661,1580000,661.57,316
290.59,317,318.07,-18662.41015625,519.0725,1585000,375.8272,317
263.74,318,340.35,-18128.701171875,484.3104,1590000,421.3793,318
192.85,319,231.92,-17416.55859375,489.1303,1595000,403.2566,319
355.51,320,339.35,-18011.6796875,465.5833,1600000,1486.2418,320
346.18,321,373.71,-18041.8125,472.0867,1605000,581.6284,321
247.43,322,324.02,-18561.46875,479.8662,1610000,1010.6592,322
232.67,323,226.35,-19047.6484375,554.1439,1615000,478.0347,323
281.28,324,273.27,-18860.1484375,485.8876,1620000,448.6355,324
194.61,325,176.91,-18576.9921875,574.1915,1625000,403.7637,325
151.09,326,188.79,-14761.779296875,543.5268,1630000,612.5716,326
156.59,327,140.96,-18508.900390625,582.7896,1635000,776.6844,327
167.79,328,116.52,-17166.2890625,579.3853,1640000,473.8826,328
134.24,329,131.43,-14489.7275390625,509.4863,1645000,1403.4721,329
210.88,330,219.02,-14006.54296875,489.1505,1650000,818.4982,330
248.93,331,217.28,-16634.392578125,507.6579,1655000,1057.4518,331
251.03,332,266.96,-17534.5859375,486.8222,1660000,579.5846,332
244.55,333,238.38,-15873.5146484375,502.5871,1665000,961.6983,333
200.53,334,191.95,-18327.591796875,505.1796,1670000,493.3109,334
206.27,335,194.19,-17924.640625,505.9004,1675000,477.4998,335
159.51,336,145.75,-17307.669921875,511.5619,1680000,495.1871,336
136.65,337,132.3,-16586.638671875,560.047,1685000,454.6734,337
126.25,338,147.25,-17956.146484375,586.6529,1690000,1449.6444,338
151.61,339,149.08,-18505.771484375,548.9975,1695000,1007.133,339
167.36,340,166.28,-17911.02734375,536.7219,1700000,618.2371,340
181.9,341,167.22,-19045.947265625,547.0828,1705000,916.3241,341
142.13,342,129.91,-18923.3515625,553.1345,1710000,970.3635,342
177.57,343,180.48,-19195.869140625,542.6137,1715000,535.6554,343
181.5,344,169.96,-18211.1875,529.6939,1720000,630.3941,344
226.97,345,246.14,-17779.494140625,504.7798,1725000,505.4415,345
279.16,346,279.91,-18345.130859375,499.0612,1730000,1416.888,346
290.11,347,284.96,-15655.1669921875,511.7645,1735000,623.2957,347
333.43,348,329.8,-16477.4140625,516.664,1740000,1212.6926,348
307.34,349,305.18,-14865.095703125,510.1127,1745000,723.6697,349
246.99,350,285.67,-18039.501953125,523.608,1750000,690.7132,350
259.65,351,261.31,-18071.4921875,504.6043,1755000,1510.1956,351
230.38,352,232.18,-19447.234375,525.1379,1760000,1621.1806,352
213.44,353,213.05,-19448.201171875,526.8393,1765000,743.0708,353
189.36,354,197.55,-19118.904296875,567.8521,1770000,2012.7337,354
317.73,355,332.4,-18798.0703125,488.9161,1775000,1169.0553,355
419.79,356,410.93,-19041.8671875,484.7513,1780000,1881.9821,356
373.48,357,371.95,-19048.35546875,490.7765,1785000,1040.5508,357
177.14,358,181.63,-19482.43359375,540.0711,1790000,1633.4364,358
229.6,359,238.4,-19168.296875,531.1542,1795000,1573.8646,359
207.74,360,202.01,-19359.37109375,532.7758,1800000,1807.5088,360
246.35,361,266.54,-19368.900390625,516.0049,1805000,1309.7664,361
288.46,362,265.85,-19021.919921875,495.0414,1810000,1350.3516,362
305.46,363,306.99,-19209.9765625,497.532,1815000,1848.5252,363
232.13,364,234.31,-19285.0078125,483.6346,1820000,2404.0699,364
250.53,365,239.34,-19154.29296875,514.201,1825000,2058.2494,365
333.58,366,326.92,-19222.658203125,502.8568,1830000,2292.0536,366
367.88,367,366.77,-19289.21484375,500.3969,1835000,904.5982,367
292.13,368,262.57,-19218.94921875,512.1564,1840000,2564.6228,368
296.92,369,261.74,-19475.265625,525.4547,1845000,2999.8384,369
250.37,370,266.41,-19261.61328125,496.1491,1850000,1534.2781,370
258.26,371,230.42,-19074.99609375,498.1381,1855000,2156.5578,371
366.32,372,319.49,-18904.357421875,479.1258,1860000,3330.7298,372
238.95,373,246.61,-19209.400390625,510.9017,1865000,2131.1741,373
236.9,374,271.05,-19137.458984375,490.0658,1870000,1251.4498,374
345.31,375,303.12,-19079.203125,467.3711,1875000,2350.1066,375
242.28,376,260.27,-19143.47265625,479.1379,1880000,2246.7886,376
259.84,377,246.32,-19319.65625,491.6017,1885000,2402.1866,377
204.04,378,216.62,-19494.8828125,568.2721,1890000,2151.3849,378
193.22,379,195.45,-19546.158203125,578.3197,1895000,3054.8742,379
147.86,380,171.04,-19747.490234375,561.8658,1900000,1179.4032,380
235.45,381,209.01,-19693.046875,507.1478,1905000,1966.9413,381
251.83,382,274.64,-19298.4609375,503.2016,1910000,737.1092,382
336.35,383,327.06,-19513.740234375,508.155,1915000,883.9354,383
292.29,384,305.62,-19403.796875,493.6303,1920000,2129.1183,384
321.93,385,296.9,-19497.03125,509.7891,1925000,1251.6512,385
251.5,386,311.02,-19681.787109375,501.2034,1930000,2943.5538,386
292.98,387,328.46,-19559.833984375,493.0518,1935000,3164.3318,387
150.18,388,162.79,-19448.3046875,500.4182,1940000,1852.5752,388
346.24,389,344.39,-19499.41015625,504.9738,1945000,3344.2204,389
127.8,390,176.89,-19722.412109375,544.759,1950000,2006.5734,390
97.06,391,95.85,-19742.38671875,653.771,1955000,2090.3256,391
140.39,392,150.79,-19654.189453125,568.4618,1960000,1294.8965,392
166.01,393,164.52,-19552.609375,518.8244,1965000,2300.4441,393
110.2,394,134.36,-19691.88671875,624.2501,1970000,2008.3662,394
