Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Running Forward KL,Running Env Steps,Itration,Running Reverse KL
1962.84,-13884.4189453125,2333.6,345,156.5699,1725000,345,15.4038
1950.89,-13801.8984375,2315.95,346,156.7686,1730000,346,15.3533
1967.21,-13952.3203125,2333.22,347,156.7171,1735000,347,15.4567
1857.79,-13985.33984375,2198.83,348,156.7231,1740000,348,15.7795
1775.78,-14085.2998046875,2235.23,349,156.6276,1745000,349,15.2013
1752.13,-13898.583984375,2170.2,350,156.572,1750000,350,14.676
1780.69,-13880.681640625,2133.67,351,156.6428,1755000,351,14.8355
1857.26,-13933.4736328125,2208.68,352,156.7119,1760000,352,14.9649
1721.04,-13986.2783203125,2184.78,353,156.58,1765000,353,14.6875
1854.83,-14103.7080078125,2271.14,354,156.7553,1770000,354,15.0685
1904.4,-14076.154296875,2283.21,355,156.7806,1775000,355,15.1283
1913.13,-14124.8515625,2295.59,356,156.6248,1780000,356,15.1175
1883.46,-14046.5166015625,2295.89,357,156.7044,1785000,357,14.8903
1845.5,-14092.60546875,2254.89,358,156.605,1790000,358,15.0093
1860.61,-14047.5009765625,2269.39,359,156.5672,1795000,359,14.856
1868.17,-14130.220703125,2293.11,360,156.7307,1800000,360,15.016
1915.71,-14177.138671875,2313.57,361,156.5638,1805000,361,15.139
1848.59,-14200.12890625,2279.22,362,156.5221,1810000,362,14.8848
1865.05,-14199.984375,2226.3,363,156.4583,1815000,363,14.982
1862.49,-14253.1259765625,2262.47,364,156.4526,1820000,364,15.0326
1916.68,-14286.31640625,2309.6,365,156.556,1825000,365,15.045
1928.48,-14235.005859375,2305.99,366,156.58,1830000,366,15.1863
1905.84,-14276.6513671875,2298.81,367,156.4876,1835000,367,15.1027
1918.79,-14374.556640625,2313.52,368,156.5171,1840000,368,15.3501
1907.4,-14301.5498046875,2300.56,369,156.5616,1845000,369,15.0769
1906.02,-14356.58984375,2291.29,370,156.535,1850000,370,15.1808
