Running Update Time,Real Sto Return,Running Forward KL,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Reverse KL
386,1928.57,156.5506,386,-12820.0078125,1930000,2265.79,15.2691
387,1935.86,156.5798,387,-12897.36328125,1935000,2261.91,14.7979
388,1920.11,156.6745,388,-12890.4091796875,1940000,2246.69,15.4807
389,1934.33,156.6434,389,-12909.3994140625,1945000,2269.69,15.2611
390,1927.76,156.7103,390,-12906.7685546875,1950000,2262.03,15.1455
391,1928.16,156.679,391,-12970.810546875,1955000,2323.37,15.5179
392,1933.67,156.653,392,-12957.5556640625,1960000,2273.37,15.2773
393,1935.88,156.7575,393,-12962.6416015625,1965000,2267.29,15.155
394,1935.11,156.564,394,-12974.9697265625,1970000,2269.17,15.0592
395,1935.66,156.5392,395,-13026.3955078125,1975000,2266.83,15.2817
396,1919.12,156.5842,396,-13031.2724609375,1980000,2283.67,15.2422
397,1925.81,156.6015,397,-13063.3564453125,1985000,2270.51,15.3905
398,1908.49,156.6191,398,-13042.3623046875,1990000,2250.18,15.067
399,1922.05,156.7338,399,-13138.5185546875,1995000,2284.21,15.3678
400,1901.86,156.629,400,-13112.77734375,2000000,2271.14,15.2462
401,1935.92,156.6676,401,-13159.9248046875,2005000,2302.12,15.3156
402,1918.58,156.6115,402,-13164.8037109375,2010000,2265.48,15.229
403,1934.44,156.6681,403,-13180.576171875,2015000,2263.32,15.2568
404,1897.36,156.7632,404,-13262.912109375,2020000,2242.86,15.2974
405,1850.75,156.7158,405,-13281.6279296875,2025000,2190.79,15.3451
406,1842.21,156.5533,406,-13346.515625,2030000,2194.3,15.3504
407,1851.7,156.7312,407,-13275.3759765625,2035000,2214.33,15.128
408,1885.77,156.6431,408,-13272.888671875,2040000,2239.49,15.096
409,1863.06,156.5878,409,-13312.302734375,2045000,2195.5,15.0764
410,1887.0,156.5667,410,-13331.791015625,2050000,2260.88,15.153
411,1906.84,156.7258,411,-13389.505859375,2055000,2269.62,15.2798
412,1888.05,156.6995,412,-13400.1787109375,2060000,2271.4,15.292
413,1896.44,156.6337,413,-13424.4140625,2065000,2286.8,15.1646
414,1915.21,156.5672,414,-13473.7587890625,2070000,2273.9,15.351
415,1905.5,156.5196,415,-13491.291015625,2075000,2287.47,15.1711
416,1955.9,156.7109,416,-13508.771484375,2080000,2318.37,15.3952
417,1880.2,156.7184,417,-13521.8203125,2085000,2295.42,15.3391
418,1953.12,156.8168,418,-13581.607421875,2090000,2300.96,15.521
419,1907.45,156.7442,419,-13551.935546875,2095000,2262.66,15.2331
420,1933.79,156.7095,420,-13628.58203125,2100000,2313.95,15.5497
