Itration,Running Update Time,Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return
184,184,920000,3471.76,16.0753,-550.887451171875,11.5784,3432.35
185,185,925000,3434.52,18.5782,-1287.851806640625,13.0043,2367.36
186,186,930000,3481.69,16.7608,-614.8145141601562,11.459,3448.38
187,187,935000,3444.77,16.1057,-420.601318359375,10.6868,3430.74
188,188,940000,3391.1,16.3459,-489.1399230957031,10.1739,3356.6
189,189,945000,3423.82,17.458,-1807.658447265625,29.1347,2896.77
190,190,950000,3460.48,18.0071,-615.1639404296875,11.6259,3389.84
191,191,955000,3460.85,15.5623,-576.59326171875,10.1898,3337.27
192,192,960000,3500.44,17.1591,-658.6491088867188,12.4982,3444.5
193,193,965000,3430.8,16.9468,-857.96826171875,12.1804,3275.85
194,194,970000,3448.98,16.0216,-559.9140625,10.806,3405.91
195,195,975000,3465.02,16.8527,-539.4794921875,11.8444,3426.67
196,196,980000,3479.18,17.3318,-1094.36279296875,11.6115,3119.55
197,197,985000,3458.86,15.7219,-671.8699951171875,10.2001,3430.89
198,198,990000,3451.79,16.3712,-791.1016235351562,11.473,3417.96
199,199,995000,3461.83,16.3628,-715.890869140625,10.6231,3427.58
