Reward Loss,Real Sto Return,Itration,Running Update Time,Running Reverse KL,Running Forward KL,Running Env Steps,Real Det Return
-9569.8623046875,1470.58,187,187,44.2309,23.9058,935000,1923.54
-10607.6630859375,1095.59,188,188,45.8703,24.1969,940000,1106.46
-12869.4111328125,531.22,189,189,47.7121,29.665,945000,1042.72
-12989.9130859375,212.86,190,190,61.1123,28.9105,950000,133.4
-14201.9697265625,270.36,191,191,29.4603,31.3411,955000,262.3
-11463.1123046875,1083.76,192,192,22.6932,27.077,960000,2911.58
-13153.0009765625,862.2,193,193,48.5607,26.6338,965000,1122.98
-9558.4501953125,1147.68,194,194,19.3425,24.5787,970000,1050.22
-9099.8603515625,473.42,195,195,40.1249,22.935,975000,2374.7
-9858.3212890625,1481.75,196,196,38.3918,23.4297,980000,1184.12
-9854.830078125,1546.14,197,197,26.4019,25.1113,985000,2615.92
-4983.68701171875,2164.44,198,198,19.1542,21.4684,990000,2851.96
-9783.939453125,1147.53,199,199,20.3783,22.8747,995000,1230.23
