Itration,Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return,Running Update Time,Running Forward KL,Reward Loss
396,1980000,69.76,562.1746,67.94,396,689.8033,-17531.5390625
397,1985000,68.76,566.0337,68.0,397,686.7333,-15702.064453125
398,1990000,68.67,957.8591,67.59,398,766.8282,-19475.771484375
399,1995000,68.95,834.2591,69.31,399,708.7786,-17757.384765625
400,2000000,68.71,1392.9153,68.28,400,770.5691,-18749.759765625
401,2005000,73.0,1176.705,72.08,401,607.271,-18009.580078125
402,2010000,66.94,870.664,67.34,402,680.2057,-18673.126953125
403,2015000,65.93,628.0606,66.54,403,663.7733,-19716.181640625
404,2020000,66.03,767.3783,66.01,404,827.2074,-19773.595703125
405,2025000,62.07,1390.0171,69.0,405,785.9441,-19790.546875
406,2030000,181.35,1067.085,182.24,406,637.5822,-17530.60546875
407,2035000,61.3,1724.3469,61.68,407,680.3145,-19730.9375
408,2040000,62.64,592.6623,63.78,408,655.2365,-19000.13671875
409,2045000,335.75,472.9889,340.14,409,503.061,-19002.19140625
410,2050000,342.88,384.0715,336.13,410,523.6603,-18217.736328125
411,2055000,74.3,760.6345,74.02,411,649.4955,-19691.033203125
412,2060000,355.35,560.2515,354.81,412,533.2956,-15947.525390625
413,2065000,294.05,558.0664,294.32,413,565.0499,-16216.12890625
414,2070000,273.46,539.4242,267.08,414,562.4434,-17307.26953125
415,2075000,286.6,653.5693,286.02,415,552.8285,-17952.15234375
416,2080000,261.41,543.1573,269.01,416,538.2036,-16582.037109375
417,2085000,369.48,308.2854,381.26,417,523.9704,-12156.2822265625
418,2090000,371.99,333.7363,368.04,418,527.3171,-12185.93359375
419,2095000,321.47,361.621,290.15,419,546.1845,-13312.59765625
420,2100000,308.33,429.678,348.97,420,549.5798,-14202.7099609375
421,2105000,308.16,276.5189,326.75,421,515.2889,-13815.248046875
422,2110000,321.11,278.8153,342.86,422,512.1296,-13344.8544921875
423,2115000,289.47,438.7181,285.54,423,495.9502,-12683.72265625
424,2120000,290.17,302.7056,301.72,424,510.5371,-14061.4453125
425,2125000,285.28,317.8602,279.06,425,511.9425,-16215.232421875
426,2130000,264.38,672.6894,261.84,426,523.078,-14838.2548828125
427,2135000,362.94,523.2533,356.46,427,507.8227,-14241.2998046875
428,2140000,397.37,274.2713,382.98,428,481.0256,-15020.841796875
429,2145000,321.48,293.6293,333.73,429,512.5688,-14898.8017578125
430,2150000,288.11,373.6256,279.91,430,505.2376,-14237.8486328125
431,2155000,191.24,345.4616,180.27,431,547.132,-15158.3330078125
432,2160000,256.65,350.1283,223.67,432,523.7654,-14781.4189453125
433,2165000,286.45,281.765,261.1,433,532.8406,-15720.0732421875
434,2170000,375.0,987.643,358.67,434,528.9231,-17514.453125
435,2175000,392.87,1221.0126,342.64,435,540.9446,-16199.07421875
436,2180000,212.31,1912.7995,203.85,436,635.4174,-15085.5185546875
437,2185000,312.85,1500.5381,315.96,437,579.1205,-16740.1953125
438,2190000,308.85,787.918,302.32,438,528.0289,-14885.8466796875
439,2195000,226.98,1343.3887,217.66,439,579.3482,-18913.86328125
440,2200000,325.31,1055.0004,336.04,440,524.3175,-18762.958984375
441,2205000,265.25,1186.8199,272.95,441,530.3812,-17669.646484375
442,2210000,360.22,625.8902,328.16,442,517.519,-17561.240234375
443,2215000,278.98,401.8904,286.75,443,522.2068,-17902.021484375
444,2220000,228.1,894.5085,257.27,444,517.0969,-18634.09765625
445,2225000,210.71,1084.5327,221.18,445,542.4533,-18737.796875
446,2230000,328.62,675.592,322.74,446,503.9179,-18288.19921875
447,2235000,224.92,402.7597,238.49,447,575.0534,-18294.63671875
448,2240000,81.04,469.7214,75.84,448,679.4695,-17229.30859375
449,2245000,57.04,1728.9066,56.93,449,758.714,-19632.771484375
450,2250000,58.37,948.1431,58.32,450,693.0423,-19126.830078125
451,2255000,53.87,836.6647,54.32,451,672.4267,-18995.451171875
452,2260000,59.18,573.9495,58.93,452,631.2223,-18367.44921875
453,2265000,59.02,417.4051,59.01,453,638.141,-15798.0380859375
454,2270000,61.24,528.8081,61.66,454,678.614,-18305.998046875
455,2275000,58.68,548.1571,58.67,455,665.3111,-15756.587890625
456,2280000,60.68,453.7602,60.19,456,663.9876,-15650.6240234375
457,2285000,64.22,654.3196,62.0,457,651.7317,-17770.701171875
458,2290000,59.49,665.5008,59.64,458,656.9136,-15841.513671875
459,2295000,62.68,668.6812,63.38,459,667.2653,-14167.0302734375
460,2300000,59.88,622.5345,61.65,460,669.8436,-14543.6708984375
461,2305000,62.61,434.2593,62.02,461,671.2345,-13942.1923828125
462,2310000,61.0,375.5737,61.37,462,670.5359,-14998.9169921875
463,2315000,62.76,449.98,63.07,463,682.7047,-14376.7109375
464,2320000,62.55,2013.2488,62.0,464,659.3069,-18385.375
465,2325000,61.71,979.5719,61.8,465,647.638,-13681.2548828125
466,2330000,62.66,1498.7568,62.84,466,646.1174,-14600.845703125
467,2335000,61.85,1297.0465,61.71,467,608.6823,-10721.232421875
468,2340000,62.08,560.1162,62.61,468,591.2646,-16343.7177734375
469,2345000,63.83,892.8717,65.05,469,631.0476,-13057.1201171875
470,2350000,61.24,370.008,61.37,470,631.1656,-15535.73046875
471,2355000,65.81,388.2683,64.35,471,606.4749,-16887.861328125
472,2360000,63.66,374.4646,65.44,472,624.0356,-15272.533203125
473,2365000,65.03,941.0928,63.34,473,615.7762,-16851.009765625
474,2370000,65.06,410.4802,65.28,474,622.6885,-15151.029296875
475,2375000,65.31,370.9699,65.51,475,676.7955,-16015.4765625
476,2380000,181.85,281.2031,173.02,476,548.3923,-16678.8359375
477,2385000,84.29,428.3516,89.46,477,577.5645,-17825.3671875
478,2390000,86.45,400.4382,91.15,478,602.424,-17248.73046875
479,2395000,56.95,692.2605,57.02,479,630.4214,-17103.39453125
480,2400000,75.55,343.9798,77.3,480,626.4852,-16329.9140625
481,2405000,62.23,421.8664,61.65,481,691.4996,-17352.943359375
482,2410000,69.96,316.0671,74.14,482,589.7274,-16454.828125
483,2415000,63.27,675.9887,63.32,483,650.4631,-17054.67578125
484,2420000,63.17,430.9732,63.56,484,671.386,-17032.029296875
485,2425000,60.17,347.2829,60.13,485,583.2438,-14974.77734375
486,2430000,57.89,366.9619,59.5,486,612.6666,-13264.22265625
487,2435000,60.74,366.0869,59.63,487,603.2928,-15351.11328125
488,2440000,59.87,346.8791,60.03,488,599.9149,-16303.9873046875
489,2445000,64.39,355.6276,64.2,489,565.1303,-17425.16796875
490,2450000,58.97,324.0653,59.45,490,587.2088,-15848.8125
491,2455000,58.19,314.6776,58.73,491,588.3833,-16065.65625
492,2460000,58.74,306.6596,58.57,492,563.4431,-16646.373046875
493,2465000,84.99,308.0083,71.76,493,590.276,-16168.8857421875
494,2470000,62.45,311.7639,64.01,494,609.9586,-15859.7587890625
495,2475000,63.67,278.4663,63.2,495,579.5327,-16173.5615234375
496,2480000,100.21,283.1371,100.64,496,556.934,-15881.896484375
497,2485000,72.5,301.144,63.58,497,605.1353,-16434.09375
498,2490000,61.15,321.77,61.21,498,584.4748,-16623.859375
499,2495000,60.17,399.7016,61.41,499,595.0941,-16671.34375
500,2500000,63.11,478.8281,62.84,500,603.7591,-15795.0302734375
501,2505000,62.82,385.2862,61.38,501,646.841,-15854.576171875
502,2510000,65.19,431.4791,64.69,502,604.101,-17096.23046875
503,2515000,63.21,774.2834,62.62,503,607.8997,-16321.369140625
504,2520000,63.2,551.9358,64.6,504,687.2799,-19314.05078125
505,2525000,65.01,729.4063,65.6,505,710.7759,-19664.767578125
506,2530000,61.28,1550.5574,62.21,506,714.5989,-19634.712890625
507,2535000,57.25,1337.7047,59.35,507,644.2301,-19029.677734375
508,2540000,59.53,1179.2013,60.67,508,639.265,-18583.1953125
509,2545000,61.56,1549.9856,61.88,509,661.8786,-19190.818359375
510,2550000,62.21,565.6708,64.34,510,671.2842,-19271.068359375
511,2555000,64.51,716.4789,65.06,511,665.0819,-19308.97265625
512,2560000,65.53,981.627,65.41,512,641.7045,-18801.9375
513,2565000,61.49,1190.4049,61.16,513,638.6954,-17516.68359375
514,2570000,65.24,345.9112,65.01,514,620.45,-18642.361328125
515,2575000,62.59,381.5118,60.71,515,616.9643,-19151.2265625
516,2580000,60.15,418.284,61.49,516,613.9699,-17958.876953125
517,2585000,63.27,416.0629,62.16,517,648.1179,-18849.052734375
518,2590000,63.75,324.0119,63.17,518,618.9188,-17241.02734375
519,2595000,66.89,379.6156,66.07,519,662.3318,-18371.74609375
520,2600000,60.53,637.6489,60.66,520,629.8188,-18052.689453125
521,2605000,63.47,322.9378,64.16,521,624.4149,-16796.107421875
522,2610000,63.8,528.9564,65.43,522,644.2204,-18704.646484375
523,2615000,62.28,602.6641,62.27,523,655.5888,-17174.7734375
524,2620000,62.51,646.8611,62.2,524,665.4088,-16544.2578125
525,2625000,65.71,465.8337,64.34,525,670.2241,-16679.380859375
526,2630000,64.97,429.6115,64.14,526,650.4427,-17135.12890625
527,2635000,63.01,301.018,62.72,527,649.747,-17461.212890625
528,2640000,60.21,546.133,62.49,528,647.3084,-18261.771484375
529,2645000,64.37,784.7444,63.57,529,592.9395,-17560.64453125
530,2650000,64.64,374.2849,63.73,530,613.0977,-17158.140625
531,2655000,65.38,633.5419,64.42,531,622.9347,-17030.833984375
532,2660000,64.2,303.903,63.79,532,621.9866,-17591.57421875
533,2665000,64.11,317.305,64.55,533,619.0817,-16506.546875
534,2670000,62.89,315.1061,64.14,534,612.2511,-16488.755859375
535,2675000,64.84,298.6408,65.18,535,623.5316,-16418.513671875
536,2680000,64.89,310.3006,65.89,536,623.5737,-16242.4658203125
537,2685000,65.85,385.543,65.34,537,642.7222,-17657.37109375
538,2690000,64.06,310.7275,65.35,538,622.1416,-17135.4296875
539,2695000,65.4,379.6126,65.54,539,584.2095,-17563.11328125
540,2700000,64.72,328.399,64.3,540,626.9587,-16747.2890625
541,2705000,63.21,274.1773,63.24,541,629.8169,-15967.814453125
542,2710000,59.9,312.2802,63.93,542,597.2666,-16682.333984375
543,2715000,64.64,282.2523,65.08,543,621.0601,-16144.794921875
544,2720000,63.3,324.3059,63.02,544,620.9991,-17242.865234375
545,2725000,65.06,341.2137,65.0,545,624.7254,-16426.716796875
546,2730000,64.0,290.0305,64.53,546,616.2025,-16772.97265625
547,2735000,65.02,312.0875,63.8,547,617.2364,-15772.1728515625
548,2740000,66.13,467.6924,66.37,548,650.3947,-17686.712890625
549,2745000,63.7,390.7872,66.48,549,608.6917,-17079.021484375
550,2750000,66.51,279.687,67.29,550,622.7715,-17078.2890625
551,2755000,67.48,271.2285,64.72,551,622.1166,-16506.6875
552,2760000,62.91,315.9383,64.13,552,632.6462,-17982.568359375
553,2765000,60.65,430.901,64.33,553,653.8753,-18144.65234375
554,2770000,63.13,1074.2156,65.01,554,648.9052,-18819.5
555,2775000,60.6,307.4495,61.75,555,631.1755,-17391.603515625
556,2780000,65.91,315.3424,65.25,556,622.2963,-17840.259765625
557,2785000,61.87,316.4096,64.41,557,631.2754,-17313.373046875
558,2790000,65.87,279.9413,65.38,558,641.8553,-16835.6640625
559,2795000,65.56,315.0819,64.61,559,645.8344,-17751.837890625
560,2800000,68.51,402.1982,68.42,560,639.9558,-17299.052734375
561,2805000,70.09,454.1474,68.93,561,640.1118,-17736.3515625
562,2810000,69.02,395.2842,68.71,562,617.7446,-17688.4453125
563,2815000,69.01,296.4156,67.58,563,624.3422,-17078.947265625
564,2820000,66.5,308.8117,67.27,564,615.6095,-16214.4453125
565,2825000,68.63,304.1095,67.64,565,645.8465,-17137.22265625
566,2830000,65.39,275.5975,65.02,566,632.1146,-15713.7392578125
567,2835000,62.97,288.3037,66.09,567,662.8738,-15870.5537109375
568,2840000,65.88,297.7101,67.72,568,654.1455,-16900.53515625
569,2845000,65.8,308.1488,65.35,569,663.7322,-15658.595703125
570,2850000,62.67,294.751,62.62,570,676.1171,-17501.888671875
571,2855000,66.88,332.3459,65.43,571,659.809,-17881.939453125
572,2860000,62.81,300.8163,63.69,572,644.2098,-17046.185546875
573,2865000,58.02,333.3869,59.68,573,660.5557,-18671.826171875
574,2870000,60.85,317.6913,62.26,574,644.3647,-17963.431640625
575,2875000,58.57,307.4689,59.98,575,659.4073,-17387.955078125
576,2880000,58.12,289.7446,60.84,576,631.493,-16851.57421875
577,2885000,61.62,319.8232,61.84,577,636.7949,-16912.404296875
578,2890000,60.55,292.9919,61.86,578,643.4827,-17269.71484375
579,2895000,59.74,293.7885,60.84,579,630.3103,-17192.0
580,2900000,61.16,330.352,61.46,580,657.9634,-17863.322265625
581,2905000,61.58,355.4718,61.55,581,633.3911,-17167.587890625
582,2910000,62.41,331.237,62.25,582,650.5358,-18210.705078125
583,2915000,61.57,364.9442,61.73,583,627.6406,-17952.029296875
584,2920000,65.04,324.2931,63.27,584,639.3331,-17308.97265625
585,2925000,60.83,330.463,60.63,585,627.5353,-18161.9140625
586,2930000,59.11,398.3955,60.21,586,638.4656,-18487.208984375
587,2935000,63.19,325.2448,62.74,587,635.4276,-17512.091796875
588,2940000,59.65,294.6745,62.94,588,647.3491,-17639.77734375
589,2945000,67.09,302.6319,62.48,589,643.6063,-17970.478515625
590,2950000,66.37,300.2571,64.68,590,641.4944,-18181.248046875
591,2955000,62.43,337.7526,61.88,591,655.8959,-18409.28515625
592,2960000,63.08,420.2069,59.9,592,659.5847,-18003.11328125
593,2965000,61.8,304.6766,62.06,593,654.8303,-17895.298828125
594,2970000,60.49,336.1671,61.17,594,653.2671,-18724.2421875
595,2975000,61.68,317.78,60.35,595,659.352,-18143.478515625
596,2980000,59.97,355.741,60.33,596,665.4219,-18422.888671875
597,2985000,60.38,316.1227,58.14,597,656.9649,-18458.16015625
598,2990000,60.78,308.4241,60.21,598,636.7922,-18199.802734375
599,2995000,60.47,341.1488,60.66,599,648.8065,-18552.748046875
