Real Sto Return,Running Env Steps,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Itration,Real Det Return
11261.78,725000,-14473.076171875,145,16.1298,142.2053,145,11625.96
11054.6,730000,-14602.5947265625,146,17.593,143.2769,146,11364.6
11228.98,735000,-15007.78515625,147,17.5058,142.2921,147,11618.55
11000.01,740000,-14931.49609375,148,16.9292,142.6567,148,10890.78
11117.93,745000,-15221.0244140625,149,17.0245,142.8221,149,11384.83
11112.75,750000,-15206.232421875,150,15.8579,142.606,150,11520.39
11248.25,755000,-15843.17578125,151,15.3825,143.0377,151,11638.63
11290.43,760000,-14739.5888671875,152,16.4354,142.3284,152,11788.85
10760.22,765000,-15942.75,153,15.2892,142.6437,153,11037.77
10970.05,770000,-14740.0908203125,154,16.2946,141.6399,154,11851.1
11123.9,775000,-15591.6123046875,155,16.9253,142.7659,155,11482.18
10309.34,780000,-15362.6552734375,156,16.7886,141.4729,156,11805.61
10419.11,785000,-16365.947265625,157,17.6889,143.9933,157,10889.19
11152.94,790000,-15551.1376953125,158,16.3097,142.7925,158,11690.23
10936.56,795000,-15951.4287109375,159,16.6089,141.7642,159,11424.73
10622.73,800000,-16054.279296875,160,16.7095,142.8303,160,11636.03
9247.96,805000,-15836.658203125,161,16.2094,141.3831,161,11755.01
10616.23,810000,-16067.0263671875,162,15.9485,141.5951,162,11681.54
11269.74,815000,-16363.58984375,163,16.7427,142.1265,163,11707.07
11331.65,820000,-15972.5146484375,164,15.7481,142.846,164,11631.41
11127.98,825000,-16832.599609375,165,16.5027,142.3507,165,11665.65
10790.51,830000,-16140.7177734375,166,16.175,141.3299,166,11931.08
11093.08,835000,-16811.5390625,167,16.8712,142.2787,167,11440.61
10106.09,840000,-17672.2421875,168,14.9173,143.4751,168,11287.94
11275.85,845000,-16801.59765625,169,16.0703,142.0995,169,11719.97
11363.92,850000,-17382.27734375,170,16.9962,142.0553,170,11768.23
11078.47,855000,-17496.96484375,171,17.3234,142.5312,171,11620.52
11159.09,860000,-17304.681640625,172,16.1965,141.3109,172,11881.89
11190.4,865000,-17072.578125,173,16.386,141.7597,173,11785.36
10797.84,870000,-17902.50390625,174,16.2474,142.9157,174,11385.67
11245.56,875000,-18009.18359375,175,17.38,142.395,175,11670.87
10994.21,880000,-17563.6875,176,17.2905,142.2228,176,11486.08
