Running Env Steps,Itration,Real Sto Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Det Return,Running Update Time
910000,182,11511.54,142.7644,-18880.26171875,19.1078,11087.5,182
915000,183,11091.62,142.6234,-19583.703125,18.3386,11399.51,183
920000,184,11090.53,140.9893,-18697.244140625,19.9644,11244.63,184
925000,185,11222.18,141.5839,-18933.97265625,19.8447,12099.77,185
930000,186,11606.37,142.0906,-19006.990234375,19.4649,11989.25,186
935000,187,11512.55,140.9975,-18747.97265625,19.839,11944.24,187
940000,188,11420.46,141.2557,-18953.380859375,19.4585,11790.32,188
945000,189,11113.22,141.3589,-19457.68359375,19.2441,11867.97,189
950000,190,11152.7,142.1501,-19871.3671875,20.382,11527.18,190
955000,191,11544.32,140.6279,-18561.048828125,18.9745,11907.27,191
960000,192,11211.18,142.1815,-19423.82421875,19.867,12037.49,192
965000,193,11540.52,141.4739,-19885.552734375,19.815,11882.53,193
970000,194,11751.98,141.5573,-19597.16015625,19.6816,12049.21,194
975000,195,11598.39,141.0642,-20393.158203125,19.0517,11181.25,195
980000,196,11238.75,141.9735,-20385.0625,20.2976,11612.95,196
985000,197,10906.2,140.4512,-20066.16796875,17.3188,11858.28,197
990000,198,11130.55,142.2772,-21548.16796875,19.4099,11944.13,198
995000,199,11129.53,140.5773,-20601.619140625,20.1448,11142.92,199
1000000,200,8616.56,144.3239,-24067.62890625,15.8003,8729.63,200
1005000,201,6827.15,144.4083,-23924.65234375,15.1962,9003.92,201
1010000,202,6940.87,143.1936,-23022.33203125,18.1772,9210.28,202
1015000,203,7596.19,144.889,-24333.4140625,17.2351,8785.33,203
1020000,204,8305.76,145.0941,-25012.2109375,15.3471,10414.55,204
1025000,205,4816.03,144.8731,-25584.119140625,14.3918,5513.16,205
1030000,206,6163.09,145.5861,-24917.361328125,15.6797,8677.48,206
1035000,207,8250.85,143.8491,-24877.826171875,16.4656,8839.04,207
1040000,208,7224.58,144.0598,-24876.591796875,16.5456,8766.08,208
1045000,209,7852.57,144.4978,-24892.21484375,16.2856,8911.04,209
1050000,210,6428.19,145.3767,-26797.544921875,14.3684,6494.49,210
1055000,211,10130.41,143.492,-25189.861328125,17.029,11069.12,211
1060000,212,8693.36,145.0157,-25534.431640625,16.2017,8163.22,212
1065000,213,5157.75,146.6976,-27869.814453125,14.5802,6349.8,213
1070000,214,9233.41,144.1452,-24863.396484375,16.4299,9381.34,214
1075000,215,5553.56,146.6344,-28699.19140625,13.234,5380.02,215
1080000,216,4884.79,145.3094,-26908.845703125,15.1857,8269.86,216
1085000,217,8848.57,145.3369,-27285.669921875,15.1835,9923.58,217
