Running Reverse KL,Real Sto Return,Running Update Time,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Forward KL
13.0839,5444.9,386,386,-8185.0087890625,1930000,6346.2,146.619
12.04,9793.87,387,387,-5573.37158203125,1935000,10068.9,141.4115
12.7683,10375.63,388,388,-5107.994140625,1940000,10686.29,140.2324
12.6812,10178.09,389,389,-5420.4052734375,1945000,10586.88,140.4084
12.872,10271.46,390,390,-5173.328125,1950000,10534.67,140.3573
13.3439,10441.62,391,391,-5301.0908203125,1955000,10670.19,140.4767
13.9742,9655.95,392,392,-6096.931640625,1960000,10157.12,142.3292
11.8179,9687.35,393,393,-6174.8349609375,1965000,10093.16,141.7618
13.4921,9445.76,394,394,-5957.3212890625,1970000,9830.53,142.235
12.8293,9951.12,395,395,-5464.70361328125,1975000,10280.14,140.6419
12.9758,10258.93,396,396,-5322.57177734375,1980000,10613.95,140.9183
12.2217,9619.53,397,397,-6019.0595703125,1985000,9777.59,140.7629
