Itration,Running Env Steps,Running Forward KL,Running Update Time,Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL
396,1980000,327.5223,396,4081.35,-18974.201171875,4433.61,137.7963
397,1985000,324.014,397,4519.96,-18952.00390625,4774.93,141.7741
398,1990000,326.6011,398,4469.24,-19002.15234375,4134.87,145.6784
399,1995000,325.831,399,2908.23,-18883.3359375,4320.29,136.5882
400,2000000,321.9215,400,4343.44,-18994.587890625,4673.58,141.296
401,2005000,324.5844,401,2406.89,-19031.96484375,4188.08,161.6966
402,2010000,327.936,402,3038.0,-18965.404296875,4322.97,156.0844
403,2015000,314.9145,403,1882.59,-18643.87109375,4067.58,163.7185
404,2020000,314.895,404,2070.32,-18666.623046875,4077.96,137.8047
405,2025000,322.0585,405,1803.25,-18911.173828125,4164.45,140.0469
406,2030000,345.0801,406,1016.86,-18769.423828125,3072.14,248.6664
407,2035000,318.7837,407,1200.36,-18899.234375,3607.47,147.4418
408,2040000,322.0213,408,2170.35,-18822.998046875,4449.33,169.1341
409,2045000,339.7123,409,989.73,-18778.421875,2931.3,222.661
410,2050000,322.0439,410,1853.39,-18926.978515625,3955.44,141.6355
411,2055000,333.8529,411,2128.77,-19125.83984375,3692.11,166.6232
412,2060000,328.0389,412,998.37,-18899.23828125,3157.24,176.1959
413,2065000,338.9708,413,985.15,-18797.36328125,3027.99,236.9864
414,2070000,323.6713,414,1364.85,-18911.798828125,3776.8,176.6569
415,2075000,327.9183,415,2510.51,-18967.220703125,4117.84,172.7658
416,2080000,335.6608,416,1231.9,-18706.46875,2365.25,249.7953
417,2085000,322.1165,417,1932.28,-18954.6953125,4215.22,137.5605
418,2090000,338.7137,418,1472.23,-19144.1953125,3620.42,191.1384
419,2095000,325.257,419,2628.63,-19072.501953125,3772.3,154.838
420,2100000,330.3651,420,2124.79,-18979.712890625,3300.33,194.4896
421,2105000,325.064,421,1805.88,-19005.833984375,3652.1,148.9306
422,2110000,337.0354,422,2704.27,-19120.224609375,4092.37,162.9121
423,2115000,324.3813,423,2518.13,-19033.2109375,4179.04,137.9205
424,2120000,331.6119,424,2119.46,-18847.1953125,3316.54,166.3171
425,2125000,350.0976,425,1547.54,-18980.44140625,2176.19,199.5022
426,2130000,331.2827,426,2902.17,-18953.857421875,3673.7,187.958
427,2135000,326.6903,427,2983.16,-19041.400390625,3834.35,148.7058
428,2140000,326.7055,428,2564.83,-18998.859375,3721.3,156.8507
429,2145000,326.9812,429,2379.56,-19244.4609375,3789.37,142.2566
430,2150000,331.8933,430,2745.54,-19069.064453125,3840.84,160.8233
431,2155000,330.2929,431,2520.3,-19102.56640625,4067.04,157.8298
432,2160000,321.5967,432,1876.76,-19138.08203125,3888.15,147.0769
433,2165000,319.8843,433,3745.66,-19194.5078125,4807.71,136.9215
434,2170000,318.4803,434,2058.45,-18977.5625,3998.18,149.6037
435,2175000,329.821,435,2734.94,-19174.580078125,4139.12,154.0754
436,2180000,337.7449,436,3811.37,-19382.8046875,4263.7,157.2379
437,2185000,323.7745,437,3556.14,-19165.712890625,4138.34,136.4074
438,2190000,326.3845,438,3216.28,-18993.97265625,4330.7,167.8073
439,2195000,336.9505,439,2639.75,-19319.123046875,4297.79,161.9748
440,2200000,337.9881,440,3306.09,-19359.73828125,4564.63,150.2325
441,2205000,335.1827,441,3610.77,-19251.451171875,4469.71,171.935
442,2210000,330.2855,442,2826.34,-19267.705078125,4811.57,146.196
443,2215000,339.4375,443,3247.76,-19350.798828125,3659.65,174.5142
444,2220000,351.448,444,3729.08,-19414.248046875,4455.46,163.9082
445,2225000,334.1282,445,3244.51,-19403.412109375,4256.46,157.8834
446,2230000,343.6304,446,2453.64,-19364.716796875,3447.46,167.5204
447,2235000,359.745,447,2005.16,-19328.28125,3395.6,202.5032
448,2240000,346.3494,448,2781.15,-19491.791015625,3958.18,172.385
449,2245000,348.4134,449,3252.85,-19292.306640625,2772.33,190.0888
450,2250000,370.1166,450,2378.46,-19466.380859375,3125.7,232.3429
451,2255000,348.5092,451,1652.68,-19503.033203125,3483.85,176.2457
452,2260000,353.9102,452,3223.97,-19474.30859375,4283.9,193.5864
453,2265000,338.8729,453,3163.63,-19549.841796875,3737.7,158.5873
454,2270000,372.4878,454,3246.1,-19360.701171875,3707.17,235.8689
455,2275000,351.9147,455,4671.71,-19421.1640625,4100.1,179.7335
456,2280000,345.1446,456,3096.23,-19345.275390625,3870.33,168.5138
457,2285000,345.6798,457,1499.61,-19449.0703125,2941.84,179.097
458,2290000,358.6742,458,2548.13,-19326.78125,3836.43,215.8668
459,2295000,330.263,459,2402.32,-19364.8671875,3527.01,165.4763
460,2300000,345.8448,460,2887.08,-19586.6171875,4558.86,155.2773
461,2305000,336.4944,461,3251.24,-19463.458984375,4153.58,146.6112
462,2310000,344.0943,462,2060.17,-19344.859375,4124.02,185.1217
463,2315000,340.0448,463,3754.48,-19480.96484375,3982.15,160.5968
464,2320000,348.9176,464,3394.66,-19519.328125,4747.57,153.5017
465,2325000,349.6111,465,4446.36,-19508.90625,4637.88,159.6551
466,2330000,327.3731,466,3923.7,-19292.033203125,4409.8,149.2824
467,2335000,340.1103,467,2284.06,-19419.935546875,4345.46,158.1996
468,2340000,347.268,468,3391.23,-19480.79296875,3905.65,158.8013
469,2345000,333.6983,469,3732.11,-19286.3515625,4594.13,159.3883
470,2350000,332.7045,470,3877.37,-19398.7734375,4518.56,154.6566
471,2355000,339.0627,471,2825.05,-19341.48046875,4300.17,168.4136
472,2360000,335.2579,472,1203.08,-19323.69921875,2861.5,163.3323
473,2365000,339.621,473,3967.58,-19278.236328125,3402.12,162.3913
474,2370000,324.6361,474,1253.07,-19243.5234375,3235.87,161.7438
475,2375000,336.9762,475,4209.53,-19246.029296875,3448.19,184.0442
476,2380000,338.5713,476,2693.73,-19101.3828125,2857.05,215.1831
477,2385000,341.5935,477,3199.28,-18994.384765625,2947.62,254.7134
478,2390000,339.4918,478,2238.5,-19281.55078125,3061.93,194.1371
479,2395000,349.0566,479,1929.74,-18846.01953125,2782.6,219.175
480,2400000,338.5502,480,1994.17,-19159.49609375,2725.58,165.1296
481,2405000,351.9385,481,3234.44,-19305.81640625,3806.64,219.1572
482,2410000,330.5728,482,3542.84,-19389.982421875,4361.97,154.6251
483,2415000,317.1961,483,4122.87,-19219.283203125,3836.69,135.5276
484,2420000,318.1697,484,3715.11,-19097.564453125,4217.43,125.7186
485,2425000,332.481,485,3782.37,-19289.2265625,4242.38,164.872
486,2430000,343.6258,486,3742.8,-19186.671875,4187.84,181.7712
487,2435000,322.6739,487,2392.38,-19303.205078125,2998.45,134.8176
488,2440000,345.9358,488,3183.41,-19200.904296875,2861.7,212.784
489,2445000,339.2249,489,4304.53,-19205.375,3604.46,193.0424
490,2450000,331.4893,490,3410.72,-19175.720703125,3051.43,171.7296
491,2455000,331.1129,491,2194.63,-19298.470703125,3116.38,185.3096
492,2460000,326.8202,492,3877.64,-19488.30859375,3977.13,133.7304
493,2465000,336.1854,493,3004.72,-19304.939453125,2984.12,163.923
494,2470000,323.2384,494,3306.64,-19408.98828125,3429.22,147.5078
495,2475000,333.2291,495,4091.01,-19373.771484375,3958.07,147.2235
496,2480000,344.0218,496,2613.39,-19206.1484375,2988.11,221.7924
497,2485000,345.5295,497,2865.52,-19385.8828125,3315.14,176.9505
498,2490000,342.4518,498,2644.95,-19470.341796875,3214.2,172.3576
499,2495000,333.245,499,3721.3,-19412.701171875,4453.45,166.9918
500,2500000,331.1888,500,1923.55,-19205.38671875,2103.91,186.9507
501,2505000,341.772,501,1746.95,-19191.86328125,2424.08,208.5838
502,2510000,350.6421,502,3066.23,-19334.8671875,3428.51,203.6509
503,2515000,347.8083,503,1807.14,-19273.40625,3723.1,226.1577
504,2520000,336.1157,504,3173.56,-19348.552734375,4635.64,168.0256
505,2525000,329.3998,505,3812.2,-19394.6953125,3589.8,145.7158
506,2530000,337.3952,506,1959.25,-19282.599609375,2556.34,192.5026
507,2535000,342.8496,507,3194.21,-19382.697265625,3446.61,162.7654
508,2540000,382.1735,508,450.14,-19340.97265625,2242.67,240.9065
509,2545000,351.0506,509,903.71,-19171.46484375,1495.23,233.7176
510,2550000,331.9129,510,2521.79,-19312.76171875,4046.39,149.1456
511,2555000,357.7036,511,1807.97,-19125.23046875,3740.82,227.2243
512,2560000,327.6651,512,4267.02,-19194.396484375,3918.13,132.6553
513,2565000,318.6992,513,2364.62,-19172.564453125,3333.77,122.3451
514,2570000,321.9605,514,3965.87,-19170.125,4445.82,139.178
515,2575000,315.7584,515,4585.73,-19136.814453125,4140.6,135.5003
516,2580000,345.7403,516,1415.19,-19397.1640625,4032.99,167.1845
517,2585000,334.1111,517,1932.91,-18967.720703125,4251.8,164.0389
518,2590000,307.1652,518,3168.44,-18821.259765625,3981.48,105.431
519,2595000,331.4517,519,3362.16,-18828.35546875,4546.86,176.9982
520,2600000,310.5531,520,2090.39,-18687.8046875,3456.76,128.0796
521,2605000,323.6262,521,2531.76,-19094.849609375,3699.76,167.3678
522,2610000,326.4627,522,3440.35,-18476.0859375,4183.99,169.181
523,2615000,339.8558,523,1498.48,-18024.83984375,2128.14,185.7408
524,2620000,417.591,524,330.03,-15647.6474609375,660.04,273.4952
525,2625000,363.7977,525,1186.0,-17598.734375,1607.43,239.3036
526,2630000,368.4763,526,1643.32,-18570.48828125,2419.72,248.1668
527,2635000,344.8922,527,3142.15,-17105.20703125,2276.95,236.7913
528,2640000,315.1565,528,2891.62,-18967.22265625,2843.46,160.8761
529,2645000,316.7648,529,3747.37,-18766.00390625,4189.78,149.3903
530,2650000,321.9646,530,4943.98,-19012.03515625,4281.61,186.2868
531,2655000,333.0174,531,2384.54,-18178.42578125,2591.09,278.6065
532,2660000,303.7992,532,2142.68,-18703.861328125,3012.0,125.8383
533,2665000,335.277,533,1990.25,-18029.673828125,2886.38,250.5493
534,2670000,329.8953,534,2209.05,-18014.326171875,2767.05,196.0853
535,2675000,325.3905,535,1621.06,-17847.4609375,2734.22,210.3192
536,2680000,362.3599,536,870.13,-18851.115234375,1199.09,353.1026
537,2685000,363.4526,537,929.83,-18475.58984375,1716.75,328.1353
538,2690000,352.0769,538,1337.54,-18741.283203125,2057.35,251.592
539,2695000,364.0916,539,2320.66,-18046.888671875,2223.62,272.7039
540,2700000,336.5411,540,3440.96,-18942.58203125,2449.35,162.4954
541,2705000,327.7351,541,1762.69,-18482.154296875,2708.54,204.3457
542,2710000,344.669,542,1164.33,-18057.822265625,1702.59,310.9764
543,2715000,341.9468,543,1876.22,-18277.814453125,2403.0,238.4968
544,2720000,341.4953,544,2602.09,-18443.3984375,2575.48,272.5659
545,2725000,360.396,545,1769.03,-17847.7109375,1759.46,287.9162
546,2730000,312.8402,546,2274.26,-17967.4609375,3135.72,195.6506
547,2735000,312.7164,547,2905.38,-18304.529296875,2489.65,169.2726
548,2740000,332.5958,548,2856.36,-17570.95703125,4215.8,287.347
549,2745000,332.6994,549,2426.31,-17338.09375,2672.2,219.5733
550,2750000,378.5655,550,2441.4,-16827.6484375,2659.74,360.9822
551,2755000,358.1824,551,3551.11,-18734.060546875,2548.01,226.3918
552,2760000,352.4032,552,4275.42,-18716.9375,3449.37,200.7195
553,2765000,364.5194,553,4050.05,-18740.251953125,3545.11,266.1171
554,2770000,370.3443,554,3797.51,-18994.544921875,3050.89,279.3682
555,2775000,370.5206,555,2514.98,-18004.939453125,3110.51,289.715
556,2780000,356.5728,556,3767.26,-19275.40234375,4173.7,207.9411
557,2785000,372.2753,557,3259.69,-18862.751953125,2409.74,280.2124
558,2790000,361.9112,558,2773.9,-19474.62109375,3572.85,282.1337
559,2795000,350.1271,559,2896.24,-19412.1171875,4214.4,202.2479
560,2800000,360.9039,560,3909.84,-18782.5390625,3162.03,281.6585
561,2805000,358.2163,561,3709.87,-18632.03125,3148.42,327.7133
562,2810000,372.012,562,1603.84,-16585.36328125,1944.08,421.3445
563,2815000,371.6909,563,2760.39,-18094.390625,1852.9,433.7298
564,2820000,343.1562,564,2123.67,-19118.0078125,1942.17,319.4061
565,2825000,353.8005,565,2410.95,-19249.14453125,2932.89,324.5159
566,2830000,360.4331,566,2721.38,-19189.48828125,2025.75,401.6948
567,2835000,387.7925,567,1093.74,-19194.57421875,1442.6,510.2508
568,2840000,420.8043,568,476.82,-19439.068359375,717.99,567.513
569,2845000,370.1503,569,2373.54,-19435.37109375,3495.74,368.3487
570,2850000,356.1614,570,915.19,-19039.287109375,950.49,414.3157
571,2855000,366.8877,571,2695.32,-19517.8984375,3090.0,278.828
572,2860000,350.4808,572,3528.63,-19308.6875,3758.38,253.0196
573,2865000,378.5861,573,2030.09,-19416.908203125,2191.29,380.4233
574,2870000,343.642,574,2511.29,-19255.86328125,3234.75,237.8389
575,2875000,374.2434,575,2449.71,-19406.48046875,2543.47,485.0095
576,2880000,351.0623,576,3002.25,-19249.23046875,3314.57,299.9984
577,2885000,327.184,577,3606.52,-19145.123046875,3705.81,197.9186
578,2890000,368.3683,578,2531.26,-19635.16796875,3439.77,280.0729
579,2895000,344.7201,579,994.39,-19263.955078125,1065.09,352.5081
580,2900000,375.4177,580,1975.73,-19573.40234375,1771.11,346.3438
581,2905000,357.1748,581,2202.73,-19383.271484375,3295.87,389.8565
582,2910000,351.6447,582,2059.61,-19261.0,2062.46,443.7212
583,2915000,352.5494,583,1960.97,-19130.470703125,1948.48,329.925
584,2920000,354.9554,584,2165.99,-19241.84375,1466.16,380.851
585,2925000,350.3797,585,1508.96,-19146.705078125,2014.68,373.7138
586,2930000,369.7993,586,1323.1,-19343.140625,2174.96,398.7185
587,2935000,367.5254,587,578.21,-19369.681640625,1822.99,351.672
588,2940000,369.391,588,1272.17,-19570.21875,1620.56,341.2532
589,2945000,363.6892,589,1813.44,-19484.859375,2213.5,246.8017
590,2950000,377.1744,590,1717.55,-19504.291015625,1867.72,382.4694
591,2955000,377.7167,591,1722.64,-19583.064453125,1749.54,385.81
592,2960000,369.0528,592,3392.01,-19647.541015625,3316.78,282.0061
593,2965000,381.4994,593,1561.39,-19588.638671875,2342.92,443.861
594,2970000,405.2163,594,2286.62,-19691.087890625,1998.07,448.2652
595,2975000,374.73,595,2776.81,-19459.591796875,1212.0,353.4141
596,2980000,372.8907,596,2118.82,-19620.27734375,1698.31,346.9939
597,2985000,352.3602,597,2353.02,-19590.384765625,2524.86,288.9257
598,2990000,368.803,598,2076.96,-19560.283203125,2037.15,333.5108
599,2995000,366.194,599,2167.67,-19724.345703125,2546.03,318.147
