Itration,Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return
377,40.0281,15.59,4335.37,4485.89
378,39.3962,15.6155,4299.24,4323.64
379,39.3238,15.728,4396.95,4371.19
380,39.6649,16.2369,4438.16,4441.96
381,39.6149,16.7,4460.58,4430.84
382,39.2931,16.4761,4312.08,4469.57
383,39.6056,16.5975,4461.93,4423.24
384,39.4568,15.5816,4322.02,4333.71
385,39.5643,15.7999,4080.04,4402.05
386,39.4174,16.2112,4307.24,4407.37
387,39.5837,16.5483,4429.43,4453.84
388,39.2608,16.9611,4494.48,4431.76
389,39.4612,16.1854,4408.61,4460.65
390,39.6072,16.0198,4494.4,4517.91
391,39.0566,15.7958,4458.72,4466.97
392,39.7184,15.8965,4460.13,4473.47
393,39.2351,16.7274,4485.05,4517.33
394,39.5586,15.8216,4474.81,4497.99
395,39.0129,16.2419,4442.65,4453.1
396,39.2553,15.9597,4451.45,4463.97
397,39.3245,16.1923,4450.57,4445.91
398,39.5251,15.7748,4445.95,4460.4
399,39.4189,15.4384,4454.41,4468.8
400,39.4508,15.6275,4433.18,4437.08
401,39.6968,16.0065,4206.9,4403.34
402,39.4384,15.1948,4343.63,4391.92
403,39.5849,16.5618,4437.3,4438.37
404,38.5567,14.7687,4330.29,4493.74
405,38.8856,14.9866,4404.94,4432.95
406,38.8445,15.2318,4490.07,4503.7
407,39.0174,14.6745,4225.39,4486.99
408,38.9958,15.1365,4264.09,4453.9
409,39.0003,14.2359,4236.78,4484.48
410,39.392,14.6648,4409.44,4382.78
411,39.6525,14.9716,4262.66,4487.27
412,39.7636,15.52,4502.88,4505.17
413,42.758,39.2344,2011.13,2408.84
414,39.5468,15.6531,4110.29,4504.77
415,38.8762,15.7104,4470.21,4546.92
416,39.4268,15.785,4440.84,4477.03
417,39.531,16.2045,4523.44,4570.48
418,39.5347,16.6636,4446.52,4591.47
419,39.9366,16.7651,4479.71,4573.43
420,39.2587,15.6146,4525.96,4604.28
421,39.3598,15.4603,4467.55,4558.42
422,39.2841,15.2414,4437.9,4548.7
423,39.3675,15.081,4436.67,4505.94
424,39.3871,15.2199,4483.03,4559.39
425,39.221,15.5056,4483.53,4528.77
426,39.1388,15.2177,4412.25,4552.87
427,39.2474,14.4176,4490.55,4541.85
428,38.9796,15.6023,4454.02,4597.78
429,39.3687,14.751,4436.38,4588.85
430,39.227,15.5291,4493.27,4585.75
431,38.7819,15.3676,4504.92,4585.6
432,38.9485,15.8244,4305.02,4516.3
433,39.4054,14.9941,4457.91,4474.78
434,39.1794,15.2519,4463.88,4510.54
435,39.3269,15.6727,4403.89,4471.3
436,38.9133,14.5635,4373.89,4382.95
437,39.4045,16.1545,4464.74,4477.27
438,39.4283,15.4236,4421.81,4439.18
439,39.3605,15.8591,4487.2,4508.78
440,39.3291,15.4421,4498.69,4524.15
441,39.6992,15.0551,4494.35,4501.32
442,39.1481,15.6701,4182.19,4497.03
443,39.3426,14.992,4254.14,4489.86
444,39.4421,16.0486,4440.06,4458.05
445,39.6886,16.7327,4437.69,4500.71
446,39.4873,15.1871,4321.21,4458.32
447,39.4585,17.2525,4412.07,4458.32
448,39.6233,15.4744,4214.72,4519.2
449,39.8652,14.8983,4052.89,4539.93
450,39.5028,14.7271,3968.5,4546.93
451,39.4197,15.3899,4395.06,4502.49
452,39.2281,15.793,4388.06,4490.27
453,39.5716,12.9649,4051.39,4448.34
454,39.1927,13.8415,4244.19,4523.58
455,39.1397,15.5161,4445.45,4590.71
456,39.0653,14.009,4175.91,4531.53
457,39.7559,14.1667,4180.66,3278.19
458,38.761,14.5386,4437.09,4571.63
459,39.8069,15.2626,4428.98,4501.0
460,38.8314,14.5697,4325.43,4615.36
461,39.3311,15.9582,3473.4,4508.41
462,38.8796,15.2459,4455.91,4420.87
463,38.9651,15.2656,4253.07,4371.06
464,39.5046,15.9685,4439.37,4460.19
465,39.4826,15.8663,4368.03,4345.25
466,40.7976,25.8397,2873.07,4212.79
467,41.1873,21.2551,2756.82,2425.34
468,41.4926,39.2815,969.99,1059.78
469,39.023,14.1796,3656.38,4344.09
470,40.0964,16.8246,4032.62,4343.27
471,40.0572,15.5839,3768.62,4363.18
472,40.3034,15.9768,4068.93,4347.52
473,39.3675,14.3502,3526.87,3972.93
474,39.5214,17.3632,4256.04,4447.17
475,38.9467,16.9467,4229.41,4458.74
476,39.4091,13.8622,4101.43,4078.58
477,39.0329,14.8804,3740.25,4470.66
478,38.7921,14.7013,4359.83,4481.36
479,38.8863,15.5145,4418.8,4366.08
480,38.962,14.4541,4399.39,3576.54
481,39.6569,15.7772,4088.25,4462.4
482,48.7292,22.3096,328.79,164.05
483,48.2337,27.3466,575.65,769.97
484,43.9652,32.4518,1672.51,885.99
485,39.9105,16.3935,4415.9,4411.55
486,39.6638,15.6775,4342.74,4313.93
487,39.9232,15.3945,4363.85,4388.63
488,39.7695,16.1019,4221.05,4456.25
489,39.8671,15.511,4450.45,4408.83
490,56.2171,84.5167,61.94,64.4
491,43.2099,30.324,1092.15,316.71
492,51.1502,40.0095,622.07,716.07
493,40.6974,17.1778,2580.24,1913.93
494,40.1506,16.6933,4222.36,4317.03
495,40.2093,16.1378,4067.84,4256.01
496,39.8177,15.6475,4405.85,4442.49
497,39.2895,14.7506,4409.57,4467.55
498,39.7585,15.5805,4183.62,4420.73
499,39.9999,16.4402,4167.41,3652.93
500,39.9294,15.66,4347.37,4552.1
501,39.516,16.5863,4071.91,4492.78
502,39.3386,15.8404,4355.62,4557.55
503,39.8158,16.6476,4358.55,4385.76
504,51.8235,37.824,38.31,59.59
505,39.0322,14.5044,3817.13,4498.55
506,40.1119,14.8945,3625.27,3996.35
507,40.0121,16.7877,3921.89,2361.28
508,39.0429,17.4764,3721.36,4243.33
509,40.1495,14.1889,3850.48,3444.28
510,39.9561,15.2742,4470.91,4511.7
511,39.951,14.1124,4030.04,1202.54
512,39.9925,14.4401,4432.49,2013.97
513,39.4721,15.3433,4452.28,4486.05
514,39.5247,15.9891,4156.88,3357.68
515,38.748,15.8949,4481.47,4517.68
516,38.6507,16.2017,4449.6,4536.41
517,39.0329,15.7829,4474.03,4548.5
518,39.0793,14.1602,3708.4,4487.55
519,39.562,16.2625,4503.17,4541.57
520,38.8643,15.8734,4252.99,4559.54
521,39.173,16.2148,4499.76,4566.96
522,39.2962,16.4109,4490.91,4522.42
523,38.6333,16.1672,4512.22,4524.21
524,39.7582,16.0539,4082.53,4602.66
525,39.3775,16.5452,4520.74,4553.81
526,39.1163,15.4812,4506.25,4591.71
527,39.2841,16.3437,4503.59,4562.28
528,39.223,15.6842,4513.06,4539.12
529,39.1025,16.2563,4468.72,4501.24
530,39.3614,16.4584,4373.21,4584.51
531,39.0265,16.3671,4506.08,4517.23
532,38.9809,15.7858,4462.96,4418.57
533,39.2301,15.8698,4378.35,4547.09
534,38.8561,15.0542,4461.19,4508.29
535,38.8491,15.2554,4479.65,4542.33
536,38.9022,16.3081,4573.04,4614.7
537,39.0844,15.8541,4486.64,4522.51
538,38.771,16.103,4530.39,4552.6
539,38.9286,15.7636,4579.86,4637.89
540,38.713,15.2802,4330.78,4558.73
541,38.3587,16.0208,4588.08,4529.95
542,38.1877,15.3332,4554.72,4610.07
543,38.6456,15.3554,4572.33,4657.36
544,38.577,14.9778,4517.46,4539.94
545,38.5108,15.2244,4512.14,4554.45
546,38.4096,15.7117,4541.79,4625.02
547,38.9506,17.7009,3993.11,4576.65
548,38.7093,16.766,4650.6,4684.56
549,38.7604,15.3526,4527.37,4617.61
550,39.0736,15.7562,4581.85,4595.81
551,38.7461,14.8548,4356.33,4562.26
552,38.8992,15.5749,4562.8,4599.81
553,38.8935,16.002,4577.81,4609.25
554,38.7144,15.3838,4242.87,4518.92
555,38.915,15.8834,4516.54,4549.73
556,38.8012,15.8268,4494.99,4458.02
557,38.7964,15.9824,4479.45,4524.29
558,38.5401,15.8024,4466.58,4403.67
559,38.9225,15.4834,4501.75,4588.08
560,38.6578,15.331,4539.18,4478.58
561,38.7025,14.8998,4416.75,4513.87
562,38.9945,15.4902,4541.43,4491.25
563,38.6428,15.4576,4554.69,4570.56
564,39.1293,14.8763,4422.42,4491.1
565,38.8302,15.92,4433.1,4553.85
566,38.584,14.2967,4394.48,4536.78
567,39.1875,16.0704,4537.79,4510.04
568,38.5928,15.5099,4595.35,4636.72
569,38.9858,16.1732,4551.9,4566.49
570,38.7137,16.2274,4577.47,4517.65
571,38.7955,16.043,4585.5,4606.55
572,38.8599,15.4274,4609.73,4633.02
573,39.1203,16.5459,4532.18,4619.11
574,39.4075,16.1516,4606.79,4560.2
575,39.1672,16.1084,4360.49,4600.15
576,38.5104,15.2407,4360.85,4436.18
577,38.6005,14.9674,4582.45,4521.72
578,38.513,15.8674,4214.25,4504.31
579,38.6004,14.8975,4578.32,4574.63
580,38.6597,15.666,4549.71,4629.02
581,38.5293,15.5654,4516.89,4617.26
582,38.3785,14.8869,4535.56,4565.25
583,38.6519,15.8908,4522.9,4505.29
584,39.0985,15.5987,4555.52,4523.29
585,38.9926,16.4135,4557.52,4605.24
586,38.5828,15.8711,4564.94,4581.88
587,39.3312,16.2631,4583.64,4643.37
588,38.8848,16.1188,4374.48,4611.81
589,38.8819,15.0393,4380.66,4647.83
590,39.2905,15.5809,4541.56,4475.76
591,38.9385,15.7611,4323.28,4648.21
592,54.7674,91.3169,-8.81,-8.81
593,53.5537,32.5973,37.56,50.38
594,48.9819,97.5605,626.74,673.65
595,51.0962,25.5387,353.98,373.0
596,44.5393,38.7216,1339.21,1501.55
597,46.3417,30.6898,732.83,654.01
598,49.3926,21.7051,772.32,310.24
599,42.2251,20.1826,2276.11,2221.08
600,43.6326,17.8906,1614.42,2759.51
601,41.0278,19.2675,2952.24,3450.99
602,40.3708,17.1131,3982.68,4007.17
603,40.455,17.0807,3503.2,2959.03
604,40.6833,16.4787,2382.28,3163.88
605,39.8183,16.9003,3910.75,4324.4
606,40.295,16.5472,3892.0,4218.77
607,39.662,16.8178,3245.6,3594.26
608,39.3394,16.4212,3997.19,4287.34
609,40.1388,16.7453,4134.05,3228.87
610,40.2832,15.311,3381.24,2917.82
611,40.1448,16.1761,3672.9,2977.26
612,39.4117,17.5516,4137.99,4311.63
613,39.4275,17.6578,4462.91,4568.07
614,39.5562,20.2065,4498.77,4544.02
615,39.4022,18.4966,4468.1,4513.82
616,39.6789,19.2782,4492.28,4578.72
617,40.3136,16.6374,1209.03,934.04
618,41.8489,24.4603,1116.77,1583.81
619,39.2765,19.9118,4494.47,4529.87
620,39.4906,18.9539,4392.33,4545.05
621,39.2694,20.1754,4452.92,4601.74
622,39.1955,17.7681,4475.64,4487.13
623,39.3919,18.7301,4479.03,4511.95
624,39.0973,17.6343,4438.21,4467.11
625,39.1527,18.4417,4504.36,4576.45
626,39.1011,17.5849,4391.66,4609.96
627,39.1068,17.8399,4289.26,4473.72
628,38.9755,17.5854,4488.8,4513.49
629,39.0651,17.0429,4447.25,4454.84
630,39.3325,15.9843,4450.8,4390.29
631,38.8542,16.0708,4456.16,4532.75
632,39.0409,16.7087,4461.54,4548.19
633,39.3823,15.6769,4385.03,4433.69
634,38.9137,16.3227,4462.64,4569.68
635,38.9179,17.867,4510.91,4574.71
636,39.2118,16.6778,4350.25,4542.56
637,38.9489,17.7836,4531.26,4542.85
638,38.6159,17.0871,4490.67,4511.02
639,38.7327,17.35,4483.68,4473.77
