Itration,Running Reverse KL,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Update Time,Running Env Steps
206,15.9524,9341.05,143.2799,-17777.505859375,10980.77,206,1030000
207,13.9725,6530.81,143.8466,-21096.359375,8443.2,207,1035000
208,15.6193,9165.76,143.569,-18401.62109375,10301.69,208,1040000
209,16.9551,10418.1,142.0736,-17018.126953125,11450.22,209,1045000
210,16.7396,8482.82,143.1673,-17142.626953125,10351.58,210,1050000
211,16.0984,7590.28,143.2929,-17763.19140625,9901.68,211,1055000
212,16.5747,10299.0,143.5417,-18310.95703125,11715.03,212,1060000
213,14.895,6761.08,143.6817,-20162.78125,7812.66,213,1065000
214,14.1594,7790.03,144.2988,-23399.1875,7790.33,214,1070000
215,18.1471,10471.94,143.462,-17454.10546875,11403.39,215,1075000
216,17.0051,6484.24,143.972,-21678.033203125,9403.33,216,1080000
217,16.3252,10028.62,143.4148,-18823.873046875,10079.14,217,1085000
218,16.0505,8680.41,143.3481,-19894.787109375,8741.54,218,1090000
219,17.7306,10982.85,141.868,-16411.1171875,11739.42,219,1095000
220,15.849,10618.27,142.3157,-18755.1171875,11149.17,220,1100000
221,17.1365,9611.84,142.0846,-17475.50390625,11365.42,221,1105000
222,14.0057,8955.82,143.1912,-22352.333984375,7730.94,222,1110000
223,15.5294,8886.29,142.9121,-19743.7578125,11476.34,223,1115000
224,17.6858,10961.94,142.7614,-16727.091796875,11874.28,224,1120000
225,14.0551,7858.37,143.6618,-23728.498046875,6311.2,225,1125000
226,16.754,8534.53,141.8445,-18650.537109375,8919.21,226,1130000
227,17.8238,9990.83,143.289,-17309.4921875,11875.01,227,1135000
228,16.3449,10586.9,142.3424,-18249.73046875,11953.35,228,1140000
229,15.9433,8918.92,142.7413,-18245.703125,10891.12,229,1145000
230,17.4565,10391.99,143.1225,-17912.4765625,10936.24,230,1150000
231,17.0377,10156.23,143.2655,-17943.595703125,11770.16,231,1155000
232,16.5357,9752.77,142.0324,-18168.267578125,11373.15,232,1160000
233,15.4657,8596.17,142.4727,-20277.01171875,11311.35,233,1165000
234,18.7553,11401.13,142.3016,-16814.513671875,12095.62,234,1170000
235,18.6377,11613.78,142.5737,-17416.451171875,12073.47,235,1175000
236,18.7111,11041.12,142.9038,-18322.42578125,11775.65,236,1180000
237,18.4945,11639.46,141.3478,-17368.126953125,12100.97,237,1185000
238,13.7565,8917.22,143.2713,-24454.08203125,4305.56,238,1190000
239,16.9513,11640.16,142.5219,-18317.412109375,12058.68,239,1195000
240,19.013,11335.46,143.3739,-18307.599609375,11969.29,240,1200000
241,17.2804,11726.6,142.5943,-18529.2578125,12082.23,241,1205000
242,17.4437,11517.85,142.6335,-18465.94140625,12087.87,242,1210000
243,18.3456,11703.68,141.8881,-17677.001953125,12098.67,243,1215000
244,19.1762,11574.41,142.3971,-18323.986328125,12101.13,244,1220000
245,19.2261,11722.74,142.529,-17857.873046875,12238.86,245,1225000
246,19.0113,10932.5,141.333,-18586.4140625,12137.94,246,1230000
247,18.45,11706.33,141.1042,-17869.779296875,11781.81,247,1235000
248,18.3246,11562.98,142.3577,-18645.98828125,12062.12,248,1240000
249,18.9706,11701.87,141.8912,-18276.640625,12273.27,249,1245000
250,19.2564,11766.42,141.8729,-18781.056640625,12105.02,250,1250000
251,18.8273,11854.33,142.293,-18359.423828125,12207.86,251,1255000
252,17.9847,11820.32,142.5462,-19763.115234375,12003.1,252,1260000
253,19.1646,11744.26,142.2268,-19048.234375,11741.98,253,1265000
254,17.855,11616.34,142.3587,-19678.154296875,12237.39,254,1270000
255,19.4454,11720.22,142.4339,-19238.951171875,12146.16,255,1275000
256,18.5893,11796.5,141.7617,-19445.384765625,12248.67,256,1280000
257,18.2927,11297.27,142.2938,-19149.90234375,12312.04,257,1285000
258,18.8343,11677.51,142.972,-19287.142578125,12012.23,258,1290000
259,18.3983,11847.76,142.0688,-19183.640625,12352.56,259,1295000
260,18.3234,11758.41,142.2304,-19693.947265625,12283.57,260,1300000
261,17.8267,11690.89,141.4503,-19383.5078125,12144.68,261,1305000
262,18.1372,11740.12,141.0053,-19664.212890625,12396.49,262,1310000
263,18.0459,11623.74,141.8931,-20318.806640625,12270.88,263,1315000
264,18.3828,11746.14,141.8217,-19359.916015625,12351.02,264,1320000
265,18.457,11824.61,141.1182,-19582.92578125,12316.75,265,1325000
266,17.86,11535.01,141.5194,-20062.767578125,12327.01,266,1330000
267,18.3934,11732.0,141.1342,-20407.7734375,12264.88,267,1335000
268,17.1432,11447.11,141.7615,-21316.185546875,12384.33,268,1340000
269,18.2978,11537.03,142.5534,-21017.2109375,12269.07,269,1345000
270,18.0791,11847.87,141.155,-20673.138671875,12332.67,270,1350000
271,17.9931,11815.59,141.7861,-20679.16796875,12396.35,271,1355000
272,18.2012,11707.68,141.7797,-21109.90625,12209.31,272,1360000
273,17.4319,11676.7,141.5653,-21192.935546875,12291.14,273,1365000
274,18.076,11479.3,142.0165,-20969.267578125,12292.3,274,1370000
275,17.1791,11476.36,142.1648,-21901.103515625,12011.34,275,1375000
276,17.0599,11758.51,140.1446,-20210.69140625,12314.84,276,1380000
277,18.0064,11695.79,141.7055,-20468.904296875,12320.69,277,1385000
278,17.5112,11847.16,140.3974,-20133.626953125,12349.89,278,1390000
279,18.2722,11803.35,140.6799,-20742.23046875,12388.27,279,1395000
280,18.154,11912.36,141.4088,-20435.205078125,12386.43,280,1400000
281,16.8971,11366.28,139.7608,-20498.484375,12133.46,281,1405000
282,16.1047,11610.24,141.8091,-22224.109375,12153.08,282,1410000
283,18.5988,11646.33,140.8901,-20762.119140625,12362.83,283,1415000
284,16.9717,11783.99,140.6339,-22073.853515625,12109.12,284,1420000
285,17.0519,11609.27,141.4268,-22120.55078125,12374.96,285,1425000
286,18.6469,11579.63,141.0639,-21043.654296875,12324.65,286,1430000
287,17.23,11844.02,141.3797,-22308.763671875,12306.4,287,1435000
288,18.5757,11787.39,141.7734,-21796.720703125,12466.87,288,1440000
289,18.1814,11571.6,141.6075,-22060.986328125,11650.19,289,1445000
290,17.8899,11797.96,141.357,-21708.26953125,12236.73,290,1450000
291,18.3839,11643.22,141.2562,-21772.244140625,12020.55,291,1455000
292,17.9937,11417.05,141.1165,-21678.29296875,12452.19,292,1460000
293,17.1202,11065.58,141.2147,-22549.59765625,12488.86,293,1465000
294,17.4425,11693.24,141.5341,-22842.578125,12397.87,294,1470000
295,16.5193,11588.12,141.2453,-23174.328125,12190.18,295,1475000
296,17.7004,11756.33,140.2861,-21669.236328125,12365.79,296,1480000
297,17.463,11773.17,139.8605,-22268.4921875,12356.63,297,1485000
298,17.0667,10576.82,140.5595,-21651.32421875,12226.54,298,1490000
299,17.4712,11957.25,139.9867,-21816.7421875,12411.29,299,1495000
300,16.5979,11927.31,140.1352,-23178.443359375,12530.41,300,1500000
301,17.9116,11456.4,140.661,-22716.296875,12561.72,301,1505000
302,16.5869,11923.67,140.9604,-24066.189453125,12372.79,302,1510000
303,17.7199,11852.11,138.8614,-20653.166015625,12300.16,303,1515000
304,17.6166,11321.45,138.2159,-22044.587890625,12429.91,304,1520000
305,16.64,11869.49,139.7247,-23338.759765625,12389.0,305,1525000
306,18.2117,12040.91,141.1745,-23947.693359375,12487.43,306,1530000
307,17.7399,12085.5,139.9448,-22907.5234375,12465.8,307,1535000
308,17.9865,11533.55,139.5701,-22704.513671875,12584.02,308,1540000
309,18.4472,11931.2,139.8541,-23014.59765625,12436.88,309,1545000
310,17.9671,11572.08,140.2782,-23993.103515625,12371.7,310,1550000
311,18.1698,11967.64,140.0074,-23159.09375,12449.45,311,1555000
312,17.8785,11630.08,140.5978,-24008.123046875,12399.79,312,1560000
313,18.0211,11596.73,140.8336,-23827.220703125,12179.94,313,1565000
314,17.285,11629.76,138.9946,-23531.19921875,11483.52,314,1570000
315,17.6124,11703.66,140.0771,-23503.466796875,12433.56,315,1575000
316,17.9423,12044.36,139.9251,-23365.66015625,12564.35,316,1580000
317,17.6368,10647.41,139.5002,-23608.294921875,11876.51,317,1585000
318,16.4114,11833.64,140.4251,-25202.84375,12481.56,318,1590000
319,18.0526,11857.46,139.2977,-24003.4609375,12376.2,319,1595000
320,17.4523,11828.58,140.5407,-24220.828125,12431.55,320,1600000
321,17.2404,10990.31,139.8466,-24682.404296875,12446.18,321,1605000
322,17.7927,10678.11,140.8616,-24208.583984375,12491.93,322,1610000
323,16.1889,11866.75,139.7231,-25009.951171875,12031.44,323,1615000
324,16.4424,11903.83,140.8368,-24799.8203125,12352.12,324,1620000
325,17.4011,11595.28,137.7999,-23941.59765625,12390.17,325,1625000
326,17.5568,11844.26,140.6626,-25556.736328125,12277.58,326,1630000
327,18.3937,12011.09,140.6427,-24456.078125,12483.34,327,1635000
328,18.3581,11432.42,140.0714,-25210.595703125,12075.42,328,1640000
329,16.2876,12056.12,138.5246,-24704.578125,12440.92,329,1645000
330,17.3288,11685.48,139.4718,-24942.716796875,12323.74,330,1650000
331,17.5078,10694.62,139.3628,-25147.57421875,12496.12,331,1655000
332,18.1852,11960.15,141.0035,-25871.068359375,12371.3,332,1660000
333,17.7035,11645.4,138.7644,-24988.1015625,12425.45,333,1665000
334,18.0277,11863.11,139.0414,-25238.5859375,12408.44,334,1670000
335,15.7846,10350.13,140.3919,-26616.16015625,12543.08,335,1675000
336,15.7015,11970.55,140.775,-27350.611328125,12150.19,336,1680000
337,17.919,11725.45,139.7382,-25889.263671875,12183.0,337,1685000
338,18.2923,11882.8,140.5281,-26369.1796875,12458.53,338,1690000
339,18.0535,11616.24,139.4785,-26514.556640625,12511.05,339,1695000
340,17.0114,10232.27,141.7337,-27492.484375,11933.24,340,1700000
341,16.4995,11700.15,139.6495,-26963.689453125,12429.08,341,1705000
342,16.9011,10350.87,140.0175,-25843.07421875,12430.66,342,1710000
343,16.7822,11586.47,140.0287,-27089.935546875,12189.16,343,1715000
344,17.9311,11859.41,140.2253,-26859.595703125,12384.29,344,1720000
345,17.5164,11940.09,140.2196,-26363.515625,12345.53,345,1725000
346,17.6629,11795.55,140.0346,-27120.0390625,12407.69,346,1730000
347,16.0285,10317.75,139.3342,-27090.322265625,11457.08,347,1735000
348,17.5986,11811.58,139.6377,-26844.998046875,12316.86,348,1740000
349,16.8334,11784.42,140.9458,-27503.22265625,12427.93,349,1745000
350,17.406,11456.47,141.7684,-28603.04296875,12265.82,350,1750000
351,17.8089,11807.24,141.2092,-27902.994140625,12130.53,351,1755000
352,16.3366,11803.03,138.9449,-27858.255859375,12415.88,352,1760000
353,17.6551,11973.77,139.2934,-27975.126953125,12520.36,353,1765000
354,17.7869,11791.65,140.7671,-28179.134765625,12237.67,354,1770000
355,17.4306,11734.96,140.6028,-28257.060546875,12326.35,355,1775000
356,17.0268,11798.94,140.5822,-28335.095703125,12326.17,356,1780000
357,17.3696,11565.97,141.4482,-28460.44921875,11853.19,357,1785000
358,18.192,11786.73,142.13,-28894.46484375,12245.28,358,1790000
359,17.2821,11735.24,140.8917,-29071.826171875,12494.12,359,1795000
360,18.2441,11777.33,142.1005,-28978.27734375,12311.91,360,1800000
361,18.3765,11989.4,141.7617,-29213.5546875,12463.5,361,1805000
362,16.0675,11516.65,141.8546,-30336.359375,11345.8,362,1810000
363,17.798,11599.64,142.5406,-28982.443359375,12054.7,363,1815000
