Running Env Steps,Real Det Return,Real Sto Return,Running Update Time,Itration,Running Reverse KL,Reward Loss,Running Forward KL
1975000,1331.03,1957.05,395,395,243.0621,-19260.130859375,342.8613
1980000,3961.12,4822.02,396,396,180.2317,-19482.4609375,328.8512
1985000,3877.64,3714.7,397,397,190.3243,-19636.02734375,343.7138
1990000,1414.59,1498.56,398,398,224.6911,-19531.482421875,344.1481
1995000,3545.37,4103.08,399,399,208.857,-19666.431640625,337.8216
2000000,2138.36,1946.8,400,400,274.4071,-19548.724609375,354.7447
2005000,796.86,1630.0,401,401,298.7358,-19598.28515625,369.0169
2010000,4618.88,3448.78,402,402,171.7736,-19694.6875,346.6952
2015000,3952.7,4066.92,403,403,160.1897,-19613.43359375,329.1463
2020000,4187.49,4464.16,404,404,218.4054,-19739.673828125,328.2844
2025000,5061.32,4523.16,405,405,137.6677,-19706.5546875,330.8527
2030000,4468.58,4844.88,406,406,147.0829,-19708.53515625,330.6197
2035000,4444.85,3898.23,407,407,312.3254,-19655.7265625,332.0073
2040000,4881.29,4628.46,408,408,139.7844,-19552.55859375,316.9824
2045000,4180.19,4775.96,409,409,166.347,-19580.751953125,347.0937
2050000,4240.0,4668.48,410,410,140.9651,-19344.10546875,332.5197
2055000,3592.13,3059.84,411,411,206.9626,-19487.015625,332.6951
2060000,3739.67,3079.87,412,412,170.451,-19363.3828125,321.544
2065000,3839.39,4202.81,413,413,211.482,-19404.09375,341.0944
2070000,4227.13,4152.91,414,414,168.0379,-19432.853515625,340.9952
2075000,4487.31,4143.89,415,415,221.9241,-19535.3359375,350.8694
2080000,3251.06,3192.97,416,416,180.2744,-19518.875,349.1797
2085000,2779.09,2636.93,417,417,421.1921,-19334.95703125,353.651
2090000,3648.71,2546.83,418,418,271.0468,-19583.69140625,362.9493
2095000,941.83,845.88,419,419,281.1768,-19210.71484375,367.9483
2100000,3723.32,3372.47,420,420,275.6078,-19480.517578125,355.8636
2105000,3186.84,2583.22,421,421,382.9804,-19475.765625,371.815
2110000,1205.92,1230.13,422,422,261.5778,-18808.685546875,393.9429
2115000,1720.34,1693.55,423,423,359.7171,-19295.953125,390.4044
2120000,1201.85,1256.9,424,424,547.5496,-19397.73046875,436.4187
2125000,976.63,1735.2,425,425,406.1967,-19060.359375,387.7947
2130000,3894.95,4141.54,426,426,236.3066,-19470.306640625,353.6516
2135000,2609.18,3111.93,427,427,344.9582,-19581.150390625,366.4626
2140000,3128.61,4028.89,428,428,239.3731,-19083.919921875,373.5212
