Running Env Steps,Real Det Return,Itration,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Running Update Time
1025000,2247.79,205,15.1006,-46247.72265625,156.5698,1903.47,205
1030000,2249.87,206,15.0593,-46383.87890625,156.7523,1905.27,206
1035000,2240.41,207,14.9369,-46758.27734375,156.7948,1904.98,207
1040000,2255.59,208,15.0749,-46913.78515625,156.7038,1915.01,208
1045000,2266.13,209,15.1578,-47183.3125,156.7064,1910.32,209
1050000,2227.89,210,15.1837,-47326.046875,156.8939,1883.23,210
1055000,2237.14,211,14.9864,-47519.3515625,156.7129,1894.82,211
1060000,2236.61,212,14.9009,-47586.65234375,156.709,1908.88,212
1065000,2262.62,213,15.1053,-47756.546875,156.6473,1903.37,213
1070000,2255.59,214,15.0521,-48071.7578125,156.7499,1906.95,214
1075000,2232.2,215,14.9813,-48096.89453125,156.739,1896.39,215
1080000,2264.54,216,15.2472,-48315.66015625,156.688,1912.49,216
1085000,2238.52,217,15.1619,-48564.70703125,156.5435,1897.87,217
1090000,2239.15,218,15.2098,-48718.40625,156.7043,1901.95,218
1095000,2226.85,219,14.9906,-48777.859375,156.6124,1891.94,219
1100000,2198.78,220,15.0422,-49075.66796875,156.7348,1881.33,220
1105000,2258.45,221,15.0916,-49389.4453125,156.8379,1905.73,221
1110000,2255.21,222,15.1595,-49489.28125,156.6581,1912.56,222
1115000,2233.51,223,15.1347,-49607.5,156.692,1891.13,223
1120000,2246.82,224,15.1201,-49813.125,156.5412,1910.99,224
1125000,2263.8,225,15.3018,-49973.64453125,156.7929,1910.61,225
1130000,2272.27,226,15.1976,-50158.05859375,156.4979,1923.15,226
1135000,2248.38,227,15.0205,-50361.0859375,156.7505,1906.82,227
1140000,2236.81,228,15.3584,-50678.07421875,156.7419,1914.46,228
1145000,2278.22,229,15.4781,-50752.96875,156.6277,1931.58,229
1150000,2254.51,230,15.1687,-50798.859375,156.4558,1920.51,230
1155000,2254.18,231,15.1985,-51142.77734375,156.7732,1891.72,231
1160000,2258.99,232,15.1821,-51207.015625,156.6381,1904.79,232
1165000,2236.31,233,15.0908,-51437.2109375,156.7722,1907.49,233
1170000,2264.3,234,15.1828,-51677.46875,156.549,1908.59,234
1175000,2242.62,235,15.1431,-51868.51953125,156.754,1883.18,235
1180000,2272.82,236,15.2389,-52084.421875,156.8329,1909.3,236
1185000,2254.27,237,15.2606,-52001.7890625,156.7671,1919.21,237
1190000,2252.19,238,15.2124,-52370.9453125,156.5929,1914.33,238
