Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Update Time,Itration,Running Reverse KL,Real Sto Return
1350000,4377.9,41.8639,-2481.912109375,270,270,14.2701,3869.15
1355000,4285.94,41.5064,-2242.547119140625,271,271,13.58,3619.5
1360000,4104.58,41.7654,-2356.296875,272,272,16.1248,3718.65
1365000,4376.42,41.9344,-2362.8564453125,273,273,13.8181,3954.1
1370000,4172.14,42.3032,-2674.3095703125,274,274,18.7926,3247.69
1375000,4319.89,41.8477,-2304.335205078125,275,275,12.7718,3690.96
1380000,4232.32,41.3565,-2311.550048828125,276,276,14.0616,4122.72
1385000,4300.26,41.5393,-2500.538330078125,277,277,12.9273,3718.15
1390000,4335.74,41.2285,-2328.112060546875,278,278,12.9363,3732.03
1395000,4285.96,41.719,-2394.945068359375,279,279,13.1231,4176.93
1400000,4242.37,41.4583,-2391.2880859375,280,280,15.8519,4039.04
1405000,4167.01,41.8782,-2512.097900390625,281,281,12.4255,4083.92
1410000,4215.35,42.1948,-2425.005615234375,282,282,13.8164,3806.1
1415000,4301.54,41.5427,-2481.941162109375,283,283,16.8144,3865.38
1420000,4301.08,41.8233,-2512.111328125,284,284,14.2058,4044.97
1425000,4366.79,41.4688,-2472.751953125,285,285,15.756,3825.57
1430000,4319.0,41.5885,-2399.85546875,286,286,13.8091,3938.89
1435000,4256.46,41.7061,-2646.20458984375,287,287,20.5594,3373.31
1440000,4319.46,40.7982,-2539.8310546875,288,288,18.3773,4203.43
1445000,4232.43,41.9804,-2616.347412109375,289,289,19.6749,3848.81
1450000,4287.41,41.359,-2405.78466796875,290,290,13.8014,3936.5
1455000,4330.57,41.682,-2675.162109375,291,291,15.8157,3542.05
1460000,4340.2,41.5355,-2603.18115234375,292,292,14.4324,3787.91
1465000,4159.17,40.9384,-2457.51611328125,293,293,14.3498,3686.62
1470000,4123.96,41.5694,-2622.710693359375,294,294,13.8525,4055.5
1475000,4262.23,41.9848,-2653.17919921875,295,295,17.4297,3912.17
1480000,-2.01,51.7425,-3717.062255859375,296,296,70.4725,856.21
1485000,4314.22,40.7458,-2539.1708984375,297,297,14.0188,4066.33
1490000,4256.35,41.473,-2640.62109375,298,298,13.7579,4139.86
1495000,4178.26,40.9896,-2536.10205078125,299,299,14.2466,3995.04
1500000,4270.59,41.269,-2718.2919921875,300,300,15.4487,4212.2
1505000,4295.82,41.1173,-2614.25732421875,301,301,14.0654,4199.85
1510000,4157.99,41.4735,-2643.81884765625,302,302,13.8257,4073.67
1515000,3434.14,42.3526,-3070.359619140625,303,303,22.0142,3675.66
1520000,4334.73,41.1607,-2775.928955078125,304,304,15.954,3772.6
1525000,4286.24,41.7279,-2818.954833984375,305,305,13.5969,3793.94
1530000,4235.48,41.0995,-2663.9384765625,306,306,13.8325,4051.78
1535000,4354.47,41.4732,-2987.120361328125,307,307,18.8759,4030.17
1540000,4278.65,41.402,-3051.42822265625,308,308,21.2404,3355.14
1545000,-1.34,46.8588,-3987.536376953125,309,309,61.6602,463.68
1550000,4342.54,40.8362,-2965.2119140625,310,310,17.9989,4021.38
1555000,3638.21,42.1361,-3279.470703125,311,311,33.0013,3713.1
1560000,4009.32,41.5982,-2879.800048828125,312,312,15.3202,3541.73
1565000,4226.73,41.9214,-3026.04052734375,313,313,18.742,3659.38
1570000,4204.25,41.5149,-2997.8515625,314,314,14.5723,3828.86
1575000,4338.54,41.801,-3259.863525390625,315,315,18.263,3819.59
1580000,4297.37,41.2174,-2962.60693359375,316,316,17.8394,3930.64
1585000,4200.27,41.4771,-3118.486572265625,317,317,15.9987,4005.47
