Itration,Reward Loss,Running Forward KL,Running Env Steps,Real Det Return,Real Sto Return,Running Update Time,Running Reverse KL
155,-2715.47021484375,23.9368,775000,1216.44,1198.67,155,15.8384
156,-1816.054931640625,21.5174,780000,3106.22,2526.64,156,20.9715
157,-3163.705322265625,24.7562,785000,3146.71,1866.76,157,29.3746
158,-2038.821533203125,21.1653,790000,2128.61,1461.79,158,13.1066
159,-1586.61669921875,20.8791,795000,3093.72,2736.32,159,11.5316
160,-1661.27685546875,21.3687,800000,3219.66,2386.67,160,13.2692
161,-2751.59814453125,24.6266,805000,1753.76,1276.15,161,25.4691
162,-2221.94970703125,22.6477,810000,2924.73,1986.23,162,15.1508
163,-1441.2467041015625,19.9091,815000,3107.67,2987.7,163,11.7642
164,-1728.8262939453125,20.0392,820000,3056.72,2448.16,164,11.6217
165,-1726.95751953125,20.9785,825000,3155.3,2747.01,165,11.6487
166,-2421.417724609375,22.4108,830000,2859.06,2079.27,166,17.298
167,-3201.519775390625,23.9982,835000,1377.82,979.8,167,18.4869
168,-3107.27392578125,23.3613,840000,2292.79,1093.68,168,15.2298
169,-1619.643798828125,21.2488,845000,3165.81,2719.15,169,15.3485
170,-1605.3658447265625,21.4481,850000,3128.77,3055.25,170,13.5742
171,-2359.447265625,21.6773,855000,3190.67,1829.02,171,12.9585
172,-1685.278076171875,20.9421,860000,3042.53,3079.32,172,12.738
173,-1296.31005859375,21.0546,865000,3118.96,2981.92,173,12.1952
174,-1194.6524658203125,19.6065,870000,3114.11,2590.0,174,10.5392
175,-1951.38720703125,21.0254,875000,2756.27,2537.05,175,12.1739
176,-1640.26171875,21.207,880000,3081.71,3139.53,176,12.8867
177,-3210.791259765625,23.7603,885000,1689.59,1781.55,177,14.9346
178,-2238.04150390625,20.6812,890000,3286.82,2705.04,178,11.5739
179,-2208.4462890625,21.8387,895000,3161.67,2724.13,179,12.644
180,-2147.113525390625,21.1637,900000,2251.58,2264.1,180,16.5025
181,-1643.2403564453125,19.554,905000,3154.83,3128.35,181,11.8398
182,-2327.6953125,21.0817,910000,3133.59,2660.15,182,22.7528
183,-1524.6885986328125,19.8348,915000,3141.13,3173.11,183,12.063
184,-1453.8314208984375,20.5931,920000,3152.3,3158.45,184,12.8892
185,-1416.921875,19.6608,925000,3215.06,2922.42,185,20.9451
186,-1426.62109375,20.719,930000,3104.58,3082.01,186,11.7266
187,-1695.9395751953125,20.3449,935000,3108.73,3076.71,187,11.9434
188,-1431.0369873046875,19.4581,940000,3197.23,3175.92,188,11.6201
189,-1740.58056640625,21.7094,945000,3153.3,2395.04,189,14.4467
190,-1843.18505859375,19.9216,950000,3140.67,3141.83,190,12.789
191,-1818.37890625,21.4399,955000,3092.35,3054.49,191,13.2683
192,-1867.482177734375,21.5851,960000,3040.92,3073.7,192,13.1201
193,-1619.08203125,20.7777,965000,3146.47,3152.79,193,12.9813
194,-1521.1815185546875,20.4723,970000,3154.96,3167.74,194,12.5324
195,-1766.737060546875,22.4369,975000,3050.78,2144.5,195,13.1443
196,-1770.4117431640625,20.5042,980000,3123.91,2991.55,196,12.1607
197,-1796.9560546875,21.7662,985000,3126.71,3096.9,197,13.1054
198,-2406.6279296875,23.1362,990000,3139.19,3005.65,198,17.0562
199,-1815.41552734375,22.7109,995000,3054.05,2120.04,199,14.5983
