Itration,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return,Running Forward KL,Real Det Return,Running Env Steps
276,52.9348,276,-8183.3095703125,5357.21,67.2707,6081.86,1380000
277,45.1219,277,-7845.45654296875,4249.23,64.6825,5624.32,1385000
278,43.1143,278,-7806.40087890625,4675.33,63.1108,5485.77,1390000
279,49.0885,279,-8220.4091796875,4731.6,66.0271,5507.5,1395000
280,31.2054,280,-7157.138671875,2186.85,60.4865,3033.34,1400000
281,56.1894,281,-8633.703125,4586.22,69.1154,5054.34,1405000
282,52.2631,282,-8450.3896484375,5182.53,67.3857,5968.74,1410000
283,46.0184,283,-7931.287109375,3315.06,65.4088,4952.17,1415000
284,52.0846,284,-8428.560546875,4337.28,67.8316,5216.58,1420000
285,50.599,285,-8391.986328125,3942.57,66.075,5252.09,1425000
286,42.1733,286,-7883.1318359375,3234.57,63.131,3740.11,1430000
287,38.3237,287,-7953.205078125,2275.07,61.675,3938.55,1435000
288,40.9898,288,-8065.85009765625,3914.22,62.2668,4093.48,1440000
289,34.0809,289,-7689.62255859375,2962.55,62.1414,4465.24,1445000
290,35.3514,290,-7765.8828125,2624.28,63.1795,3504.2,1450000
291,40.2963,291,-8274.3271484375,3033.63,61.2364,4597.13,1455000
292,37.103,292,-8211.1240234375,3743.16,63.025,5429.99,1460000
293,39.411,293,-8255.43359375,3220.49,63.6554,4030.9,1465000
294,35.5325,294,-7964.83349609375,4118.6,61.3837,4226.05,1470000
295,41.2954,295,-8288.8935546875,3265.06,62.7738,4072.49,1475000
296,40.6913,296,-8364.90234375,4684.46,62.0571,5511.34,1480000
297,43.3417,297,-8915.583984375,3980.49,62.8813,4954.17,1485000
298,44.0154,298,-8767.595703125,4631.74,63.1648,5176.67,1490000
299,37.841,299,-8417.0283203125,4749.64,61.0859,5110.05,1495000
300,41.7903,300,-8744.0361328125,3503.25,62.3021,4872.21,1500000
301,33.6133,301,-8365.7724609375,3957.03,60.0922,4559.55,1505000
302,39.4841,302,-8603.177734375,4032.46,61.8478,4556.45,1510000
303,36.1209,303,-8422.40625,2949.07,62.2767,4425.66,1515000
304,39.0499,304,-9052.552734375,3510.13,62.0095,4259.49,1520000
305,37.3272,305,-8608.8544921875,3751.21,61.2789,4563.37,1525000
306,36.3924,306,-8579.7373046875,3735.27,61.9511,5071.1,1530000
307,39.0128,307,-8992.3271484375,3513.04,62.0397,4174.11,1535000
308,43.1667,308,-9341.3291015625,4532.28,61.9081,4878.92,1540000
309,37.9012,309,-8711.4130859375,3754.9,62.3804,4245.65,1545000
310,46.8718,310,-9553.6640625,3910.21,64.7426,5209.08,1550000
311,43.7959,311,-9176.0498046875,4575.85,62.5133,5553.22,1555000
312,46.2095,312,-9410.650390625,3568.41,64.2361,4513.62,1560000
313,39.7443,313,-8973.62109375,3592.87,62.7148,4221.34,1565000
314,38.8137,314,-8628.1884765625,3520.91,63.0625,4810.21,1570000
315,46.2992,315,-9571.2626953125,3506.85,64.4125,4419.8,1575000
316,41.1406,316,-9349.7158203125,3171.8,62.9301,3322.64,1580000
317,41.9996,317,-9479.4345703125,3513.36,63.7965,4409.76,1585000
318,41.0754,318,-9457.4443359375,3856.55,63.5949,5194.08,1590000
319,39.9992,319,-9003.4267578125,3677.28,63.8364,4177.85,1595000
320,45.3716,320,-9765.9375,4010.19,65.5734,5072.33,1600000
321,43.2437,321,-9632.58203125,4893.94,64.9817,5514.46,1605000
322,40.57,322,-9685.908203125,3497.49,64.213,4852.29,1610000
323,45.9536,323,-9908.6181640625,3619.5,64.4342,4629.44,1615000
324,41.6099,324,-9662.3994140625,3753.33,64.458,5036.65,1620000
325,41.8775,325,-9831.1767578125,2934.83,62.662,4924.1,1625000
326,43.1073,326,-9663.2177734375,3533.93,63.2655,5215.14,1630000
327,38.4471,327,-9491.2919921875,3525.79,62.4075,4502.14,1635000
328,43.7692,328,-9814.5283203125,4363.53,64.1346,4864.89,1640000
329,43.0897,329,-9976.08984375,4634.86,64.4785,5033.16,1645000
