Itration,Running Env Steps,Running Forward KL,Running Reverse KL,Real Det Return,Reward Loss,Real Sto Return,Running Update Time
396,1980000,585.0336,340.5513,57.05,-18557.9921875,56.48,396
397,1985000,594.617,328.1904,55.66,-18065.205078125,55.58,397
398,1990000,609.2846,321.1038,97.65,-17703.9375,98.39,398
399,1995000,591.9832,349.0109,57.3,-15758.0908203125,56.92,399
400,2000000,606.6786,324.5579,53.91,-17652.546875,54.38,400
401,2005000,587.567,345.9869,56.59,-16321.525390625,57.4,401
402,2010000,569.7839,341.3118,59.92,-15909.5869140625,57.46,402
403,2015000,601.1592,323.3127,57.52,-17147.099609375,57.27,403
404,2020000,615.0189,340.9669,54.17,-17537.052734375,54.19,404
405,2025000,599.5396,363.7886,53.78,-16484.337890625,54.3,405
406,2030000,616.3894,324.6268,54.66,-17713.15234375,55.15,406
407,2035000,575.6704,321.2635,55.28,-16942.033203125,55.54,407
408,2040000,595.2502,347.453,56.22,-17005.326171875,55.9,408
409,2045000,610.7708,349.5998,55.66,-16706.29296875,55.5,409
410,2050000,576.2704,369.4766,52.8,-15800.224609375,54.26,410
411,2055000,574.8827,332.292,56.87,-15847.1201171875,62.77,411
412,2060000,593.0995,317.3541,54.77,-16392.384765625,55.05,412
413,2065000,610.5569,369.2666,54.96,-16204.498046875,54.24,413
414,2070000,590.3601,513.4014,54.62,-14169.6259765625,54.38,414
415,2075000,568.3258,335.8107,57.72,-16652.923828125,58.63,415
416,2080000,619.9225,438.5817,55.77,-16134.2578125,55.67,416
417,2085000,571.7106,345.1529,53.81,-17433.73828125,54.31,417
418,2090000,579.1984,308.3843,53.74,-17340.630859375,53.71,418
419,2095000,602.8063,339.201,53.55,-18051.87109375,54.32,419
420,2100000,587.878,640.7184,55.64,-16508.26953125,55.99,420
421,2105000,587.9607,329.788,53.68,-17797.3828125,54.27,421
422,2110000,578.5788,344.0615,53.68,-16127.3271484375,53.66,422
423,2115000,608.8191,362.6032,53.69,-16907.125,53.68,423
424,2120000,630.6442,543.4784,55.41,-16873.791015625,55.03,424
425,2125000,582.9182,391.2081,52.42,-16740.291015625,52.42,425
426,2130000,577.5539,401.1495,53.72,-16411.103515625,53.72,426
427,2135000,616.8863,466.4732,53.62,-14313.5439453125,53.62,427
428,2140000,608.9123,651.4173,53.72,-13755.9794921875,53.73,428
429,2145000,601.7178,360.2346,53.68,-16370.2587890625,53.08,429
430,2150000,591.3083,321.9143,53.62,-16670.783203125,53.64,430
431,2155000,596.007,381.3751,53.72,-16769.177734375,53.72,431
432,2160000,582.0647,357.6962,53.68,-17415.234375,53.68,432
433,2165000,593.6057,349.6437,55.23,-17023.1015625,55.23,433
434,2170000,604.9922,377.698,54.2,-16254.8427734375,54.13,434
435,2175000,598.0897,356.9313,53.72,-16834.283203125,53.72,435
436,2180000,611.9597,397.5151,68.97,-16520.5234375,64.59,436
437,2185000,584.9338,331.6916,54.05,-17358.833984375,54.14,437
438,2190000,566.2987,382.7206,53.27,-17355.033203125,53.27,438
439,2195000,601.856,668.0892,54.05,-16597.556640625,54.05,439
440,2200000,605.6481,450.4361,57.78,-16464.181640625,57.78,440
441,2205000,603.8167,742.0393,58.24,-16803.8125,57.72,441
442,2210000,574.9446,481.3039,56.84,-17357.47265625,56.92,442
443,2215000,582.1055,517.1473,54.16,-17093.048828125,54.27,443
444,2220000,565.8618,560.8208,56.57,-15408.11328125,56.23,444
445,2225000,614.7508,1194.9146,56.1,-14541.6376953125,55.61,445
446,2230000,593.361,519.5321,56.45,-16733.56640625,56.45,446
447,2235000,615.7851,437.9931,56.18,-17594.939453125,55.62,447
448,2240000,607.6225,644.7293,56.66,-17852.70703125,56.23,448
449,2245000,582.7253,603.7917,54.26,-17700.60546875,54.2,449
450,2250000,623.9281,1058.2812,54.01,-16657.787109375,55.32,450
451,2255000,588.6174,601.3106,54.51,-17197.294921875,55.6,451
452,2260000,590.7905,745.3673,54.21,-15616.6640625,54.48,452
453,2265000,625.3789,613.4222,55.83,-16769.63671875,55.96,453
454,2270000,607.7527,498.4648,54.1,-17916.51953125,53.87,454
455,2275000,627.91,588.6223,54.79,-18119.76171875,54.47,455
456,2280000,619.0856,408.5367,54.44,-18010.322265625,54.43,456
457,2285000,617.0777,541.9675,53.13,-16900.060546875,53.49,457
458,2290000,627.471,436.5921,53.4,-18083.107421875,54.05,458
459,2295000,637.4317,573.939,56.41,-17071.28515625,56.33,459
460,2300000,644.7049,436.6752,54.28,-18374.203125,53.92,460
461,2305000,641.6898,446.1093,53.94,-18444.720703125,53.91,461
462,2310000,645.3286,759.8907,52.01,-18643.814453125,51.85,462
463,2315000,622.614,379.4447,53.94,-18438.83984375,54.0,463
464,2320000,639.8134,415.0064,53.67,-18320.27734375,53.57,464
465,2325000,625.1069,484.4073,53.95,-18301.470703125,53.94,465
466,2330000,606.5611,412.6639,53.82,-18432.169921875,53.87,466
467,2335000,647.5154,424.4573,54.06,-18763.00390625,53.93,467
468,2340000,651.7849,442.9168,54.2,-18799.69140625,54.15,468
469,2345000,633.4706,796.4127,52.27,-18060.34375,52.5,469
470,2350000,645.6248,427.3513,52.29,-18743.5703125,52.29,470
471,2355000,645.5425,412.6259,53.2,-19158.234375,53.35,471
472,2360000,611.1487,401.6984,52.62,-18874.765625,52.6,472
473,2365000,647.0062,446.1317,51.23,-19146.8828125,51.15,473
474,2370000,642.2301,466.718,50.52,-19132.87890625,50.37,474
475,2375000,607.3685,1086.6463,49.29,-18852.2421875,49.29,475
476,2380000,639.8165,545.2158,50.94,-19100.27734375,50.99,476
477,2385000,626.0119,455.6746,51.16,-19170.201171875,51.36,477
478,2390000,601.3819,551.409,51.7,-18980.525390625,51.9,478
479,2395000,600.9083,407.8472,51.74,-18971.64453125,51.67,479
480,2400000,648.9323,467.3953,51.86,-19181.0,51.67,480
481,2405000,601.1836,380.2874,52.18,-18998.01171875,51.85,481
482,2410000,591.2749,417.5266,52.07,-19083.751953125,51.79,482
483,2415000,613.1508,562.8459,51.78,-19244.931640625,51.63,483
484,2420000,619.2354,388.7207,51.66,-19035.0234375,51.74,484
485,2425000,610.6582,440.8366,51.97,-19221.671875,51.63,485
486,2430000,596.9434,517.4737,51.99,-19177.470703125,51.7,486
487,2435000,606.0945,504.3172,52.3,-19205.58984375,52.34,487
488,2440000,603.9521,547.6245,52.11,-19150.4296875,51.61,488
489,2445000,603.4628,473.2358,52.06,-19175.513671875,51.95,489
490,2450000,612.7836,451.0641,51.95,-19258.037109375,51.62,490
491,2455000,574.0831,403.3852,51.46,-18808.4921875,51.36,491
492,2460000,589.151,375.2909,51.73,-18858.126953125,51.96,492
493,2465000,596.1158,385.9229,52.04,-19020.48046875,51.75,493
494,2470000,604.2181,426.9753,50.98,-19258.712890625,51.17,494
495,2475000,591.1373,425.6755,50.28,-19205.0703125,50.61,495
496,2480000,639.6744,576.773,49.84,-19314.8125,49.75,496
497,2485000,633.5102,431.0657,49.77,-19372.98828125,49.84,497
498,2490000,602.8892,387.0964,51.02,-19222.91015625,50.84,498
499,2495000,581.1647,339.3682,50.24,-18413.22265625,50.19,499
500,2500000,570.7965,358.4747,50.46,-18675.9765625,50.47,500
501,2505000,629.2997,384.9997,50.5,-19258.857421875,50.56,501
502,2510000,584.9972,353.2454,50.45,-19026.16796875,50.45,502
503,2515000,604.4591,357.938,50.45,-18948.669921875,50.49,503
504,2520000,619.9714,404.1976,50.45,-19134.556640625,50.45,504
505,2525000,561.7911,364.8592,50.75,-18750.6796875,50.79,505
506,2530000,590.2903,368.3978,50.73,-19058.12109375,50.69,506
507,2535000,594.7722,366.8432,50.39,-19177.328125,50.4,507
508,2540000,598.7962,346.7228,50.42,-18995.537109375,50.39,508
509,2545000,587.1268,338.1192,50.41,-18853.677734375,50.34,509
510,2550000,564.9445,337.2382,49.74,-18465.509765625,49.49,510
511,2555000,570.4485,348.6633,51.69,-18984.552734375,51.87,511
512,2560000,602.1089,368.1852,48.62,-18861.04296875,48.73,512
513,2565000,566.9209,349.2924,48.67,-18693.28515625,48.45,513
514,2570000,591.1639,344.9014,49.88,-18580.779296875,49.83,514
515,2575000,591.7899,330.8445,50.28,-18997.09375,52.34,515
516,2580000,621.4476,352.8029,53.51,-19273.0859375,53.5,516
517,2585000,596.6963,352.6157,52.24,-19037.78125,52.25,517
518,2590000,638.4113,377.7871,52.5,-19340.89453125,52.5,518
519,2595000,596.6537,340.9735,51.77,-19239.0546875,51.58,519
520,2600000,590.8864,344.9342,50.92,-18732.162109375,50.65,520
521,2605000,568.4533,356.9078,53.05,-18740.513671875,52.97,521
522,2610000,559.2401,336.8997,50.79,-18981.486328125,50.82,522
523,2615000,581.4558,559.9151,49.73,-19031.625,49.71,523
524,2620000,578.6758,583.553,49.05,-18814.341796875,49.44,524
525,2625000,573.7732,334.3128,48.84,-18725.490234375,49.17,525
526,2630000,585.4136,446.7998,49.58,-19153.96484375,49.59,526
527,2635000,586.0114,719.3253,49.17,-19114.982421875,49.05,527
528,2640000,603.4715,349.0531,49.19,-19050.197265625,49.18,528
529,2645000,563.0484,331.6755,49.62,-18881.0390625,49.63,529
530,2650000,576.2003,326.2557,49.93,-18624.8359375,49.99,530
531,2655000,539.1562,318.9978,49.62,-18749.458984375,49.78,531
532,2660000,577.9351,330.5299,49.94,-18493.83203125,49.59,532
533,2665000,567.7767,346.4069,50.32,-18640.4296875,50.32,533
534,2670000,570.5413,323.3877,50.16,-18826.880859375,50.14,534
535,2675000,591.0058,337.9072,50.29,-18566.330078125,50.3,535
536,2680000,562.2911,345.4917,48.56,-18838.130859375,47.92,536
537,2685000,571.2082,394.9151,47.73,-18977.234375,48.24,537
538,2690000,556.8516,368.3211,48.73,-18890.55078125,48.8,538
539,2695000,551.388,394.1655,49.8,-18732.7109375,49.77,539
540,2700000,540.095,339.5512,50.24,-18881.81640625,50.29,540
541,2705000,558.9359,327.6656,49.91,-18846.55078125,49.91,541
542,2710000,558.4058,338.7466,54.87,-18416.408203125,54.83,542
543,2715000,575.0845,365.5215,53.83,-18973.77734375,54.08,543
544,2720000,566.0113,339.2058,56.08,-18839.166015625,56.08,544
545,2725000,567.8861,319.8944,55.96,-18531.22265625,55.96,545
546,2730000,570.4284,354.6253,55.96,-18887.466796875,55.96,546
547,2735000,549.6779,358.7319,55.96,-18892.6796875,55.96,547
548,2740000,585.9485,329.5808,56.77,-18831.298828125,57.0,548
549,2745000,576.7402,474.0146,55.53,-19299.626953125,55.76,549
550,2750000,582.7188,465.8411,56.78,-19248.63671875,56.78,550
551,2755000,594.3985,941.4993,55.84,-18947.23828125,55.65,551
552,2760000,590.4343,487.9603,53.35,-19129.75,53.81,552
553,2765000,559.3726,474.3406,55.84,-18851.951171875,55.68,553
554,2770000,579.2362,910.9183,55.84,-19229.759765625,55.84,554
555,2775000,565.3731,866.3603,56.07,-18786.90234375,56.07,555
556,2780000,589.1176,429.665,56.07,-19080.69140625,55.68,556
557,2785000,576.1776,435.9295,55.84,-18733.85546875,55.84,557
558,2790000,583.0152,446.2342,50.31,-18790.693359375,51.88,558
559,2795000,564.7749,455.5868,50.08,-18989.892578125,49.89,559
560,2800000,562.9129,473.0399,55.63,-18933.703125,55.65,560
561,2805000,564.6443,673.3848,55.67,-19018.599609375,55.7,561
562,2810000,570.8529,475.5807,55.66,-18904.583984375,55.66,562
563,2815000,599.6781,460.0197,56.47,-18665.384765625,56.38,563
564,2820000,581.63,475.1029,56.42,-18987.564453125,56.24,564
565,2825000,587.1796,425.8232,56.47,-18620.166015625,56.47,565
566,2830000,618.37,456.9419,50.5,-19174.580078125,50.71,566
567,2835000,626.3155,664.8486,53.96,-19441.294921875,53.96,567
568,2840000,585.215,428.7995,52.47,-19119.45703125,52.7,568
569,2845000,558.0811,459.1902,54.39,-19206.55859375,54.25,569
570,2850000,572.6456,494.7502,50.59,-19324.53125,50.81,570
571,2855000,588.037,494.0422,54.27,-19191.23046875,53.26,571
572,2860000,617.7975,520.5996,51.69,-19527.888671875,51.78,572
573,2865000,567.5344,434.9046,54.31,-19161.400390625,54.31,573
574,2870000,632.0991,504.7946,50.74,-19482.2578125,50.99,574
575,2875000,613.8673,518.565,50.4,-19528.734375,50.61,575
576,2880000,617.3367,443.0038,52.2,-19476.240234375,51.95,576
577,2885000,606.0701,463.5536,52.3,-19416.33984375,52.04,577
578,2890000,632.1377,486.7072,51.33,-19456.271484375,53.64,578
579,2895000,579.0872,364.1441,56.02,-18967.4453125,56.24,579
580,2900000,577.8404,386.3585,56.15,-19074.361328125,56.23,580
581,2905000,593.421,357.3155,55.23,-18666.248046875,55.29,581
582,2910000,585.4793,345.5519,50.02,-18794.90625,50.0,582
583,2915000,612.1001,356.7057,53.13,-19178.279296875,53.68,583
584,2920000,591.7148,357.0691,53.06,-18881.22265625,53.06,584
585,2925000,593.7878,365.5103,54.7,-19177.099609375,54.7,585
586,2930000,617.3899,379.0537,50.96,-19085.81640625,50.98,586
587,2935000,605.8626,376.9543,52.38,-19087.501953125,52.07,587
588,2940000,590.0622,383.8308,50.49,-19116.630859375,50.56,588
589,2945000,635.5217,665.36,51.09,-19524.888671875,51.1,589
590,2950000,616.8575,458.66,49.24,-19396.60546875,49.33,590
591,2955000,671.1686,596.7139,49.73,-19642.06640625,49.76,591
592,2960000,676.812,565.89,50.95,-19631.142578125,51.08,592
593,2965000,655.358,519.0446,50.57,-19653.30078125,50.15,593
594,2970000,641.0825,543.6387,52.07,-19604.47265625,51.75,594
595,2975000,652.8754,544.7794,52.84,-19626.77734375,52.85,595
596,2980000,676.0512,552.7362,52.87,-19701.548828125,52.78,596
597,2985000,654.5954,560.9207,52.83,-19698.486328125,52.86,597
598,2990000,629.4304,536.4673,52.83,-19672.35546875,52.83,598
599,2995000,683.653,589.3178,52.88,-19764.697265625,52.88,599
