Itration,Running Reverse KL,Real Sto Return,Running Update Time,Real Det Return,Reward Loss,Running Forward KL,Running Env Steps
388,52.0274,5382.39,388,5793.42,-8483.0380859375,65.93,1940000
389,44.4785,4131.03,389,4787.72,-7812.3056640625,62.5437,1945000
390,36.8045,3670.67,390,3843.12,-7116.126953125,59.8757,1950000
391,46.9977,5236.82,391,5648.15,-8299.83203125,63.435,1955000
392,51.4635,4139.42,392,4856.88,-8594.7470703125,66.674,1960000
393,51.8754,5265.97,393,5955.91,-8761.33203125,68.0007,1965000
394,52.2394,4897.47,394,5261.04,-8793.2568359375,65.7999,1970000
395,48.1112,4382.02,395,5393.77,-8814.4130859375,64.2669,1975000
396,47.7411,4931.56,396,5022.02,-8497.376953125,63.3284,1980000
397,42.8317,4173.86,397,4740.79,-8180.9892578125,62.4174,1985000
398,48.0616,3518.97,398,3855.94,-8041.3388671875,65.0789,1990000
399,51.0779,4977.9,399,5298.71,-8433.4560546875,65.8813,1995000
400,52.2593,5268.97,400,5991.86,-8844.26171875,67.6529,2000000
401,54.4778,5678.96,401,6128.92,-9299.8994140625,66.8209,2005000
402,54.3287,5644.13,402,6120.58,-9345.06640625,67.9354,2010000
403,50.2151,5606.85,403,6210.4,-9269.515625,65.5304,2015000
404,48.2165,5297.64,404,5437.03,-8915.4931640625,63.1787,2020000
405,49.0605,5243.85,405,5957.25,-9161.037109375,63.2004,2025000
406,47.8645,5335.83,406,6149.29,-9237.865234375,63.2295,2030000
407,34.6724,4056.05,407,4749.92,-7750.95849609375,55.8513,2035000
408,43.6265,5050.63,408,5426.55,-8145.76513671875,61.8383,2040000
409,49.8901,4753.73,409,6112.91,-9035.794921875,65.9956,2045000
410,55.7295,5675.17,410,6168.69,-9470.8134765625,68.6096,2050000
411,48.1529,5467.6,411,6003.19,-8843.96875,65.2804,2055000
412,50.9829,5386.77,412,5880.8,-9299.3466796875,66.3764,2060000
413,49.9023,5460.3,413,6125.03,-9454.8134765625,65.1974,2065000
414,47.9969,5210.48,414,5609.93,-9295.2939453125,63.419,2070000
415,38.7995,4177.2,415,4491.0,-8453.6767578125,62.1889,2075000
416,45.0615,5327.29,416,5703.81,-9176.1611328125,65.0787,2080000
417,37.0799,4582.88,417,4036.36,-8046.38671875,62.8568,2085000
418,51.5788,5433.42,418,5831.78,-9540.619140625,66.1132,2090000
419,54.1727,5036.51,419,5588.16,-9720.9091796875,67.311,2095000
420,47.4941,4909.26,420,4683.82,-9886.541015625,63.6123,2100000
421,49.3,4955.32,421,5143.93,-9696.5830078125,67.0644,2105000
422,47.4526,5060.65,422,5961.6,-9388.771484375,63.9298,2110000
423,54.53,5236.32,423,5299.87,-9953.5595703125,67.7567,2115000
424,55.754,5184.57,424,5607.47,-10113.0166015625,67.7004,2120000
425,55.1058,5592.29,425,5837.67,-10107.24609375,70.342,2125000
426,55.4673,5501.16,426,6036.42,-10305.3056640625,69.1482,2130000
427,53.2985,5325.05,427,5851.55,-9959.9013671875,67.2539,2135000
428,49.3316,5537.79,428,6084.15,-9830.19140625,64.5949,2140000
429,51.4856,5482.72,429,6002.88,-9831.673828125,66.1029,2145000
430,51.9967,5214.99,430,5686.03,-10024.9521484375,65.7579,2150000
431,46.8351,5160.61,431,5298.44,-9824.412109375,65.0916,2155000
432,47.6392,4850.83,432,5871.32,-9683.8134765625,66.0426,2160000
433,47.8535,5384.14,433,5628.9,-9678.8916015625,65.0969,2165000
434,43.4123,4740.91,434,5909.46,-9905.5458984375,63.4582,2170000
435,38.6913,4396.56,435,5513.53,-9356.529296875,59.6304,2175000
436,50.4354,5216.16,436,5730.42,-10228.771484375,66.0224,2180000
437,53.5045,5621.55,437,6181.13,-10504.6826171875,69.191,2185000
438,51.5017,5566.32,438,5547.99,-10007.9609375,65.9445,2190000
439,52.0018,5438.55,439,6209.49,-10324.1357421875,66.6388,2195000
440,44.6774,5480.51,440,6237.41,-9757.7861328125,63.752,2200000
441,49.3695,5255.38,441,5778.33,-9997.6669921875,65.8207,2205000
442,42.4962,4681.45,442,5711.29,-9864.2177734375,61.8216,2210000
443,58.3824,2513.03,443,2580.56,-8872.013671875,65.0557,2215000
444,48.7372,5516.84,444,6200.84,-10444.763671875,66.8862,2220000
445,55.4299,5663.82,445,6112.92,-10693.3251953125,69.2032,2225000
446,53.3402,5770.41,446,6339.97,-10626.2109375,67.6119,2230000
447,51.3419,5792.58,447,6360.64,-10649.9443359375,66.4029,2235000
448,58.9829,5532.5,448,6104.05,-10868.962890625,69.0474,2240000
449,51.5085,5469.69,449,6204.83,-10423.80078125,65.2295,2245000
450,52.7466,5162.56,450,5948.15,-10586.76953125,65.64,2250000
451,52.4872,5436.18,451,5936.15,-10726.232421875,68.0353,2255000
452,54.3222,5465.78,452,6154.38,-10594.2744140625,67.999,2260000
453,46.9061,5266.28,453,5045.55,-10308.994140625,64.166,2265000
454,50.602,5152.36,454,5887.76,-10663.478515625,65.3596,2270000
455,53.1424,5241.05,455,5682.62,-10536.9833984375,67.14,2275000
456,52.558,5306.67,456,5718.83,-10748.0888671875,66.6922,2280000
457,47.1924,5197.63,457,5641.9,-10078.1650390625,64.1361,2285000
458,53.1853,5142.3,458,5745.05,-10316.005859375,65.5349,2290000
459,45.0963,4223.21,459,4775.09,-10304.6015625,62.5348,2295000
460,34.6911,2143.39,460,2950.9,-8778.2666015625,56.0465,2300000
461,50.8357,5141.79,461,5065.33,-11225.4111328125,68.8647,2305000
462,52.9707,5364.84,462,5997.79,-10519.787109375,67.9863,2310000
463,55.5741,5084.34,463,5780.4,-10697.1318359375,69.2684,2315000
464,51.7906,4619.22,464,5502.55,-10602.033203125,65.468,2320000
465,56.4006,5573.72,465,6277.17,-11097.818359375,66.5271,2325000
466,55.9317,5611.49,466,6220.89,-11087.5205078125,67.6857,2330000
467,48.3511,4324.64,467,4689.89,-10430.7783203125,65.7443,2335000
468,50.5764,5648.33,468,5670.28,-11021.8037109375,65.863,2340000
469,50.9437,5672.12,469,5814.87,-11309.3671875,65.2642,2345000
470,29.7546,2397.71,470,2415.88,-8506.0517578125,55.3934,2350000
471,53.6424,5353.23,471,5748.92,-11481.4072265625,68.2822,2355000
472,54.2136,5406.27,472,6167.53,-11364.9873046875,67.0824,2360000
473,56.3343,5465.06,473,6059.89,-11154.01953125,67.3381,2365000
474,54.2786,5578.9,474,6209.0,-11598.958984375,67.5924,2370000
475,43.3086,3236.62,475,3094.54,-9449.3623046875,59.8796,2375000
476,57.3824,4856.24,476,5327.75,-11322.6884765625,69.162,2380000
477,60.1043,5671.47,477,6124.07,-11696.3408203125,69.8185,2385000
478,61.5507,5489.95,478,6177.34,-11806.1328125,68.9649,2390000
479,59.6782,5475.24,479,6117.94,-11693.3173828125,68.8892,2395000
480,57.1778,5771.63,480,6025.86,-11510.4482421875,66.546,2400000
481,49.5328,5141.11,481,5607.75,-11334.6513671875,66.3647,2405000
482,50.315,5144.12,482,5718.89,-10748.92578125,64.1992,2410000
483,35.9291,3145.3,483,3731.08,-8098.3076171875,57.0695,2415000
484,49.6992,3582.15,484,4115.21,-10749.5703125,69.0151,2420000
485,51.9789,5425.23,485,6084.9,-11419.341796875,66.8901,2425000
486,55.1045,5572.3,486,6098.7,-11764.8720703125,67.9827,2430000
487,57.2152,5416.25,487,6152.1,-11979.66796875,68.4009,2435000
488,56.692,5717.22,488,6127.5,-11934.3623046875,68.0256,2440000
489,58.6448,5499.74,489,6176.67,-12048.2841796875,67.8471,2445000
490,55.6539,5461.83,490,5568.06,-11454.6650390625,66.0656,2450000
491,57.4442,4958.61,491,5347.84,-11718.6318359375,67.6759,2455000
492,53.8886,4953.85,492,6249.09,-11782.9541015625,68.3007,2460000
493,46.8246,4158.08,493,5452.58,-9612.939453125,63.6702,2465000
494,57.1419,5388.05,494,6078.94,-11869.58203125,67.1285,2470000
495,50.6564,4913.94,495,5585.21,-11649.6337890625,67.5552,2475000
496,54.7873,5251.63,496,5168.31,-12027.1494140625,68.0563,2480000
497,49.6982,5311.26,497,5863.69,-11660.029296875,65.4325,2485000
498,53.721,4372.43,498,5229.33,-11577.9951171875,66.0617,2490000
499,50.8896,5461.22,499,5838.76,-11919.04296875,66.8773,2495000
500,53.5517,5728.68,500,5645.78,-12231.8818359375,68.1371,2500000
501,55.8583,5174.58,501,5680.14,-11897.498046875,68.3917,2505000
502,50.0893,5395.53,502,6119.68,-11860.0810546875,66.6016,2510000
503,46.8837,5235.66,503,5847.24,-11215.2607421875,64.9305,2515000
504,48.4577,4954.24,504,5602.99,-11799.8427734375,66.4211,2520000
505,52.3259,5430.71,505,6221.66,-12009.845703125,68.2021,2525000
506,47.7221,5204.32,506,5296.85,-11906.0361328125,65.8166,2530000
507,51.0847,5481.12,507,6044.58,-12258.5771484375,67.902,2535000
508,52.1371,5426.77,508,5520.21,-12270.0087890625,67.0008,2540000
509,51.8629,5204.25,509,5900.61,-12172.3056640625,66.5676,2545000
510,47.9309,5532.81,510,6047.04,-12135.6640625,66.1647,2550000
511,48.9621,4017.86,511,5423.62,-11723.9296875,65.1436,2555000
512,41.9507,3901.33,512,5582.2,-11358.0439453125,63.2209,2560000
513,43.1738,3407.79,513,4039.85,-11544.5146484375,62.8211,2565000
514,41.3188,5260.09,514,5017.95,-11607.3017578125,64.0973,2570000
515,50.3652,3778.37,515,4038.0,-10104.021484375,66.0471,2575000
516,38.7448,3783.97,516,4866.05,-11458.3173828125,62.6897,2580000
517,49.2017,4838.26,517,5719.59,-12064.5009765625,66.5163,2585000
518,54.5897,5461.9,518,5808.96,-12137.205078125,68.5341,2590000
519,55.108,5237.62,519,5711.55,-12277.3359375,67.136,2595000
520,53.4631,5260.65,520,5762.07,-12351.5224609375,67.1523,2600000
521,49.2509,4571.7,521,5830.73,-11971.1552734375,67.781,2605000
522,51.6418,4885.61,522,5324.97,-12298.521484375,67.5276,2610000
523,54.0283,4765.25,523,5929.96,-12570.376953125,68.045,2615000
524,55.3544,5660.47,524,5954.57,-12361.396484375,67.0399,2620000
525,55.3225,5642.74,525,5813.84,-12499.2548828125,68.264,2625000
526,53.558,5127.85,526,5863.26,-12654.2861328125,67.3502,2630000
527,51.9779,4853.34,527,5203.83,-12594.451171875,65.2092,2635000
528,54.4098,5372.74,528,6064.27,-12689.35546875,66.3849,2640000
529,50.9477,5224.71,529,5617.57,-12870.04296875,67.855,2645000
530,51.402,5091.05,530,5942.61,-12878.0029296875,66.9225,2650000
531,53.7995,5074.48,531,5803.2,-12508.8408203125,67.8771,2655000
532,45.2514,4769.3,532,4906.03,-12123.87890625,65.4409,2660000
533,49.5333,5228.7,533,5641.79,-12650.48828125,66.5636,2665000
534,47.6277,5072.25,534,5750.57,-12656.97265625,66.4617,2670000
535,46.775,5279.18,535,5113.17,-12568.779296875,65.4181,2675000
536,44.9599,4863.38,536,5592.36,-12360.5771484375,66.4412,2680000
537,40.5774,4280.95,537,5041.48,-11956.5849609375,62.124,2685000
538,44.2409,4168.15,538,5156.19,-12503.89453125,63.6083,2690000
539,45.8293,4954.33,539,5592.36,-12596.7333984375,65.7752,2695000
540,48.2067,5278.86,540,5644.62,-12622.7001953125,65.5549,2700000
541,51.0604,5429.67,541,5299.24,-12909.2587890625,67.4014,2705000
542,46.3489,4851.09,542,6019.16,-12490.5322265625,64.5914,2710000
543,49.9743,5528.94,543,5278.22,-12707.19921875,67.2645,2715000
544,50.2564,4697.86,544,4718.8,-11951.9560546875,65.6838,2720000
545,55.4493,5328.06,545,5795.23,-13258.5673828125,68.0362,2725000
546,53.7072,4433.08,546,6020.95,-12895.4521484375,67.8262,2730000
547,55.8072,5526.43,547,6062.52,-13105.9951171875,68.5222,2735000
548,53.8848,4666.78,548,4740.86,-12157.037109375,65.8606,2740000
549,43.9489,4738.34,549,4946.43,-11417.0869140625,62.1936,2745000
550,56.3559,5282.62,550,4626.08,-12899.9541015625,67.2138,2750000
551,45.5384,5013.57,551,5137.35,-11521.6865234375,63.4908,2755000
552,52.8985,5239.17,552,5123.04,-12942.494140625,67.5691,2760000
553,54.7413,5058.94,553,5493.23,-12592.9677734375,68.402,2765000
554,50.6058,4458.82,554,5447.5,-13003.56640625,66.743,2770000
555,49.1476,5056.28,555,4873.86,-13042.5859375,66.0627,2775000
556,53.1315,5111.57,556,5564.76,-13102.056640625,66.805,2780000
557,54.9794,5264.5,557,6021.66,-13215.576171875,68.218,2785000
558,48.8127,4008.37,558,4656.77,-12818.443359375,64.6475,2790000
559,55.9722,3053.19,559,3626.16,-11710.775390625,65.7506,2795000
560,61.2534,4908.77,560,5241.77,-13241.962890625,70.261,2800000
561,56.4849,5042.25,561,5658.04,-13337.2822265625,67.9542,2805000
562,61.4418,4807.23,562,5399.82,-13583.2978515625,71.0395,2810000
563,55.4569,4364.15,563,4737.81,-12673.892578125,67.2325,2815000
564,57.6296,4971.47,564,5728.78,-13408.2470703125,68.914,2820000
565,53.8491,5089.0,565,5659.62,-13361.513671875,67.5157,2825000
566,55.1534,4475.99,566,4905.81,-12486.5078125,66.3136,2830000
567,55.183,5637.43,567,5540.24,-13433.1123046875,67.7764,2835000
568,57.6665,3140.99,568,3727.7,-11296.357421875,68.1105,2840000
569,53.1347,3280.69,569,3580.36,-12629.3427734375,67.687,2845000
570,60.5645,5452.12,570,5635.86,-13767.3837890625,71.1651,2850000
571,56.2594,5606.85,571,6023.77,-13677.732421875,68.2357,2855000
572,55.7743,5120.06,572,5654.73,-13422.6669921875,66.8153,2860000
573,54.1597,5544.54,573,5252.82,-13092.890625,65.7402,2865000
574,52.6259,5430.05,574,5326.69,-13130.0341796875,66.7268,2870000
575,56.5241,5186.49,575,4895.38,-13447.1611328125,68.5913,2875000
576,71.9776,4772.71,576,5675.24,-12897.5654296875,68.2557,2880000
577,51.6538,5268.79,577,5991.62,-12960.9248046875,65.3075,2885000
578,57.0089,5373.23,578,6088.38,-13104.8203125,66.984,2890000
579,52.1714,322.79,579,452.87,-7187.33740234375,77.2629,2895000
580,54.5261,5200.78,580,5885.47,-13306.62109375,67.6872,2900000
581,61.1064,5183.26,581,5901.15,-13560.787109375,70.2536,2905000
582,55.9452,5597.24,582,6109.08,-13578.544921875,67.8741,2910000
583,56.5342,5586.41,583,6004.65,-13644.91796875,67.385,2915000
584,61.5194,5421.09,584,5440.09,-13716.65234375,69.7058,2920000
585,59.4176,5292.85,585,6066.41,-13936.1494140625,70.2029,2925000
586,59.3483,5677.19,586,6084.18,-13965.728515625,71.0071,2930000
587,60.5938,5523.55,587,5354.07,-13667.23828125,69.973,2935000
588,55.474,5489.04,588,6183.5,-13448.248046875,66.6556,2940000
589,59.1911,5251.66,589,5995.91,-13675.6181640625,68.2642,2945000
590,56.9347,5242.76,590,5364.91,-13502.7373046875,66.9255,2950000
591,51.3023,5301.61,591,5134.05,-12981.8046875,64.4763,2955000
592,50.7286,4936.22,592,5892.04,-13161.8134765625,64.5994,2960000
593,55.2418,5422.8,593,5532.96,-13467.1015625,65.8989,2965000
594,54.1693,5337.75,594,5919.53,-13471.2685546875,65.8892,2970000
595,62.4495,4907.74,595,5806.38,-13093.3095703125,66.4733,2975000
596,47.4027,5200.48,596,5255.36,-12088.4248046875,65.7322,2980000
597,47.3501,4828.21,597,4772.29,-12281.974609375,64.2533,2985000
598,38.9681,1505.66,598,1643.83,-9199.625,59.7036,2990000
599,56.6138,5347.11,599,5518.71,-14085.58984375,69.019,2995000
