Running Update Time,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Running Forward KL,Real Sto Return,Reward Loss
386,60.789,1930000,386,4943.43,74.177,4158.72,-11196.5986328125
387,68.4661,1935000,387,5102.69,79.3923,4746.46,-12265.154296875
388,65.2856,1940000,388,5613.77,75.8681,4850.38,-11868.166015625
389,61.7063,1945000,389,5026.97,74.9347,3852.99,-11539.267578125
390,61.7573,1950000,390,4586.3,77.2758,4366.63,-12294.28515625
391,61.1727,1955000,391,4701.34,76.8612,3938.47,-11771.73046875
392,67.3927,1960000,392,5543.72,78.5587,4841.51,-12338.318359375
393,64.3461,1965000,393,5323.56,77.7713,4697.92,-12205.4931640625
394,65.481,1970000,394,5623.1,75.6551,4883.23,-12355.6611328125
395,67.1685,1975000,395,5491.03,77.9034,3681.51,-12246.001953125
396,63.0736,1980000,396,5180.64,74.7981,4333.26,-11563.7607421875
397,64.9041,1985000,397,5221.22,75.2114,4864.13,-12078.375
398,64.8835,1990000,398,4889.6,76.167,4538.67,-12109.5625
399,68.6008,1995000,399,5456.73,76.569,4736.76,-11906.166015625
400,65.4829,2000000,400,4981.98,74.1209,4062.89,-11984.9150390625
401,61.3863,2005000,401,5177.66,72.8964,4647.79,-12082.26171875
402,63.8477,2010000,402,5151.2,73.5424,4037.81,-11876.2958984375
403,65.7336,2015000,403,5006.4,74.9554,4413.42,-12020.8369140625
404,67.2997,2020000,404,5626.43,73.4039,4881.55,-12424.955078125
405,66.0163,2025000,405,4949.71,75.8767,4730.51,-12266.947265625
406,63.4906,2030000,406,4833.04,73.5521,4789.22,-12017.1416015625
407,70.1781,2035000,407,5391.51,77.0906,5141.78,-12651.6171875
408,71.2466,2040000,408,5201.73,76.7164,4632.29,-12395.4638671875
409,67.0588,2045000,409,5303.15,74.1186,5018.74,-12303.390625
410,66.4546,2050000,410,5613.56,74.1188,4830.17,-12105.2333984375
411,69.6431,2055000,411,5513.36,75.6377,4697.54,-12546.95703125
412,74.9834,2060000,412,5519.85,77.4336,4720.19,-12498.0205078125
413,74.8067,2065000,413,5589.05,78.76,5150.76,-12783.548828125
414,70.8423,2070000,414,5662.74,76.9136,5053.18,-12491.3505859375
415,70.4427,2075000,415,5641.74,77.8253,5199.8,-12609.099609375
416,70.027,2080000,416,5589.17,78.0098,4973.5,-12871.3291015625
417,70.6979,2085000,417,5481.03,76.5707,5072.16,-12363.859375
418,71.9455,2090000,418,5373.87,76.1458,4815.48,-12080.5966796875
419,73.1856,2095000,419,5484.62,78.0971,5025.55,-12819.1875
420,75.0949,2100000,420,5293.84,79.2261,5069.94,-13029.0029296875
421,68.0617,2105000,421,5176.03,74.7716,4888.25,-12061.1376953125
422,71.4709,2110000,422,5549.23,78.0148,4866.63,-13184.0673828125
423,73.135,2115000,423,5512.59,78.0728,5034.75,-13146.9375
424,75.9715,2120000,424,5241.16,80.2368,4807.59,-13038.18359375
425,75.3368,2125000,425,5618.69,79.0816,4864.78,-13187.484375
426,63.5586,2130000,426,4753.13,73.914,4044.25,-12294.4130859375
427,76.0225,2135000,427,5168.42,80.8491,4432.81,-12877.5380859375
428,76.3868,2140000,428,5208.65,79.9171,5127.38,-13116.4267578125
429,67.6688,2145000,429,5373.79,75.7512,4820.85,-12298.10546875
430,76.5909,2150000,430,5412.56,81.3539,4348.23,-13065.560546875
431,74.8057,2155000,431,5342.51,78.5722,4818.21,-13112.1748046875
432,74.0052,2160000,432,5174.26,78.9196,4015.4,-13026.794921875
433,69.0604,2165000,433,4601.37,77.1003,4029.15,-12809.1357421875
434,73.7246,2170000,434,5221.64,80.2711,4594.19,-13034.49609375
435,79.089,2175000,435,5307.31,80.8028,4866.4,-13127.703125
436,74.9851,2180000,436,5216.81,80.8977,4269.83,-13390.09375
437,75.9937,2185000,437,5268.37,78.9606,4892.18,-13171.314453125
438,74.8871,2190000,438,4915.97,80.3764,4937.1,-13357.775390625
439,67.857,2195000,439,5071.55,74.416,4485.96,-12775.4619140625
440,75.921,2200000,440,5073.45,79.5414,4714.55,-13399.251953125
441,64.1227,2205000,441,5623.54,74.2052,4486.1,-12666.0498046875
442,71.8232,2210000,442,5427.55,78.0505,5251.87,-13481.6318359375
443,72.3211,2215000,443,5202.25,77.9707,4807.9,-13265.568359375
444,72.0179,2220000,444,5444.09,78.1541,4828.22,-13412.36328125
445,74.523,2225000,445,5098.72,79.4755,5001.19,-13487.119140625
446,69.3321,2230000,446,5365.88,77.0763,4639.42,-13308.3447265625
447,73.3242,2235000,447,4988.81,76.9074,4568.73,-13470.1767578125
448,71.1474,2240000,448,5350.2,76.5984,4921.61,-13064.0888671875
449,75.8682,2245000,449,5541.95,80.0181,5182.65,-13686.9853515625
450,73.7697,2250000,450,5590.02,77.6859,4604.97,-13470.525390625
451,71.4589,2255000,451,5338.22,76.7045,4636.85,-13402.9521484375
452,82.0458,2260000,452,5393.21,82.7946,5130.31,-13565.978515625
453,76.5554,2265000,453,4560.55,81.2312,4446.83,-13625.2646484375
454,74.289,2270000,454,4881.71,79.4828,5075.89,-13548.33203125
455,72.9595,2275000,455,5051.0,79.568,3989.0,-13616.779296875
456,73.3309,2280000,456,5369.51,79.0811,4786.15,-13208.4091796875
457,77.5181,2285000,457,5447.88,81.8061,4605.36,-13709.5517578125
458,70.0073,2290000,458,5429.57,77.3346,4804.79,-13673.6318359375
459,72.4694,2295000,459,5525.47,76.7662,5205.55,-13480.478515625
460,76.3887,2300000,460,5322.73,79.6336,5302.84,-13831.1572265625
461,73.1156,2305000,461,5331.18,77.2663,4537.21,-13763.4501953125
462,69.3294,2310000,462,5444.93,74.7973,4970.31,-13209.8857421875
463,68.2048,2315000,463,4908.68,74.5462,4408.53,-13011.2265625
464,72.2291,2320000,464,5439.77,75.0017,3860.13,-13521.341796875
465,72.0012,2325000,465,5367.32,78.5822,4318.82,-13596.9560546875
466,75.5319,2330000,466,5335.02,80.4434,5057.38,-13823.5888671875
467,80.6193,2335000,467,4353.72,75.9656,4241.07,-12556.705078125
468,69.5909,2340000,468,4837.17,75.6502,3949.82,-13565.4599609375
469,323.6973,2345000,469,-1250.06,88.1768,-844.66,-6180.31689453125
470,236.7782,2350000,470,-135.79,84.3912,-76.17,-4978.37646484375
471,174.2738,2355000,471,-125.73,80.0937,-20.01,-8037.28955078125
472,80.568,2360000,472,-75.22,91.627,-204.02,-8710.46875
473,82.2826,2365000,473,2249.02,85.9487,1999.97,-10929.134765625
474,76.0219,2370000,474,4206.38,85.118,3855.69,-13438.7685546875
475,77.505,2375000,475,4788.35,84.2125,4230.39,-14078.0595703125
476,76.74,2380000,476,3682.59,88.1218,3346.02,-14317.5810546875
477,124.0306,2385000,477,564.44,83.3146,1408.9,-11864.2353515625
478,256.4047,2390000,478,-849.84,81.7671,-1008.55,-7197.3798828125
479,65.7579,2395000,479,2566.89,76.028,2227.32,-11722.9384765625
480,93.2877,2400000,480,3154.58,85.5422,1698.49,-12784.6103515625
481,90.7879,2405000,481,2019.19,87.9081,1529.24,-13829.447265625
482,74.2897,2410000,482,1259.96,85.5551,1070.73,-13797.6015625
483,107.452,2415000,483,694.39,81.5943,1054.9,-12300.20703125
484,74.685,2420000,484,3920.36,83.6796,3065.26,-13966.1201171875
485,90.6964,2425000,485,3719.42,84.7661,3317.46,-12933.078125
486,102.2045,2430000,486,2407.18,80.4342,3007.84,-11175.125
487,115.7549,2435000,487,145.44,75.0613,217.87,-9297.837890625
488,110.8124,2440000,488,1931.04,75.8594,1171.49,-11002.28125
489,182.548,2445000,489,454.94,78.3788,168.96,-7190.4384765625
490,110.4184,2450000,490,611.44,71.3553,566.91,-7561.52978515625
491,68.4939,2455000,491,2645.11,74.366,978.78,-11963.4248046875
492,101.6251,2460000,492,3098.69,85.8339,2215.87,-13637.9638671875
493,88.787,2465000,493,2766.21,82.6459,3516.22,-13600.861328125
494,81.3494,2470000,494,3869.81,83.1055,2417.23,-13824.9306640625
495,126.9436,2475000,495,2346.5,83.3725,1721.82,-12882.7529296875
496,72.9444,2480000,496,3256.57,85.0866,3433.69,-13640.279296875
497,96.1905,2485000,497,4420.85,85.3088,3185.75,-13954.3076171875
498,96.2483,2490000,498,4232.86,87.0913,3363.46,-13976.6025390625
499,77.3806,2495000,499,3958.66,84.216,3669.11,-14042.1240234375
500,77.1888,2500000,500,4587.95,85.1803,3688.08,-14376.5908203125
501,76.9739,2505000,501,4739.89,82.3731,4265.32,-13507.76953125
502,71.1441,2510000,502,4954.06,84.0156,4273.4,-14409.33984375
503,64.7154,2515000,503,4416.24,80.2257,3807.8,-13670.9365234375
504,63.6554,2520000,504,4498.15,80.3206,3400.62,-13705.0859375
505,78.6121,2525000,505,4635.24,80.1182,4014.4,-12919.8740234375
506,65.8647,2530000,506,4822.57,80.0664,3735.77,-13545.4443359375
507,61.5122,2535000,507,4796.14,79.6668,3608.27,-13915.3828125
508,67.2482,2540000,508,4218.03,79.3432,3124.87,-12976.06640625
509,66.6163,2545000,509,3797.95,78.4461,3595.26,-12925.736328125
510,65.9737,2550000,510,3837.29,81.295,3137.26,-13415.197265625
511,66.7768,2555000,511,3303.81,78.7591,3277.81,-12448.3740234375
512,68.7568,2560000,512,4269.06,82.4742,2845.71,-14017.3203125
513,68.8084,2565000,513,4194.53,82.3962,3047.74,-13757.3740234375
514,63.9424,2570000,514,3580.18,77.7617,3117.77,-13248.6328125
515,108.8833,2575000,515,4494.22,83.6981,3884.07,-13650.720703125
516,67.8142,2580000,516,4726.95,84.8472,3740.29,-13671.4169921875
517,68.3823,2585000,517,4555.71,81.3598,3947.71,-13165.8984375
518,139.2596,2590000,518,-302.22,79.4789,-250.22,-8443.50390625
519,263.5921,2595000,519,-1117.23,84.2612,-1047.19,-9601.658203125
520,214.5047,2600000,520,-184.99,86.8441,278.03,-8533.1748046875
521,90.7787,2605000,521,2653.54,83.6161,2364.89,-12981.583984375
522,80.4937,2610000,522,1578.43,84.8954,1705.21,-13578.4931640625
523,78.8204,2615000,523,1136.71,85.383,1010.44,-13746.6904296875
524,77.2502,2620000,524,2065.22,83.5297,2496.25,-13912.6396484375
525,84.7516,2625000,525,2880.66,87.8521,2937.24,-14734.3525390625
526,80.0884,2630000,526,3499.41,84.3562,2469.73,-14531.3642578125
527,81.043,2635000,527,3905.72,85.6767,3790.64,-14800.1904296875
528,81.5038,2640000,528,4801.65,84.8205,3467.26,-13925.8935546875
529,81.6994,2645000,529,3664.93,85.072,3501.32,-14895.6904296875
530,86.3735,2650000,530,4761.99,83.8769,4285.46,-14690.4697265625
531,83.0127,2655000,531,5107.15,83.3919,4652.3,-14950.9892578125
532,82.0541,2660000,532,5160.73,85.2189,4095.9,-14904.1796875
533,80.0194,2665000,533,4967.7,83.1762,4679.51,-14973.0947265625
534,77.5174,2670000,534,4981.65,80.6175,4621.29,-14784.8193359375
535,58.8623,2675000,535,4257.16,75.3354,3379.5,-13819.7314453125
536,116.2494,2680000,536,4321.4,77.5035,2819.19,-12125.5458984375
537,72.2876,2685000,537,4234.69,78.4448,3832.98,-14148.7021484375
538,60.1141,2690000,538,4681.1,72.8616,3836.15,-13325.5478515625
539,65.7839,2695000,539,4022.87,78.0367,3172.09,-13606.21484375
540,73.1319,2700000,540,4043.25,78.9077,3476.47,-12991.9453125
541,63.786,2705000,541,3843.31,76.8026,3874.11,-13284.1953125
542,62.2467,2710000,542,3026.81,77.096,3259.41,-14076.982421875
543,78.5485,2715000,543,3957.07,80.2087,3291.6,-13547.7919921875
544,54.9921,2720000,544,4160.92,73.7693,3616.21,-13813.8447265625
545,58.5789,2725000,545,4017.36,75.2374,3513.76,-13352.025390625
546,54.6833,2730000,546,4119.97,73.9951,3578.42,-12838.1318359375
547,65.5801,2735000,547,4025.71,75.2609,3614.57,-13408.521484375
548,57.8072,2740000,548,4596.18,74.5945,3480.23,-13714.02734375
549,60.4395,2745000,549,4887.72,74.8514,3529.48,-14138.080078125
550,85.1739,2750000,550,4548.07,77.8961,3062.19,-13526.9130859375
551,67.1256,2755000,551,4386.09,77.3299,4022.75,-14176.853515625
552,57.3864,2760000,552,3817.21,75.2105,3292.86,-13717.037109375
553,61.7607,2765000,553,3408.0,75.407,3733.51,-13661.2333984375
554,61.6188,2770000,554,4020.28,75.2505,3456.01,-13129.0166015625
555,90.0745,2775000,555,3965.83,78.5843,3830.64,-13766.203125
556,92.2808,2780000,556,4274.85,75.5988,3326.87,-13337.3232421875
557,61.2228,2785000,557,4041.61,76.09,3527.63,-13382.6923828125
558,113.4481,2790000,558,3687.09,75.434,3878.35,-12956.3193359375
559,60.5258,2795000,559,4354.45,74.7794,3528.07,-13647.5546875
560,55.4729,2800000,560,4471.67,74.6539,3615.38,-13145.7041015625
561,62.6187,2805000,561,4169.1,76.3941,3521.2,-14429.6728515625
562,56.2954,2810000,562,4093.2,74.1784,3750.82,-14046.2724609375
563,70.1641,2815000,563,4054.47,74.6617,3052.42,-13146.5
564,71.9869,2820000,564,3594.73,74.2708,3143.13,-13726.2587890625
565,55.7611,2825000,565,4149.03,73.7606,3922.71,-13864.5078125
566,105.3613,2830000,566,3931.61,74.6833,3809.29,-12209.748046875
567,73.8583,2835000,567,4426.69,76.8568,3559.97,-14260.2763671875
568,58.5028,2840000,568,3711.94,75.2611,3057.58,-14155.8212890625
569,61.1195,2845000,569,4419.97,77.7191,3998.64,-14626.775390625
570,60.3341,2850000,570,3829.56,76.2972,3563.95,-13995.7685546875
571,95.8883,2855000,571,4554.78,78.4603,3863.07,-14226.3203125
572,64.5482,2860000,572,4300.78,78.9462,3539.36,-14680.140625
573,71.614,2865000,573,4614.54,79.1263,3964.83,-14703.0224609375
574,72.9746,2870000,574,4686.74,79.7779,3887.04,-14680.4306640625
575,87.7593,2875000,575,4267.4,78.5173,4330.47,-14219.4814453125
576,68.8276,2880000,576,4720.71,79.1796,3737.9,-14996.1533203125
577,66.9962,2885000,577,4176.34,80.3973,3099.39,-14467.0478515625
578,130.8066,2890000,578,4403.18,78.1003,3498.02,-13581.115234375
579,63.1145,2895000,579,3454.27,77.3774,4119.6,-13000.970703125
580,65.2691,2900000,580,4198.79,78.2314,3609.84,-14653.2978515625
581,64.8853,2905000,581,4698.05,78.1612,3911.95,-14501.12890625
582,69.0567,2910000,582,4094.46,80.4558,3903.3,-14882.0498046875
583,115.693,2915000,583,4190.01,81.4709,3205.73,-14275.9072265625
584,61.5864,2920000,584,4694.3,76.7175,3898.13,-14741.7353515625
585,67.6128,2925000,585,4699.89,80.1925,3750.14,-14957.521484375
586,72.2555,2930000,586,4733.58,81.2869,4021.34,-15189.6953125
587,65.7377,2935000,587,4979.95,80.6527,4529.4,-14641.2998046875
588,69.8719,2940000,588,4311.37,79.0936,4274.46,-15158.330078125
589,75.8555,2945000,589,4434.31,76.3105,3678.55,-14467.521484375
590,66.2051,2950000,590,3726.05,76.0056,3396.37,-14103.990234375
591,64.5127,2955000,591,4808.05,76.543,3995.58,-14845.1904296875
592,70.1693,2960000,592,5015.08,79.0772,4741.83,-14853.857421875
593,64.6746,2965000,593,4674.3,77.226,4063.13,-14958.3125
594,71.7755,2970000,594,4534.19,81.3414,3623.62,-15079.953125
595,76.4216,2975000,595,4465.27,76.3811,3886.17,-14228.7392578125
596,82.7188,2980000,596,4827.61,80.3841,3721.55,-14782.8544921875
597,71.8935,2985000,597,4736.88,78.588,3976.03,-14762.16796875
598,66.203,2990000,598,4373.63,77.3922,4284.12,-14568.8271484375
599,67.3514,2995000,599,4154.62,78.6607,4072.35,-14407.22265625
