Itration,Real Det Return,Running Update Time,Running Env Steps,Real Sto Return,Running Reverse KL,Running Forward KL,Reward Loss
175,1056.68,175,875000,1056.89,21.2107,33.7602,-7608.755859375
176,1087.24,176,880000,1086.54,44.8757,33.1995,-7854.0771484375
177,985.5,177,885000,823.68,147.648,34.0528,-8829.306640625
178,987.5,178,890000,987.51,113.478,37.7835,-9036.421875
179,745.39,179,895000,959.25,76.5941,33.0105,-6078.6396484375
180,1031.39,180,900000,1031.2,72.7342,34.5913,-8972.01171875
181,1034.27,181,905000,1034.8,72.4585,35.4962,-9061.46484375
182,1028.51,182,910000,1029.1,30.0567,34.3516,-8855.4052734375
183,1011.87,183,915000,1013.1,20.2401,33.6715,-6365.1357421875
184,1027.22,184,920000,1026.31,34.322,33.5707,-8772.7685546875
185,1034.07,185,925000,1033.48,44.5726,33.2027,-9236.166015625
186,1050.31,186,930000,1049.56,39.3834,33.8942,-9368.478515625
187,656.15,187,935000,609.63,142.1559,32.7106,-8810.0185546875
188,1019.02,188,940000,1018.98,82.0143,34.4859,-9846.6689453125
189,967.11,189,945000,960.59,105.8424,33.7987,-9644.361328125
190,971.98,190,950000,971.98,149.1804,38.3726,-10251.1240234375
191,970.23,191,955000,970.02,149.5434,39.0413,-10279.1923828125
192,126.54,192,960000,126.85,158.2147,39.0668,-10353.580078125
193,165.37,193,965000,165.28,154.0229,37.5525,-10341.7587890625
194,976.52,194,970000,976.5,151.4953,38.5543,-10552.0859375
195,977.57,195,975000,977.62,155.5883,38.1417,-10605.6123046875
196,975.28,196,980000,975.19,150.312,38.2415,-10731.6494140625
197,976.03,197,985000,976.21,153.6433,37.9692,-10817.666015625
198,982.97,198,990000,982.79,150.6688,37.8589,-10810.5517578125
199,982.62,199,995000,982.63,150.4429,37.4051,-11158.3193359375
