Itration,Reward Loss,Running Forward KL,Running Update Time,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return
384,-8659.0341796875,143.216,384,11396.84,1920000,17.8465,10422.51
385,-8503.1904296875,143.5255,385,11433.54,1925000,18.403,10961.51
386,-8788.7841796875,143.595,386,11290.29,1930000,18.905,10643.95
387,-8649.8994140625,143.9076,387,11046.88,1935000,17.4642,10566.9
388,-8848.5634765625,143.6911,388,10984.04,1940000,19.099,10804.33
389,-8514.9677734375,144.0379,389,11211.15,1945000,18.8959,10789.41
390,-8744.6865234375,143.5,390,11028.92,1950000,17.5728,10900.36
391,-8609.529296875,143.6886,391,10986.6,1955000,18.3739,10717.14
392,-8831.0625,144.3502,392,11105.23,1960000,19.2683,10938.41
393,-8753.134765625,143.6821,393,10447.5,1965000,18.4547,9378.97
394,-8564.5146484375,142.3571,394,11427.61,1970000,18.103,11112.15
395,-8780.43359375,144.2712,395,10816.1,1975000,18.0625,10741.42
396,-9000.0576171875,142.7651,396,10427.17,1980000,18.504,10997.31
397,-8994.4990234375,143.8079,397,10888.79,1985000,18.1608,9791.93
