Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Running Update Time,Real Det Return
66.2868,1355000,-11670.0400390625,28.1979,271,260.01,271,868.67
67.8033,1360000,-11770.904296875,28.4565,272,299.88,272,778.87
67.4074,1365000,-12059.447265625,28.609,273,314.68,273,683.58
68.3801,1370000,-12046.1826171875,28.6245,274,228.89,274,610.28
70.0252,1375000,-12209.4482421875,29.6675,275,337.78,275,884.28
71.1426,1380000,-12677.02734375,29.7387,276,266.86,276,743.09
68.4958,1385000,-12227.15234375,28.194,277,199.53,277,590.11
67.7485,1390000,-12361.3798828125,28.4416,278,239.29,278,754.81
67.9086,1395000,-12384.0859375,28.6103,279,257.34,279,551.75
69.2442,1400000,-12581.4677734375,28.7099,280,267.49,280,803.5
67.0938,1405000,-12446.1640625,28.6097,281,296.39,281,689.16
66.9743,1410000,-12464.318359375,27.9219,282,288.25,282,771.0
69.4652,1415000,-12842.23828125,29.3885,283,191.29,283,675.1
66.301,1420000,-12710.4736328125,28.4603,284,210.63,284,710.65
68.3012,1425000,-12945.8876953125,29.1973,285,324.07,285,779.58
69.5085,1430000,-12996.15625,29.2199,286,253.45,286,962.78
67.9457,1435000,-13004.0810546875,28.5044,287,220.35,287,731.93
67.976,1440000,-12829.3251953125,28.3636,288,245.21,288,920.32
68.3371,1445000,-13257.751953125,28.5917,289,273.69,289,654.57
66.5513,1450000,-12983.8330078125,27.4589,290,193.17,290,803.87
67.5623,1455000,-13209.064453125,27.9235,291,360.64,291,689.88
67.6212,1460000,-13473.9169921875,28.6386,292,256.11,292,783.39
67.7016,1465000,-13419.15625,28.6254,293,247.11,293,822.31
65.9178,1470000,-13199.87109375,28.028,294,194.49,294,810.32
70.606,1475000,-13824.060546875,29.03,295,261.15,295,480.46
70.3964,1480000,-14047.7626953125,29.2186,296,322.52,296,781.55
67.4819,1485000,-13698.83984375,28.5595,297,322.69,297,782.75
64.5906,1490000,-13126.76953125,27.2911,298,229.28,298,720.61
68.2163,1495000,-14213.953125,29.2683,299,223.52,299,631.62
65.5691,1500000,-13705.625,27.6964,300,202.57,300,683.78
66.082,1505000,-13799.408203125,27.8372,301,212.82,301,721.45
67.8874,1510000,-14058.34765625,28.1953,302,282.91,302,714.68
69.1577,1515000,-14411.595703125,28.7942,303,214.21,303,784.35
65.5264,1520000,-13796.140625,28.0803,304,216.64,304,612.32
68.2773,1525000,-14546.064453125,28.5877,305,167.94,305,669.83
67.4201,1530000,-14453.0888671875,28.5795,306,243.23,306,665.44
68.1049,1535000,-14555.91796875,29.187,307,301.86,307,580.17
70.0765,1540000,-14888.1904296875,29.343,308,262.98,308,630.57
67.8583,1545000,-14678.3486328125,28.8669,309,226.4,309,732.68
70.0947,1550000,-15065.2353515625,29.3024,310,295.85,310,717.85
69.1743,1555000,-14908.4814453125,28.8496,311,318.16,311,642.55
65.4937,1560000,-14542.7080078125,28.191,312,261.08,312,520.12
67.4238,1565000,-15140.6044921875,28.9991,313,235.39,313,847.63
65.5391,1570000,-14686.45703125,28.0217,314,201.82,314,830.2
