Itration,Running Update Time,Real Det Return,Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return
386,386,2316.22,156.5832,1930000,-13067.1767578125,15.0328,1931.86
387,387,2341.49,156.4995,1935000,-13025.4072265625,15.0433,1974.2
388,388,2321.99,156.5256,1940000,-13114.3017578125,15.0388,1941.83
389,389,2323.85,156.6136,1945000,-13089.9638671875,15.0048,1973.54
390,390,2339.82,156.3972,1950000,-13178.6025390625,15.1715,1956.89
391,391,2325.79,156.4578,1955000,-13126.0576171875,15.0826,1970.62
392,392,2350.03,156.492,1960000,-13218.978515625,15.0479,1958.16
393,393,2344.64,156.4338,1965000,-13214.9619140625,14.9432,1974.54
394,394,2329.8,156.5113,1970000,-13223.8076171875,15.0173,1976.12
395,395,2341.51,156.5528,1975000,-13287.2919921875,15.0467,1954.83
396,396,2306.57,156.4387,1980000,-13274.0869140625,14.8454,1946.68
397,397,2325.8,156.5477,1985000,-13329.25390625,14.8593,1962.6
398,398,2348.6,156.4915,1990000,-13329.0517578125,15.0765,1993.18
399,399,2355.33,156.4838,1995000,-13403.001953125,15.0296,1987.06
400,400,2354.37,156.5816,2000000,-13397.509765625,15.0044,1976.05
401,401,2324.07,156.4675,2005000,-13457.373046875,15.0087,1973.58
402,402,2317.46,156.4059,2010000,-13434.8642578125,15.0476,1951.54
403,403,2332.94,156.5453,2015000,-13438.9951171875,15.0359,1963.77
404,404,2341.95,156.4601,2020000,-13502.66796875,15.1007,1961.45
405,405,2353.47,156.5557,2025000,-13557.5625,15.1037,1983.98
406,406,2350.62,156.5168,2030000,-13566.7646484375,14.9787,1965.4
407,407,2348.96,156.4482,2035000,-13616.716796875,15.0464,1976.52
408,408,2343.1,156.616,2040000,-13609.705078125,15.0179,1968.69
409,409,2350.7,156.5225,2045000,-13627.458984375,15.0216,1987.34
410,410,2366.98,156.4782,2050000,-13665.607421875,15.0513,1995.57
411,411,2353.42,156.3421,2055000,-13620.9912109375,15.0583,1983.07
412,412,2349.81,156.6081,2060000,-13680.4482421875,14.9848,1984.43
413,413,2341.02,156.466,2065000,-13775.703125,15.11,1977.03
414,414,2319.94,156.5046,2070000,-13717.5087890625,15.0522,1975.06
415,415,2349.88,156.6218,2075000,-13718.169921875,15.1459,1971.53
416,416,2342.89,156.6724,2080000,-13797.234375,14.996,1971.0
417,417,2343.12,156.4931,2085000,-13768.625,15.0073,1981.69
418,418,2332.67,156.5796,2090000,-13748.455078125,14.9791,1958.67
419,419,2363.0,156.4932,2095000,-13887.388671875,14.9644,1971.42
420,420,2339.13,156.5015,2100000,-13875.396484375,15.0248,1975.22
421,421,2295.48,156.5913,2105000,-13888.947265625,15.0319,1963.39
422,422,2331.07,156.6047,2110000,-13840.1298828125,14.9142,1965.68
423,423,2350.89,156.4903,2115000,-13919.2001953125,15.0901,1990.26
424,424,2298.92,156.5046,2120000,-13924.1669921875,14.8738,1945.23
425,425,2311.95,156.357,2125000,-13973.8115234375,15.0183,1968.85
426,426,2304.41,156.5224,2130000,-13955.55859375,15.0081,1992.61
