Itration,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL
150,135.4511,750000,-8343.8037109375,1040.66,150,1041.3,35.0341
151,78.3471,755000,-8509.23828125,1030.77,151,1030.85,36.5392
152,100.5536,760000,-8390.759765625,1030.93,152,1031.11,38.0046
153,77.7372,765000,-8409.1533203125,1030.67,153,1030.41,37.645
154,72.3717,770000,-8595.859375,1039.68,154,1039.56,36.7571
155,132.9414,775000,-8654.0126953125,1052.28,155,1052.38,34.7623
156,120.8526,780000,-8839.5732421875,1044.76,156,1044.73,35.5885
157,63.3187,785000,-8778.4619140625,1034.0,157,1034.28,36.3346
158,53.617,790000,-8938.162109375,1028.35,158,1028.02,36.6987
159,65.4982,795000,-8912.580078125,1024.72,159,1025.01,37.4346
160,124.9759,800000,-8973.8837890625,1035.67,160,1035.51,36.7644
161,124.2801,805000,-9132.861328125,250.99,161,251.5,35.0317
162,51.6862,810000,-7821.83837890625,260.83,162,261.08,31.9332
163,55.4753,815000,-9206.6005859375,1032.85,163,1033.04,37.1019
164,67.751,820000,-9279.88671875,1038.64,164,1038.94,36.9118
165,72.6939,825000,-9312.0830078125,1032.08,165,1031.91,37.0022
166,70.9107,830000,-9468.5107421875,1033.52,166,1032.95,37.8448
167,61.3098,835000,-9623.7607421875,1046.2,167,1045.95,36.2228
168,69.2418,840000,-9418.9697265625,1043.08,168,1043.06,36.4473
169,79.9692,845000,-9971.46484375,1036.87,169,1036.7,37.0128
170,65.2832,850000,-9605.880859375,1036.91,170,1036.2,36.5781
171,52.0979,855000,-9950.9443359375,1051.4,171,1051.16,36.4581
172,67.9158,860000,-9899.4765625,1052.36,172,1052.32,36.291
173,121.6045,865000,-10120.4228515625,1050.3,173,1050.42,36.1825
174,58.5925,870000,-10343.78125,1024.17,174,1024.02,36.7021
175,90.1899,875000,-10429.23046875,1032.24,175,1032.27,37.0821
176,112.8411,880000,-10348.861328125,328.59,176,329.65,36.9862
177,44.7279,885000,-5327.24560546875,263.46,177,263.73,27.8235
178,112.015,890000,-10437.732421875,1042.9,178,1043.2,36.927
179,42.8675,895000,-6795.97216796875,276.52,179,276.59,28.0227
