Running Forward KL,Reward Loss,Running Env Steps,Real Sto Return,Running Reverse KL,Real Det Return,Itration,Running Update Time
156.6392,-12928.6865234375,1930000,1959.78,15.1974,1535.55,386,386
156.7662,-12921.4384765625,1935000,1949.2,15.0575,2285.88,387,387
156.5779,-12997.13671875,1940000,1953.12,15.0528,2291.48,388,388
156.61,-12989.5234375,1945000,1938.82,14.9703,2258.92,389,389
156.6397,-13015.1650390625,1950000,1954.58,15.0231,2277.28,390,390
156.551,-13045.62109375,1955000,1942.44,15.0944,2161.64,391,391
156.5477,-13053.6474609375,1960000,1949.47,15.1687,2263.29,392,392
156.7009,-13096.337890625,1965000,1941.71,15.245,2265.58,393,393
156.5912,-13080.0986328125,1970000,1912.33,15.138,2022.37,394,394
156.6924,-13110.6630859375,1975000,1927.55,15.0503,2140.86,395,395
156.6498,-13189.974609375,1980000,1949.29,15.1859,2293.94,396,396
