Reward Loss,Running Forward KL,Real Sto Return,Running Env Steps,Itration,Running Reverse KL,Real Det Return,Running Update Time
-3810.874755859375,75.5504,4941.44,925000,185,68.5121,5511.81,185
-4028.05859375,81.4847,4881.28,930000,186,75.7209,5280.26,186
-4055.164306640625,79.3304,4516.96,935000,187,71.5583,4937.71,187
-4063.47900390625,83.2383,4663.54,940000,188,77.8639,4883.64,188
-4130.61669921875,80.667,5340.39,945000,189,77.4381,5687.91,189
-4169.9169921875,76.4235,4989.1,950000,190,74.9007,5702.3,190
-4276.71337890625,79.6536,4883.76,955000,191,78.9616,5532.52,191
-4317.501953125,81.6495,5030.59,960000,192,77.8374,5211.94,192
-4338.83349609375,82.8644,4579.46,965000,193,78.3262,5097.16,193
-4388.6357421875,82.8629,4627.85,970000,194,79.2897,5248.05,194
-4480.23779296875,86.0107,5129.49,975000,195,80.8109,5732.96,195
-4534.7890625,82.0661,5115.24,980000,196,78.7214,5831.05,196
-4564.91064453125,77.2756,5157.93,985000,197,76.5653,5531.7,197
-4568.2197265625,83.3296,4734.04,990000,198,77.319,5299.41,198
-4699.943359375,81.7176,4580.66,995000,199,77.421,5473.14,199
-4650.8359375,75.0734,4820.35,1000000,200,72.9141,5784.33,200
-4775.07470703125,81.4245,5241.19,1005000,201,77.5689,5774.67,201
-4838.6533203125,83.1979,4934.78,1010000,202,79.5227,5151.83,202
-4881.453125,77.5417,4721.01,1015000,203,75.0299,5560.28,203
-4799.69091796875,75.1303,5172.61,1020000,204,70.5089,5697.49,204
-4885.5439453125,77.7122,5522.67,1025000,205,72.4384,5618.53,205
-5062.13232421875,83.5771,4941.54,1030000,206,80.4548,5548.0,206
-5074.72900390625,79.0377,5305.65,1035000,207,80.0303,5585.51,207
-5183.8349609375,84.0307,5453.43,1040000,208,83.7792,5615.09,208
-5254.1201171875,83.2291,5413.19,1045000,209,82.625,5697.27,209
-5247.6669921875,81.7921,4957.89,1050000,210,77.395,5401.37,210
-5337.01171875,78.7459,4518.06,1055000,211,79.4817,5323.14,211
-5458.05859375,85.3686,5372.49,1060000,212,84.2494,5638.11,212
-5349.7626953125,78.0895,5389.69,1065000,213,74.529,5302.74,213
-5425.97802734375,83.1314,5037.11,1070000,214,80.7894,5802.81,214
-5360.59716796875,75.8464,5166.18,1075000,215,72.9576,5377.44,215
-5613.5625,84.6843,4749.86,1080000,216,83.4298,5746.71,216
-5593.46875,81.5633,4922.01,1085000,217,79.2824,5683.79,217
-5678.09130859375,81.9817,5506.08,1090000,218,82.4116,5706.94,218
-5746.0986328125,83.5691,4636.88,1095000,219,79.773,5402.15,219
-5801.59912109375,84.1641,5122.13,1100000,220,83.7314,5548.33,220
-5816.96435546875,83.7914,5363.03,1105000,221,82.0051,5664.46,221
-5884.30029296875,83.7437,5182.43,1110000,222,81.048,5617.66,222
-5961.5654296875,82.5905,5075.52,1115000,223,81.0229,5433.5,223
-5819.10009765625,76.7909,5211.63,1120000,224,73.6511,5739.95,224
-6080.60693359375,81.3418,5497.18,1125000,225,80.1708,5501.23,225
-5904.3369140625,75.9813,5175.71,1130000,226,74.4014,5833.09,226
-6215.1796875,81.9126,5581.65,1135000,227,79.1831,5812.33,227
-6241.5068359375,83.1724,5134.68,1140000,228,82.5582,5487.01,228
-6219.52783203125,82.1471,5527.26,1145000,229,80.4772,5666.79,229
-6408.3740234375,85.0112,5482.77,1150000,230,82.0573,5596.48,230
-6416.4091796875,84.3502,5597.04,1155000,231,82.2595,5571.23,231
-6333.1064453125,77.1193,5542.36,1160000,232,76.5553,5489.93,232
-6550.0419921875,84.3016,5267.13,1165000,233,86.6054,5475.52,233
-6551.52783203125,82.9641,5624.53,1170000,234,80.5487,5880.57,234
-6627.86328125,83.2559,5485.31,1175000,235,82.4986,5768.6,235
-6737.26318359375,84.5862,5396.24,1180000,236,82.6029,5754.89,236
-6504.74072265625,76.5386,5206.24,1185000,237,75.505,5820.91,237
-6811.38525390625,82.8167,5334.58,1190000,238,85.289,5844.48,238
-6889.2080078125,84.1705,5495.77,1195000,239,85.3136,5662.92,239
-6940.64990234375,82.7435,5004.58,1200000,240,82.3624,5798.99,240
-7052.89599609375,83.9463,5593.75,1205000,241,82.0292,5571.54,241
-6791.03515625,75.225,5426.44,1210000,242,74.9239,5791.14,242
-7031.0458984375,79.6449,5101.73,1215000,243,79.9996,5839.46,243
-7116.4931640625,83.4809,5036.23,1220000,244,82.9802,5731.43,244
-7203.59423828125,82.2953,5223.39,1225000,245,78.5217,4983.36,245
-7288.2197265625,82.2954,5136.81,1230000,246,82.3075,5333.02,246
-7091.36669921875,75.3858,5525.81,1235000,247,73.0222,5876.78,247
-7328.537109375,83.5464,5184.81,1240000,248,82.0324,5913.77,248
-7394.375,82.8549,5220.66,1245000,249,81.5126,5883.27,249
-7513.45361328125,84.6653,5333.96,1250000,250,83.6888,5907.13,250
-7447.71533203125,83.6138,5451.59,1255000,251,80.7828,5608.75,251
-7580.62451171875,84.6703,5419.0,1260000,252,84.0814,5838.0,252
-7537.3642578125,83.1996,5570.93,1265000,253,84.054,5844.13,253
-7718.625,84.9552,5099.0,1270000,254,83.3363,6018.3,254
-7641.3232421875,82.1655,5575.38,1275000,255,79.3563,5792.97,255
-7868.13671875,84.4926,5417.27,1280000,256,86.6109,5810.55,256
-7903.47900390625,83.7915,5197.28,1285000,257,85.183,5792.18,257
-7974.4609375,83.8795,5063.51,1290000,258,83.9588,5507.8,258
