Itration,Reward Loss,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Running Forward KL,Real Det Return
394,-63507.64453125,15.2838,1970000,394,1933.49,156.5953,2227.82
395,-63602.07421875,15.1611,1975000,395,1905.36,156.4683,2285.07
396,-63828.6796875,15.1573,1980000,396,1896.58,156.4972,2316.66
397,-63605.29296875,15.1573,1985000,397,1923.21,156.5395,2346.54
398,-63871.6171875,15.3395,1990000,398,1941.49,156.4574,2334.55
399,-64161.5859375,15.4047,1995000,399,1948.42,156.6441,2304.56
400,-64226.015625,15.3731,2000000,400,1942.59,156.6875,2346.63
401,-64422.0,15.3039,2005000,401,1966.0,156.6149,2335.41
402,-64323.8203125,15.3513,2010000,402,1953.24,156.6166,2322.56
403,-64577.703125,15.3782,2015000,403,1944.47,156.6076,2339.55
404,-64518.48046875,15.3842,2020000,404,1977.47,156.592,2334.97
405,-64715.3984375,15.3687,2025000,405,1970.97,156.5759,2327.02
406,-64472.6875,15.1158,2030000,406,1938.82,156.4671,2293.32
407,-64940.33203125,15.3013,2035000,407,1991.69,156.6242,2357.17
408,-64785.359375,15.2438,2040000,408,1979.14,156.5472,2320.88
409,-64960.80859375,15.1431,2045000,409,1985.23,156.5267,2334.42
410,-65067.05078125,15.3308,2050000,410,1994.34,156.5105,2350.37
411,-65200.55078125,15.269,2055000,411,1978.19,156.4915,2338.65
412,-65254.48828125,15.2086,2060000,412,1981.66,156.4817,2330.05
413,-65281.671875,15.1803,2065000,413,1972.88,156.4431,2321.86
414,-65649.09375,15.2556,2070000,414,1987.8,156.5283,2348.82
415,-65767.5078125,15.1965,2075000,415,1987.47,156.5193,2341.11
416,-65763.375,15.054,2080000,416,1980.96,156.3768,2344.55
417,-66119.3671875,15.2178,2085000,417,1987.41,156.6778,2338.35
418,-66261.140625,15.0203,2090000,418,1981.1,156.6408,2330.89
419,-66200.0859375,14.9939,2095000,419,1969.74,156.4739,2319.14
420,-66266.9296875,15.1175,2100000,420,1982.58,156.402,2302.55
421,-66381.90625,15.1737,2105000,421,1969.79,156.529,2338.22
422,-66597.625,15.2028,2110000,422,1952.74,156.5335,2310.88
423,-66759.015625,15.2647,2115000,423,1967.28,156.4486,2318.71
424,-66624.7890625,14.9908,2120000,424,1933.44,156.5844,2297.38
425,-66914.40625,15.0314,2125000,425,1968.57,156.529,2282.91
426,-66824.1015625,15.0518,2130000,426,1936.29,156.7454,2299.49
427,-66883.2109375,15.0093,2135000,427,1951.1,156.527,2291.04
428,-67059.546875,15.0635,2140000,428,1945.81,156.427,2292.2
429,-67448.390625,15.3085,2145000,429,1983.85,156.3445,2336.12
430,-67461.4609375,15.1549,2150000,430,1956.74,156.5601,2328.22
431,-67560.75,15.1402,2155000,431,1997.51,156.4895,2331.19
432,-67749.75,15.188,2160000,432,1992.43,156.6479,2350.31
433,-67858.90625,15.1598,2165000,433,1981.42,156.5451,2342.51
434,-67571.1484375,14.998,2170000,434,1989.04,156.4368,2321.03
435,-67781.2734375,14.8946,2175000,435,1967.27,156.5263,2330.2
436,-68275.6796875,15.013,2180000,436,1985.23,156.4686,2344.1
437,-68189.328125,15.0169,2185000,437,1987.8,156.5003,2341.35
438,-68429.0703125,14.9171,2190000,438,1982.08,156.4188,2330.88
439,-68450.5234375,15.0668,2195000,439,1984.34,156.4648,2324.33
440,-68839.1875,14.9284,2200000,440,1991.8,156.3889,2365.67
441,-68714.5234375,15.0758,2205000,441,1970.15,156.553,2341.18
442,-68778.9921875,14.9209,2210000,442,1969.21,156.5515,2326.18
443,-68818.640625,14.9432,2215000,443,1957.21,156.7155,2307.67
444,-69082.046875,14.9219,2220000,444,1993.39,156.4674,2329.71
445,-69238.2578125,15.0755,2225000,445,1988.29,156.5248,2347.29
446,-69369.171875,14.9311,2230000,446,1952.04,156.5696,2343.72
447,-69563.8515625,15.0006,2235000,447,1983.21,156.4896,2335.0
448,-69578.65625,15.0165,2240000,448,1977.45,156.5593,2329.43
449,-69823.0859375,14.9662,2245000,449,1975.16,156.3744,2333.67
450,-69791.578125,15.0554,2250000,450,1978.15,156.5925,2345.07
451,-69751.9140625,14.7948,2255000,451,1963.56,156.4961,2327.98
452,-70008.015625,14.8608,2260000,452,1970.42,156.4973,2345.52
453,-70496.046875,14.9928,2265000,453,1962.49,156.5967,2356.5
454,-70200.9609375,14.9123,2270000,454,1958.75,156.5261,2336.43
455,-70060.6328125,14.8503,2275000,455,1938.18,156.7106,2310.27
456,-70361.0078125,14.6639,2280000,456,1955.42,156.5625,2336.67
457,-70533.5546875,14.9378,2285000,457,1973.66,156.4895,2338.02
458,-70622.8515625,14.9862,2290000,458,1965.93,156.7565,2341.67
459,-70681.3515625,14.9662,2295000,459,1943.42,156.5403,2329.43
460,-70982.6171875,14.7685,2300000,460,1944.57,156.5667,2333.55
461,-71024.1875,14.8769,2305000,461,1945.61,156.5898,2329.89
462,-70956.203125,14.8559,2310000,462,1935.32,156.3537,2334.84
463,-71388.5625,14.92,2315000,463,1969.76,156.543,2330.41
464,-71549.671875,14.8707,2320000,464,1961.96,156.6316,2335.81
465,-71505.6484375,14.8431,2325000,465,1961.12,156.5911,2332.57
466,-71772.875,14.9358,2330000,466,1954.0,156.7168,2343.79
467,-72007.6796875,15.0429,2335000,467,1966.32,156.5079,2332.53
468,-72000.0703125,15.0282,2340000,468,1952.45,156.5114,2317.9
469,-71805.1171875,15.0247,2345000,469,1955.44,156.5906,1907.13
470,-71936.5703125,14.8444,2350000,470,1943.71,156.6063,2305.93
471,-72280.2890625,14.7966,2355000,471,1945.07,156.5781,2335.58
472,-72284.6796875,15.0705,2360000,472,1962.79,156.6182,2322.35
473,-72416.515625,15.1135,2365000,473,1968.4,156.7181,2336.69
474,-72586.078125,14.8729,2370000,474,1956.93,156.5081,2335.28
475,-72681.6796875,15.0962,2375000,475,1959.81,156.6272,2345.58
476,-72662.3984375,14.978,2380000,476,1932.59,156.4448,2301.32
477,-72960.796875,14.8244,2385000,477,1980.26,156.6571,2332.96
478,-72865.7265625,14.8853,2390000,478,1968.72,156.4812,2310.93
479,-73048.046875,14.9453,2395000,479,1983.11,156.6318,2343.61
480,-72845.921875,14.8265,2400000,480,1957.25,156.5739,2315.89
481,-73052.9140625,15.0907,2405000,481,1966.17,156.6073,2318.52
482,-73337.484375,14.9228,2410000,482,1950.55,156.5606,2333.81
483,-73388.5234375,14.9268,2415000,483,1944.85,156.4968,2327.17
484,-73394.9140625,14.83,2420000,484,1963.37,156.5257,2301.1
485,-73584.34375,14.7468,2425000,485,1966.69,156.546,2309.13
486,-73685.03125,14.9135,2430000,486,1962.99,156.5595,2323.89
487,-74121.5703125,14.9485,2435000,487,1978.81,156.4216,2335.4
488,-74006.140625,15.0009,2440000,488,1982.06,156.5701,2332.59
489,-74157.78125,14.9446,2445000,489,1967.07,156.59,2319.75
490,-74199.0078125,14.9819,2450000,490,1970.16,156.5095,2319.23
491,-74296.015625,14.7962,2455000,491,1961.76,156.4842,2296.76
492,-74446.828125,14.9239,2460000,492,1968.15,156.6228,2322.06
493,-74556.015625,14.6973,2465000,493,1973.16,156.5834,2310.55
494,-74463.609375,14.9153,2470000,494,1954.59,156.4626,2279.02
495,-74887.2421875,15.0455,2475000,495,1953.59,156.6347,2319.3
496,-75026.9140625,15.0898,2480000,496,1965.43,156.4685,2317.58
497,-75165.5390625,14.8209,2485000,497,1974.65,156.5635,2338.33
498,-75392.4375,14.8767,2490000,498,1960.24,156.4647,2340.2
499,-75232.9921875,14.8916,2495000,499,1968.53,156.4873,2318.95
500,-75556.609375,14.9489,2500000,500,1961.56,156.535,2319.93
501,-75650.5390625,14.7675,2505000,501,1964.1,156.6332,2320.21
502,-75721.8515625,14.8973,2510000,502,1973.07,156.4478,2310.69
503,-75614.984375,14.9512,2515000,503,1951.34,156.609,2289.94
504,-75951.6796875,14.9735,2520000,504,1974.8,156.5234,2323.5
505,-75918.609375,14.8921,2525000,505,1983.29,156.4179,2314.65
506,-76075.390625,15.0585,2530000,506,1960.23,156.4506,2321.65
507,-76280.25,14.9913,2535000,507,1992.71,156.5931,2333.69
508,-76474.296875,14.9399,2540000,508,1980.09,156.4931,2333.91
509,-76351.671875,15.0681,2545000,509,1968.93,156.6731,2323.98
510,-76393.75,15.0619,2550000,510,1991.32,156.5431,2322.29
511,-76328.546875,14.9459,2555000,511,1977.54,156.5701,2325.74
512,-76650.78125,15.076,2560000,512,1993.95,156.4842,2333.65
513,-76842.9375,15.0593,2565000,513,2014.56,156.7164,2342.33
514,-76834.7109375,14.9935,2570000,514,1979.01,156.4132,2320.1
515,-76773.5859375,14.9053,2575000,515,1949.01,156.6511,2316.33
516,-76925.1328125,14.9396,2580000,516,1982.33,156.6079,2316.3
517,-77057.59375,15.1581,2585000,517,2000.94,156.4607,2341.27
518,-77465.1796875,14.962,2590000,518,1986.6,156.4579,2313.76
519,-77541.8828125,15.0057,2595000,519,1985.93,156.5328,2344.7
520,-77302.421875,15.0369,2600000,520,1967.17,156.5251,2316.86
521,-77331.203125,15.0034,2605000,521,1959.05,156.4579,2314.8
522,-77553.859375,14.8694,2610000,522,1987.73,156.5582,2319.44
523,-77636.7265625,14.8851,2615000,523,1987.28,156.4774,2341.32
524,-77971.359375,14.8184,2620000,524,1981.71,156.5249,2320.18
525,-78288.71875,14.99,2625000,525,2002.71,156.5418,2352.95
526,-77944.109375,15.1241,2630000,526,1971.63,156.5422,2320.07
527,-78166.7578125,14.9211,2635000,527,1957.64,156.6113,2290.55
528,-78312.390625,14.8957,2640000,528,1984.77,156.5408,2331.13
529,-78618.1484375,15.03,2645000,529,1979.46,156.555,2349.92
530,-78328.15625,14.7716,2650000,530,1992.12,156.4611,2340.51
531,-78399.015625,14.8526,2655000,531,1987.55,156.4388,2333.73
532,-78542.0703125,14.9988,2660000,532,2007.62,156.3979,2333.62
533,-78734.0078125,14.8704,2665000,533,1980.95,156.539,2336.45
534,-78879.7890625,14.9954,2670000,534,1995.48,156.4716,2326.29
535,-78972.5625,14.976,2675000,535,1980.45,156.6438,2336.12
536,-79186.765625,14.8892,2680000,536,1990.8,156.5074,2332.92
537,-78929.9140625,15.0079,2685000,537,1991.02,156.6001,2339.3
538,-79321.46875,15.0907,2690000,538,2013.88,156.4916,2338.82
539,-79217.2734375,14.9295,2695000,539,1990.23,156.6183,2364.62
540,-79410.71875,14.9333,2700000,540,2015.64,156.3496,2339.03
541,-79713.359375,15.0282,2705000,541,1987.21,156.4809,2340.94
542,-79790.8828125,15.0032,2710000,542,2002.75,156.5829,2330.48
543,-79848.546875,15.2184,2715000,543,2012.3,156.5038,2357.03
544,-79818.0234375,15.2058,2720000,544,2005.46,156.4844,2349.48
545,-80012.578125,15.0528,2725000,545,1982.58,156.5899,2348.64
546,-80045.6796875,15.0974,2730000,546,1984.61,156.5234,2331.32
547,-80135.4296875,15.126,2735000,547,1994.77,156.4207,2350.83
548,-80551.765625,15.1171,2740000,548,1992.55,156.5791,2369.95
549,-80403.59375,15.1344,2745000,549,1995.58,156.5154,2369.41
550,-80305.0234375,14.9047,2750000,550,1988.28,156.4576,2354.31
551,-80375.71875,14.9326,2755000,551,1991.39,156.5995,2343.83
552,-80518.4921875,14.9526,2760000,552,2003.95,156.4354,2360.29
553,-80584.5078125,14.9319,2765000,553,1990.97,156.5551,2341.18
554,-81060.71875,15.01,2770000,554,1999.85,156.5271,2348.84
555,-81032.0078125,14.965,2775000,555,1987.14,156.5494,2350.69
556,-80782.8203125,14.9362,2780000,556,1997.92,156.5168,2343.51
557,-81129.96875,15.0841,2785000,557,2010.73,156.4934,2360.32
558,-81123.6875,14.9432,2790000,558,2000.49,156.447,2353.67
559,-80991.5078125,14.9918,2795000,559,1989.62,156.4771,2363.39
560,-81406.125,15.2492,2800000,560,1982.06,156.5789,2342.78
561,-81115.28125,14.9215,2805000,561,1971.7,156.5139,2336.89
562,-81286.2578125,14.9185,2810000,562,1972.7,156.561,2341.4
563,-81584.375,15.0921,2815000,563,2008.08,156.6008,2363.5
564,-81303.453125,14.8801,2820000,564,1962.67,156.48,2338.35
565,-81822.640625,15.116,2825000,565,1994.56,156.4443,2347.71
566,-81860.6953125,15.1024,2830000,566,2003.51,156.5446,2366.56
567,-81734.671875,14.9513,2835000,567,1988.83,156.5301,2355.66
568,-81662.2578125,14.8401,2840000,568,1984.91,156.398,2338.09
569,-81952.609375,14.9703,2845000,569,1989.62,156.3537,2359.82
570,-81498.21875,14.8852,2850000,570,1980.33,156.5413,2333.65
571,-81886.203125,14.9715,2855000,571,1972.81,156.3792,2321.61
572,-82178.578125,14.9151,2860000,572,1984.28,156.3858,2340.73
573,-82421.9609375,14.9065,2865000,573,1985.08,156.4132,2343.69
574,-82500.9609375,15.0854,2870000,574,2015.39,156.4997,2364.98
575,-82378.859375,15.0739,2875000,575,1996.91,156.4985,2363.06
576,-82569.9140625,15.0876,2880000,576,2016.71,156.4319,2347.74
577,-82687.2109375,15.0319,2885000,577,1988.49,156.4724,2353.11
578,-82621.203125,14.9095,2890000,578,2008.37,156.4387,2362.77
579,-82440.3515625,14.9257,2895000,579,1988.37,156.5822,2329.7
580,-82822.7734375,14.7811,2900000,580,1999.71,156.481,2355.19
581,-82956.0078125,15.2093,2905000,581,2003.87,156.501,2354.55
582,-82817.9140625,14.7974,2910000,582,1984.09,156.4003,2336.8
583,-82869.1796875,14.7264,2915000,583,1986.71,156.4013,2322.73
584,-82986.7890625,14.8484,2920000,584,1963.51,156.5156,2340.84
585,-82911.40625,14.7769,2925000,585,1986.79,156.6258,2339.3
586,-83305.6484375,15.1008,2930000,586,1996.58,156.5006,2355.07
587,-83478.0546875,14.9564,2935000,587,1982.14,156.5452,2341.32
588,-83465.5703125,14.988,2940000,588,2003.79,156.5399,2355.68
589,-83289.5625,14.9218,2945000,589,1997.89,156.6309,2339.94
590,-83482.15625,14.8864,2950000,590,1983.9,156.3842,2337.15
591,-83406.046875,14.9049,2955000,591,1978.46,156.5116,2314.3
592,-83682.359375,14.8639,2960000,592,2001.64,156.5335,2350.88
593,-83589.6328125,14.9889,2965000,593,2003.87,156.4639,2359.0
594,-83939.7265625,14.9676,2970000,594,1996.46,156.5948,2359.43
595,-83802.734375,14.8012,2975000,595,1988.87,156.5853,2341.51
596,-83966.09375,14.8992,2980000,596,1998.74,156.5568,2339.43
597,-84114.6015625,14.9039,2985000,597,1984.86,156.4118,2348.42
598,-84202.8984375,14.959,2990000,598,1971.21,156.6297,2355.68
599,-84195.890625,14.9208,2995000,599,1997.06,156.4903,2351.44
