Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
287,15.1594,156.7539,1922.12,2268.86
288,15.1255,156.6685,1927.12,2288.64
289,15.1901,156.6128,1941.3,2292.0
290,14.9579,156.6331,1917.38,2292.53
291,15.1277,156.6659,1932.12,2292.47
292,15.1585,156.5734,1938.74,2280.31
293,15.1789,156.6342,1917.12,2262.18
294,15.1939,156.7394,1909.34,2270.21
295,15.1078,156.6207,1913.22,2238.06
296,14.9689,156.5908,1923.89,2254.19
297,15.1611,156.6593,1927.68,2249.56
298,15.1315,156.6755,1901.25,2259.28
299,15.0938,156.6434,1922.59,2275.13
300,15.0509,156.5568,1919.7,2250.29
301,15.2188,156.7129,1923.88,2230.4
302,15.1493,156.727,1946.67,2272.79
303,15.034,156.7195,1914.05,2240.99
304,15.0822,156.6243,1928.44,2278.43
305,15.3391,156.605,1938.53,2269.88
306,15.0956,156.6309,1928.29,2252.8
307,15.0138,156.5097,1944.41,2276.0
308,15.0071,156.6682,1923.51,2248.72
309,14.9805,156.5503,1920.92,2262.76
310,15.0838,156.6215,1934.78,2261.88
311,14.9079,156.5159,1936.88,2272.94
312,15.1041,156.7512,1946.66,2289.12
313,15.0972,156.8074,1922.35,2257.07
314,15.083,156.7037,1911.07,2265.48
315,14.9626,156.5513,1920.74,2270.97
316,15.0331,156.4839,1909.22,2278.74
317,15.0621,156.6767,1917.67,2260.17
318,14.9788,156.4724,1927.06,2278.47
319,14.9249,156.4825,1908.33,2271.02
320,15.0704,156.6244,1923.69,2280.44
321,15.0719,156.7466,1884.44,2261.39
322,15.0284,156.5028,1915.94,2293.41
323,15.1698,156.693,1930.27,2281.33
324,14.9599,156.606,1912.82,2265.53
325,14.9784,156.4959,1929.94,2264.31
326,15.0091,156.6954,1923.03,2276.48
327,15.1123,156.6175,1937.75,2294.6
328,14.9531,156.5418,1940.52,2301.85
329,14.9757,156.654,1948.52,2286.9
330,15.1115,156.5461,1938.62,2260.7
331,14.9148,156.6895,1909.64,2218.16
332,14.8508,156.5591,1920.53,2269.2
333,14.9857,156.4522,1926.17,2305.66
334,14.8617,156.5682,1930.2,2271.49
335,14.9821,156.6805,1936.21,2265.62
336,14.9505,156.5557,1917.12,2237.83
337,14.8996,156.4701,1920.26,2264.4
338,14.9607,156.592,1921.67,2264.13
339,14.7936,156.4224,1932.79,2283.19
340,14.8379,156.3921,1925.57,2301.99
341,14.742,156.6109,1899.47,2234.28
342,14.9479,156.6122,1923.37,2268.9
343,14.8737,156.4369,1915.83,2270.45
344,14.8012,156.4063,1936.14,2282.76
345,14.8157,156.4504,1934.41,2283.96
346,14.8263,156.4099,1914.15,2257.85
347,14.8623,156.6073,1918.96,2287.09
348,14.7412,156.5574,1933.02,2290.83
349,14.8524,156.598,1926.28,2276.33
350,14.9883,156.5332,1926.46,2258.06
351,14.8222,156.626,1891.36,2240.73
