Itration,Reward Loss,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL,Running Update Time,Running Env Steps
387,-13955.0615234375,2001.51,156.6522,2347.53,15.4626,387,1935000
388,-13883.5341796875,1978.89,156.565,2319.21,15.3801,388,1940000
389,-13912.509765625,1989.66,156.6678,2310.5,15.5633,389,1945000
390,-13993.28125,1995.58,156.6375,2320.58,15.5184,390,1950000
391,-13929.7939453125,1998.7,156.8106,2318.26,15.5199,391,1955000
392,-13978.1572265625,2005.24,156.7222,2330.31,15.6236,392,1960000
393,-14060.728515625,1947.85,156.6618,2290.03,15.4545,393,1965000
394,-13650.2421875,1628.41,156.5781,2024.45,14.8105,394,1970000
395,-14069.7041015625,1759.18,156.6317,2208.58,15.2081,395,1975000
396,-13628.3623046875,1486.21,156.7754,1395.14,14.2819,396,1980000
397,-14166.9140625,1688.04,156.7052,2086.92,15.0852,397,1985000
398,-13903.3984375,1510.95,156.6897,1887.46,14.5781,398,1990000
399,-14026.2421875,1612.76,156.7059,1986.59,14.7738,399,1995000
400,-14211.9560546875,1735.05,156.5759,2074.58,14.949,400,2000000
401,-14137.87109375,1761.64,156.3909,2069.53,14.8095,401,2005000
402,-14252.9091796875,1769.93,156.5503,2113.51,15.2825,402,2010000
403,-14120.5615234375,1699.64,156.7087,2094.66,14.454,403,2015000
404,-14110.171875,1737.95,156.4767,2059.7,14.2705,404,2020000
405,-14252.3212890625,1537.71,156.3212,1165.28,14.6047,405,2025000
406,-14033.4736328125,869.97,156.7139,799.36,13.1667,406,2030000
407,-14854.759765625,746.31,156.6839,737.41,14.2652,407,2035000
408,-14617.2646484375,1334.88,156.5541,1537.62,14.7493,408,2040000
409,-14577.53515625,1641.64,156.7014,2006.11,15.4517,409,2045000
410,-10898.98828125,-331.39,157.5262,-188.54,39.8351,410,2050000
411,-14520.6435546875,1822.25,156.8187,2111.44,15.2089,411,2055000
412,-14412.7734375,1792.72,156.6174,2200.85,15.2745,412,2060000
413,-14359.5166015625,1855.45,156.7803,2209.24,15.2538,413,2065000
414,-14384.1962890625,1852.61,156.7052,2094.24,15.2707,414,2070000
415,-14376.47265625,1765.66,156.4127,1991.55,15.3071,415,2075000
416,-14404.001953125,1801.89,156.8253,1897.15,15.3954,416,2080000
417,-14481.9755859375,1857.99,156.6873,2206.56,15.3023,417,2085000
418,-14203.4443359375,1849.91,156.8019,1814.24,14.9386,418,2090000
419,-14314.3046875,1713.91,156.6185,2205.13,14.7789,419,2095000
420,-14472.8583984375,1824.34,156.6853,2173.04,14.9857,420,2100000
421,-14352.0244140625,1613.74,156.7164,1516.33,15.0128,421,2105000
422,-14436.9921875,1643.37,156.4108,2000.64,14.3027,422,2110000
423,-12367.5458984375,596.98,157.1468,356.21,25.5257,423,2115000
424,-14381.2998046875,1275.23,156.5476,928.0,14.6457,424,2120000
425,-12599.021484375,195.79,157.3148,-93.3,16.9292,425,2125000
426,-14480.5126953125,1819.29,156.5081,1560.59,14.8336,426,2130000
427,-14016.8115234375,1466.07,156.6922,-56.37,14.5086,427,2135000
428,-14535.5419921875,1815.63,156.5847,1113.49,14.6753,428,2140000
429,-14432.92578125,1726.41,156.4246,895.97,14.4123,429,2145000
430,-14345.138671875,1708.11,156.6324,420.7,14.7484,430,2150000
431,-14889.095703125,1609.31,156.5295,1655.55,15.0757,431,2155000
