Running Update Time,Running Forward KL,Running Reverse KL,Real Det Return,Reward Loss,Running Env Steps,Itration,Real Sto Return
395,368.7073,392.5533,3666.73,-19416.33203125,1975000,395,2482.7
396,380.1028,639.385,1542.13,-19600.42578125,1980000,396,1708.38
397,360.4668,388.1454,4415.17,-19486.529296875,1985000,397,3866.72
398,376.1865,733.2226,2426.95,-19624.900390625,1990000,398,2418.92
399,359.927,525.4012,3901.18,-19497.54296875,1995000,399,3289.39
400,356.5067,397.8345,4191.95,-19555.248046875,2000000,400,4379.92
401,338.8368,411.9217,4111.54,-19586.931640625,2005000,401,4474.67
402,369.2463,544.4616,1868.22,-19549.98046875,2010000,402,2270.72
403,363.0422,396.3144,3936.95,-19551.109375,2015000,403,3910.73
404,396.0226,1002.3199,781.63,-19406.23046875,2020000,404,875.02
405,468.9895,1187.0016,288.19,-19564.09375,2025000,405,305.93
406,402.0575,970.1161,1568.78,-19348.298828125,2030000,406,1479.84
407,377.7778,740.4795,1702.27,-19147.69140625,2035000,407,1451.98
408,360.0624,509.6871,1941.1,-18741.798828125,2040000,408,3196.25
409,359.6131,327.3774,3078.19,-19198.2578125,2045000,409,2699.83
410,352.0423,309.954,2985.32,-19105.875,2050000,410,3532.45
411,365.3631,376.932,3265.0,-18946.92578125,2055000,411,3349.72
412,363.5176,452.0839,3709.9,-19328.73828125,2060000,412,3285.29
413,354.0741,385.3366,1639.99,-19433.01171875,2065000,413,2705.25
414,351.8057,253.8526,3923.24,-19406.919921875,2070000,414,3916.39
415,356.4801,332.5717,3828.22,-19367.53515625,2075000,415,4454.89
416,358.751,344.7419,3828.96,-19595.2890625,2080000,416,3672.71
417,364.9129,288.4142,3142.41,-19561.146484375,2085000,417,2985.4
418,362.4753,444.8655,3826.94,-19379.291015625,2090000,418,3486.03
419,376.5193,381.8734,3494.6,-19366.123046875,2095000,419,3319.02
420,374.9718,332.6699,3996.44,-19539.322265625,2100000,420,4579.99
421,379.5336,282.4702,3947.58,-19402.7265625,2105000,421,3703.24
422,368.3799,352.3891,2777.15,-19393.96484375,2110000,422,2771.66
423,404.7344,578.7305,2934.78,-19465.580078125,2115000,423,3808.37
424,380.1225,207.4615,5071.94,-19680.48828125,2120000,424,4957.42
425,370.529,201.4773,4793.91,-19712.12109375,2125000,425,4976.88
426,375.3336,278.228,4919.88,-19605.53515625,2130000,426,4527.45
427,366.9764,206.5544,4939.6,-19737.96875,2135000,427,5098.62
428,374.6676,281.4949,4145.54,-19428.923828125,2140000,428,4062.5
429,370.4556,286.8175,4193.19,-19573.25390625,2145000,429,4646.66
430,365.3007,253.0651,4323.11,-19638.146484375,2150000,430,4469.09
431,356.0321,245.3487,4082.67,-19510.93359375,2155000,431,4031.18
432,361.836,205.9,4178.0,-18908.453125,2160000,432,4101.54
433,360.6208,194.0558,3258.67,-19047.96484375,2165000,433,3725.13
434,370.2069,270.9304,4272.32,-19650.26953125,2170000,434,4651.56
435,362.8776,182.5741,3375.04,-19596.205078125,2175000,435,3982.03
436,370.8735,301.2064,4751.99,-19761.72265625,2180000,436,4365.03
437,385.9657,333.2717,2887.99,-18526.275390625,2185000,437,2789.94
438,379.1521,261.6967,4113.39,-19283.869140625,2190000,438,4212.63
439,374.6807,260.6026,4692.45,-19603.625,2195000,439,4321.16
440,369.788,368.9697,4114.71,-19670.845703125,2200000,440,4579.86
441,365.6756,272.6373,4040.53,-19541.9609375,2205000,441,4144.22
442,386.6036,405.6229,2934.39,-19356.845703125,2210000,442,2947.78
443,367.3722,473.0498,3845.64,-19666.091796875,2215000,443,3945.46
444,392.1964,543.0842,2729.14,-19622.0390625,2220000,444,3488.61
445,393.8983,683.1758,2016.04,-19369.61328125,2225000,445,1746.14
446,382.4991,406.0244,2303.78,-19086.9453125,2230000,446,2103.28
447,382.9703,367.1566,2599.51,-19300.44140625,2235000,447,3534.31
448,397.8738,292.7874,2664.41,-19410.787109375,2240000,448,3879.04
449,393.4384,297.8085,3706.54,-19415.8671875,2245000,449,4247.05
450,374.5102,315.3709,2762.39,-19498.3828125,2250000,450,3170.97
451,380.4366,463.6499,3506.86,-19628.72265625,2255000,451,3886.03
452,383.1831,365.4855,3979.39,-19188.177734375,2260000,452,3735.52
453,392.7991,438.7184,2759.86,-19704.697265625,2265000,453,2608.64
454,398.9245,220.6916,3128.95,-19041.052734375,2270000,454,2604.58
455,401.4001,425.6485,3532.64,-19385.291015625,2275000,455,3169.02
456,378.8514,183.9654,4249.56,-19686.654296875,2280000,456,3829.66
457,354.287,195.6412,4867.96,-19652.759765625,2285000,457,4585.13
458,372.9044,210.558,4669.5,-19818.857421875,2290000,458,4437.6
459,358.174,173.4713,4032.03,-19605.310546875,2295000,459,3913.36
460,356.7309,198.7074,4730.13,-19640.94921875,2300000,460,4938.31
461,359.7571,192.3009,4353.5,-19676.134765625,2305000,461,4020.65
462,375.5417,238.5672,3860.84,-19425.2265625,2310000,462,4423.58
463,366.8299,226.7859,4578.73,-19725.640625,2315000,463,4406.12
464,369.7575,245.3833,4663.7,-19347.583984375,2320000,464,4904.71
465,374.1495,240.8306,4421.16,-19650.330078125,2325000,465,4148.87
466,359.1529,199.2393,4161.5,-19735.65625,2330000,466,4513.19
467,398.1606,323.3638,4018.21,-19614.2890625,2335000,467,4465.76
468,372.1333,246.5581,4901.01,-19691.943359375,2340000,468,3587.96
469,385.6312,264.9504,4364.03,-19441.25,2345000,469,4782.36
470,395.3192,349.8549,2785.95,-19616.189453125,2350000,470,2993.76
471,379.7951,233.1027,3735.55,-19382.44921875,2355000,471,3768.25
472,391.384,292.7407,4177.26,-19662.7578125,2360000,472,4362.36
473,361.1299,214.9797,4681.87,-19726.046875,2365000,473,4961.53
474,363.7122,229.3831,4421.57,-19603.244140625,2370000,474,4470.17
475,377.8758,238.011,4218.09,-19512.927734375,2375000,475,3873.19
476,379.2241,234.7572,4633.97,-19638.0390625,2380000,476,4678.07
477,369.6947,210.9877,4295.02,-19483.84765625,2385000,477,3377.44
478,377.9035,284.2327,4220.96,-19400.5859375,2390000,478,3707.89
479,370.6677,193.3313,4161.7,-19432.087890625,2395000,479,3919.35
480,372.9612,262.6033,3949.09,-19278.896484375,2400000,480,3937.67
481,403.6299,215.2819,3383.61,-19462.283203125,2405000,481,3502.74
482,384.232,197.8392,3563.08,-19577.392578125,2410000,482,3458.42
483,393.3365,299.5512,4140.18,-19344.154296875,2415000,483,4341.72
484,394.5532,229.704,3596.71,-19474.63671875,2420000,484,3844.36
485,391.0694,213.4883,3513.53,-19327.3828125,2425000,485,3023.42
486,398.0802,226.005,3566.32,-18929.033203125,2430000,486,3236.52
487,379.7608,200.1031,3329.31,-19347.8359375,2435000,487,3716.79
488,407.4473,232.4768,3611.77,-19771.490234375,2440000,488,4448.35
489,398.0647,233.0565,4179.58,-19336.802734375,2445000,489,3615.57
490,398.8779,237.8258,3214.34,-19562.84375,2450000,490,2888.36
491,373.5271,196.0035,4363.33,-19740.666015625,2455000,491,4526.66
492,398.5141,215.344,4144.48,-19566.587890625,2460000,492,4063.68
493,398.6285,242.1598,4628.44,-19703.283203125,2465000,493,4566.71
494,389.1586,245.0294,3675.31,-19460.705078125,2470000,494,3820.77
495,380.2215,198.1587,3316.43,-19316.990234375,2475000,495,2807.51
496,388.9316,227.9322,3813.59,-19012.955078125,2480000,496,3816.91
497,374.382,231.6798,4516.45,-19535.115234375,2485000,497,3885.15
498,377.4125,236.9015,2341.24,-19233.291015625,2490000,498,2801.02
499,391.3993,257.8708,3719.7,-19500.009765625,2495000,499,4692.9
500,388.5571,275.0472,3754.32,-19146.3828125,2500000,500,3621.36
501,373.3909,199.4213,3261.05,-19193.123046875,2505000,501,3691.65
502,392.2579,277.8671,4125.87,-19273.10546875,2510000,502,4330.73
503,395.8138,285.3516,2543.43,-18541.763671875,2515000,503,3033.75
504,386.5387,246.0062,3762.48,-19173.384765625,2520000,504,3928.11
505,400.9925,271.6355,3125.64,-18673.07421875,2525000,505,2566.06
506,393.1655,220.2144,3517.08,-19413.630859375,2530000,506,4000.84
507,383.3648,212.4906,3658.37,-19361.25390625,2535000,507,3797.94
508,381.3472,357.984,2635.97,-19536.353515625,2540000,508,3285.53
509,381.3561,212.1532,4076.63,-19306.78125,2545000,509,3851.69
510,383.7056,227.3533,4004.39,-19413.662109375,2550000,510,3884.28
511,386.5783,392.8564,3182.7,-19459.677734375,2555000,511,3654.02
512,387.6028,244.9493,4198.85,-19425.701171875,2560000,512,4369.84
513,391.4187,264.2415,4009.52,-19173.30859375,2565000,513,3487.21
514,386.3774,233.5492,3677.26,-19350.626953125,2570000,514,3450.54
515,400.144,249.8861,2678.48,-19043.193359375,2575000,515,2402.22
516,391.6432,236.7574,3606.7,-19588.5234375,2580000,516,3393.3
517,386.896,228.0297,2545.58,-19370.17578125,2585000,517,3342.49
518,397.6284,252.326,2831.85,-19208.26171875,2590000,518,1871.61
519,380.525,217.9156,3626.52,-19413.529296875,2595000,519,3213.08
520,394.3087,223.6008,3386.77,-19230.61328125,2600000,520,3378.47
521,374.8823,210.5298,3701.97,-19437.775390625,2605000,521,3684.32
522,388.6548,225.2895,4436.23,-19736.70703125,2610000,522,4682.27
523,387.0222,233.0733,4602.5,-19834.16796875,2615000,523,4661.79
524,395.5884,229.6078,4425.66,-19450.412109375,2620000,524,4464.04
525,399.0114,224.7729,4301.81,-19716.677734375,2625000,525,3596.33
526,390.8498,199.5332,2664.01,-19446.072265625,2630000,526,3434.41
527,403.3058,210.657,3985.99,-19452.78515625,2635000,527,3584.05
528,398.0032,215.519,3754.34,-19458.091796875,2640000,528,3414.71
529,401.813,237.4478,4401.55,-19716.197265625,2645000,529,3472.03
530,404.7466,236.1989,3271.37,-19739.359375,2650000,530,3817.09
531,421.6563,260.8358,3705.92,-19394.560546875,2655000,531,4012.01
532,411.1583,214.7602,2750.21,-19213.005859375,2660000,532,3168.02
533,407.9157,230.4325,3043.4,-19739.763671875,2665000,533,3175.39
534,413.4525,258.8269,4541.22,-19737.755859375,2670000,534,4620.56
535,405.7557,216.0401,3834.08,-19245.3046875,2675000,535,4196.68
536,417.8215,246.6935,3401.39,-19398.986328125,2680000,536,3333.54
537,412.7472,222.5893,3239.72,-19726.962890625,2685000,537,4019.36
538,422.4402,236.122,3708.68,-19671.8515625,2690000,538,3079.6
539,425.8145,269.9072,4177.05,-19697.767578125,2695000,539,4115.7
540,429.605,282.7317,3122.72,-19335.376953125,2700000,540,3306.97
541,442.1319,293.7035,2375.43,-19125.6328125,2705000,541,2091.79
542,419.1295,188.0466,3167.67,-19402.931640625,2710000,542,3539.03
543,436.596,305.6158,3509.02,-18743.396484375,2715000,543,3037.04
544,435.2031,225.2574,2772.19,-19334.453125,2720000,544,2329.75
545,437.8698,234.0677,2113.93,-19136.005859375,2725000,545,2849.57
546,432.7981,228.1604,2213.2,-18788.609375,2730000,546,1757.85
547,425.0586,203.6153,2672.6,-19288.734375,2735000,547,2475.34
548,429.9596,214.0875,3102.21,-19233.501953125,2740000,548,3110.15
549,432.4066,212.4932,2442.63,-19164.73828125,2745000,549,3311.41
550,430.4136,212.0449,2104.95,-19102.890625,2750000,550,2371.7
551,434.2881,257.4085,1581.49,-18969.7890625,2755000,551,2816.71
552,431.6403,219.7855,2194.97,-19293.005859375,2760000,552,2561.23
553,433.9046,225.4594,1244.19,-18880.359375,2765000,553,1504.48
554,432.4783,218.9941,1659.43,-18091.693359375,2770000,554,2003.99
555,428.0835,203.85,3829.47,-19098.583984375,2775000,555,3748.41
556,431.0823,213.2128,3482.86,-19119.70703125,2780000,556,2816.85
557,427.8587,197.5955,2454.68,-19067.5234375,2785000,557,2199.35
558,431.9268,224.3175,2654.47,-19311.07421875,2790000,558,3011.8
559,436.502,217.3932,2092.1,-18790.34375,2795000,559,2332.35
560,433.704,227.1331,2124.3,-19070.46484375,2800000,560,3097.9
561,428.3613,218.4124,3239.03,-18533.630859375,2805000,561,3100.1
562,437.5867,232.2739,2006.12,-19057.341796875,2810000,562,2711.63
563,429.6511,229.719,3043.77,-19499.8671875,2815000,563,3359.63
564,427.5788,203.0199,3050.33,-19292.701171875,2820000,564,3619.2
565,466.3902,357.4079,971.28,-18439.416015625,2825000,565,655.02
566,440.2899,273.9972,2224.97,-17959.97265625,2830000,566,2655.08
567,426.8744,196.9645,3533.92,-19407.5625,2835000,567,3591.57
568,423.891,209.528,1953.49,-18433.970703125,2840000,568,2752.7
569,431.644,227.8052,1936.76,-18149.314453125,2845000,569,2231.01
570,421.9746,183.9771,1934.16,-19151.40234375,2850000,570,2313.89
571,426.4596,211.595,2380.43,-19178.19921875,2855000,571,1924.48
572,433.0584,455.1228,2296.53,-19198.72265625,2860000,572,2296.07
573,440.0906,292.8152,2263.64,-18796.259765625,2865000,573,3059.35
574,430.5205,217.9114,2272.21,-18741.431640625,2870000,574,2998.8
575,423.0181,787.027,2768.91,-19420.73046875,2875000,575,2906.82
576,431.5587,375.1578,3013.29,-19055.201171875,2880000,576,3654.2
577,430.993,268.2291,2615.79,-18902.869140625,2885000,577,2499.37
578,456.8091,1162.289,1907.39,-19235.755859375,2890000,578,1501.55
579,414.951,249.4401,2750.34,-19338.94140625,2895000,579,3361.01
580,431.461,437.5707,1973.43,-19224.8828125,2900000,580,1654.12
581,434.1104,969.2536,2585.63,-19296.806640625,2905000,581,3266.49
582,452.0706,841.0599,2935.17,-18004.91015625,2910000,582,2581.25
583,439.1886,684.6438,3017.49,-19139.548828125,2915000,583,2626.97
584,441.75,1187.5227,2356.96,-19356.71484375,2920000,584,1702.36
585,430.0637,1483.7636,2553.77,-19348.849609375,2925000,585,3016.94
586,463.8836,1428.229,1246.9,-19193.2890625,2930000,586,1630.01
587,433.4419,1167.9308,2535.03,-19138.119140625,2935000,587,2480.26
588,433.7609,439.1025,2568.96,-19370.365234375,2940000,588,2855.34
589,432.4883,1432.6554,2502.94,-19466.888671875,2945000,589,1814.43
590,436.3931,1059.4187,2990.43,-19236.685546875,2950000,590,3031.2
591,438.5371,367.591,2242.4,-18725.59375,2955000,591,2775.47
592,438.0382,1027.4676,2063.34,-19288.177734375,2960000,592,2486.66
593,441.5938,924.1125,3244.83,-19279.888671875,2965000,593,2455.2
594,437.7695,285.8882,3392.85,-19384.404296875,2970000,594,3101.31
595,422.9737,650.7452,3149.31,-19522.7890625,2975000,595,3201.34
596,428.2721,444.2111,3611.54,-19339.611328125,2980000,596,2985.19
597,411.7843,243.1022,3496.69,-19356.44140625,2985000,597,2666.88
598,409.3944,356.7619,2955.24,-19638.20703125,2990000,598,3348.23
599,406.2782,245.0461,3273.15,-19407.5703125,2995000,599,2868.24
