Running Reverse KL,Itration,Running Forward KL,Real Sto Return,Real Det Return
39.444,313,58.8002,4735.43,5064.97
43.8919,314,61.4464,4512.16,4794.01
36.1613,315,57.5707,4328.73,5202.04
45.1768,316,62.6335,4830.59,5012.09
38.2938,317,58.9117,4409.87,5449.79
39.1761,318,59.3397,4431.62,5231.65
45.2803,319,61.861,3436.42,5398.67
44.6109,320,61.6773,4081.75,5197.55
43.9522,321,60.8005,3710.46,5311.01
46.2023,322,62.0025,4797.39,5360.39
41.6645,323,60.1897,4323.03,5162.42
40.7889,324,60.2759,4277.64,5149.25
43.4268,325,61.8993,4704.92,5412.78
42.9025,326,61.9722,4596.57,5055.1
42.2111,327,60.5528,4168.5,4841.37
46.0975,328,62.2981,4442.07,4982.99
43.6286,329,61.3254,4163.69,5291.36
43.7487,330,61.6581,4231.16,5449.47
46.17,331,63.1901,4793.72,4940.01
45.5393,332,63.3777,4611.41,4814.11
39.2227,333,59.3927,4642.97,5483.57
47.0527,334,63.4609,3937.26,5355.23
45.1082,335,61.4882,4368.06,4667.19
29.5883,336,59.2009,2828.4,4836.3
37.3426,337,59.4477,4336.82,4942.2
40.4601,338,59.8349,3427.67,4991.02
36.4861,339,60.9193,4739.73,4869.21
46.698,340,62.2361,3764.62,4423.18
43.732,341,61.111,4859.06,4893.35
50.894,342,65.0965,3922.1,5467.76
35.577,343,59.0903,4042.98,4275.54
43.687,344,61.8081,3452.02,4540.76
43.413,345,60.7641,4006.07,4985.45
48.1249,346,63.1552,4233.45,4766.4
39.3002,347,59.4782,3728.68,4610.51
47.67,348,64.5358,3751.76,5017.49
45.6328,349,63.1926,4662.29,5402.34
42.9628,350,61.4477,4538.54,4885.94
33.9971,351,59.3836,4014.6,4862.46
40.9154,352,61.1614,4523.33,5056.19
