Running Update Time,Running Env Steps,Real Sto Return,Real Det Return,Reward Loss,Itration,Running Reverse KL,Running Forward KL
243,1215000,1877.22,2183.34,-10759.3955078125,243,15.2294,156.6297
244,1220000,1879.13,2237.38,-10821.2294921875,244,15.3816,156.5579
245,1225000,1915.15,2237.28,-10840.1875,245,15.4958,156.6872
246,1230000,1916.52,2255.5,-10896.5283203125,246,15.4197,156.4848
247,1235000,1912.18,2239.5,-10853.70703125,247,15.3411,156.4596
248,1240000,1892.06,2248.89,-10923.1318359375,248,15.4253,156.7667
249,1245000,1890.44,2266.19,-10990.4384765625,249,15.3663,156.4623
250,1250000,1893.52,2258.17,-10982.892578125,250,15.4216,156.5293
251,1255000,1906.24,2233.62,-11036.4501953125,251,15.5342,156.5929
252,1260000,1903.77,2251.15,-11010.859375,252,15.3114,156.4933
253,1265000,1878.83,2251.1,-11075.7919921875,253,15.4885,156.5811
254,1270000,1914.71,2282.53,-11097.904296875,254,15.6414,156.4822
255,1275000,1883.26,2251.19,-11084.0439453125,255,15.4832,156.6073
256,1280000,1916.56,2270.1,-11090.7744140625,256,15.3416,156.5577
257,1285000,1901.32,2243.9,-11112.3330078125,257,15.4618,156.6795
258,1290000,1878.23,2204.89,-11116.1708984375,258,15.1842,156.5641
259,1295000,1884.17,2253.51,-11139.0390625,259,15.368,156.7589
260,1300000,1880.48,2256.85,-11206.6298828125,260,15.2919,156.7745
261,1305000,1893.81,2252.28,-11207.0673828125,261,15.5939,156.6907
262,1310000,1918.67,2270.43,-11250.08984375,262,15.2029,156.4975
263,1315000,1892.85,2226.64,-11247.671875,263,15.2827,156.5646
264,1320000,1868.69,2253.43,-11301.7685546875,264,15.3153,156.6996
265,1325000,1857.58,2233.62,-11289.1396484375,265,15.1935,156.7128
266,1330000,1878.32,2242.92,-11280.853515625,266,15.4397,156.7069
267,1335000,1881.63,2206.16,-11322.349609375,267,15.2525,156.6346
268,1340000,1876.89,2253.42,-11374.2626953125,268,15.3398,156.5563
269,1345000,1884.64,2250.29,-11411.2021484375,269,15.4003,156.6312
270,1350000,1902.2,2279.89,-11437.7001953125,270,15.4776,156.5712
271,1355000,1900.87,2237.46,-11421.3974609375,271,15.2282,156.4589
