Itration,Real Det Return,Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Running Update Time,Real Sto Return
388,2227.92,15.2769,156.7362,1940000,-11675.142578125,388,1869.81
389,2250.52,15.3861,156.6827,1945000,-11656.013671875,389,1883.54
390,2240.6,15.4371,156.6054,1950000,-11720.509765625,390,1875.22
391,2241.27,15.3418,156.6568,1955000,-11723.55078125,391,1873.78
392,2252.47,15.4972,156.8286,1960000,-11745.4755859375,392,1885.65
393,2215.96,15.3841,156.719,1965000,-11736.1357421875,393,1865.49
394,2240.02,15.3767,156.6421,1970000,-11786.6708984375,394,1873.34
395,2229.71,15.3426,156.6067,1975000,-11789.42578125,395,1860.73
396,2236.28,15.3209,156.7147,1980000,-11785.5146484375,396,1864.95
397,1568.98,14.8694,156.5222,1985000,-11692.6552734375,397,1820.02
398,2243.31,15.3338,156.6741,1990000,-11845.2529296875,398,1877.07
399,2237.98,15.4246,156.8138,1995000,-11826.482421875,399,1871.5
400,2228.1,15.2984,156.6853,2000000,-11850.017578125,400,1868.82
401,2242.29,15.3873,156.7041,2005000,-11854.9560546875,401,1879.73
402,2234.52,15.3941,156.7876,2010000,-11889.392578125,402,1862.59
403,2251.75,15.3143,156.8024,2015000,-11898.79296875,403,1891.86
404,2248.29,15.3447,156.6517,2020000,-11957.7236328125,404,1888.47
405,2255.55,15.2501,156.7082,2025000,-11951.154296875,405,1884.08
406,2258.48,15.237,156.7365,2030000,-11965.3056640625,406,1895.33
407,2265.55,15.2788,156.5994,2035000,-11969.56640625,407,1895.32
408,2250.34,15.2893,156.7663,2040000,-11978.9365234375,408,1892.67
409,2253.77,15.2066,156.7063,2045000,-12015.6669921875,409,1887.62
410,2252.59,15.4213,156.6097,2050000,-12038.8740234375,410,1907.79
411,2255.52,15.4022,156.7572,2055000,-12053.7158203125,411,1887.75
412,2240.17,15.3277,156.6311,2060000,-12031.7890625,412,1889.49
413,2253.29,15.2806,156.6613,2065000,-12063.4931640625,413,1885.06
414,2253.43,15.1293,156.7488,2070000,-12081.7255859375,414,1893.73
415,2266.15,15.2006,156.7353,2075000,-12118.2626953125,415,1893.57
416,2248.34,15.5027,156.6123,2080000,-12137.6513671875,416,1888.88
417,2270.49,15.4794,156.738,2085000,-12101.0166015625,417,1905.82
418,2234.53,15.1864,156.7665,2090000,-12156.1240234375,418,1862.39
419,2259.61,15.2611,156.7514,2095000,-12178.9931640625,419,1896.98
420,2264.09,15.3878,156.7516,2100000,-12170.8564453125,420,1897.16
421,2257.5,15.3306,156.8257,2105000,-12183.7216796875,421,1899.18
422,2272.89,15.3017,156.7386,2110000,-12231.9375,422,1899.43
423,2250.9,15.5006,156.6663,2115000,-12236.54296875,423,1908.07
424,2253.05,15.3941,156.6104,2120000,-12258.6669921875,424,1904.62
425,2275.49,15.502,156.7018,2125000,-12301.6162109375,425,1909.57
426,2265.95,15.3009,156.7338,2130000,-12245.7490234375,426,1920.42
427,2263.6,15.3265,156.6994,2135000,-12341.26953125,427,1895.32
428,2275.29,15.3859,156.6764,2140000,-12324.2158203125,428,1898.01
429,2273.41,15.4542,156.5889,2145000,-12353.576171875,429,1902.65
430,2276.04,15.4875,156.6964,2150000,-12363.83984375,430,1923.12
431,2264.64,15.1871,156.8125,2155000,-12393.6865234375,431,1897.96
432,2252.81,15.5154,156.7757,2160000,-12383.5419921875,432,1915.36
433,2265.98,15.3858,156.7087,2165000,-12433.5205078125,433,1909.73
434,2286.76,15.526,156.6655,2170000,-12421.837890625,434,1915.68
435,2268.45,15.4509,156.6742,2175000,-12431.8515625,435,1905.28
436,2253.13,15.388,156.5756,2180000,-12447.41015625,436,1906.5
437,2265.82,15.4115,156.5551,2185000,-12477.9931640625,437,1897.41
438,2286.18,15.5333,156.7798,2190000,-12501.9365234375,438,1945.51
439,2272.0,15.2663,156.6064,2195000,-12510.107421875,439,1912.17
440,2273.71,15.3246,156.7409,2200000,-12554.5263671875,440,1914.07
441,2284.27,15.3974,156.8195,2205000,-12574.8017578125,441,1911.13
442,2272.16,15.3132,156.5983,2210000,-12588.7607421875,442,1905.75
443,2291.74,15.3272,156.6695,2215000,-12604.7216796875,443,1946.43
444,2303.88,15.2963,156.5845,2220000,-12620.4169921875,444,1931.53
445,2297.96,15.3488,156.7902,2225000,-12601.041015625,445,1923.75
446,2299.25,15.3131,156.6045,2230000,-12647.171875,446,1926.85
447,2276.56,15.4127,156.7108,2235000,-12646.12890625,447,1918.43
448,2290.4,15.2805,156.7054,2240000,-12660.470703125,448,1910.68
449,2307.3,15.3497,156.6854,2245000,-12695.7138671875,449,1919.39
450,2294.21,15.4525,156.7165,2250000,-12744.935546875,450,1920.71
451,2295.6,15.5193,156.6338,2255000,-12751.056640625,451,1929.77
452,2283.56,15.502,156.7419,2260000,-12760.990234375,452,1917.42
453,2274.65,15.4102,156.7477,2265000,-12786.9306640625,453,1919.06
454,2291.2,15.572,156.7138,2270000,-12846.0244140625,454,1919.0
455,2298.63,15.2903,156.6621,2275000,-12829.4453125,455,1931.37
456,2302.41,15.4509,156.6461,2280000,-12831.33984375,456,1928.71
457,2288.16,15.6283,156.7911,2285000,-12899.9228515625,457,1920.68
458,2306.8,15.3931,156.7033,2290000,-12894.201171875,458,1945.54
459,2307.48,15.3119,156.7927,2295000,-12929.1875,459,1930.48
460,2285.95,15.343,156.5651,2300000,-12884.5859375,460,1941.12
461,2321.82,15.5438,156.7317,2305000,-12929.3369140625,461,1939.36
462,2306.16,15.4229,156.7128,2310000,-12958.884765625,462,1931.69
463,2289.83,15.4041,156.6315,2315000,-12984.599609375,463,1925.55
464,2312.64,15.4243,156.7284,2320000,-12983.3525390625,464,1930.91
465,2305.23,15.3528,156.6797,2325000,-13009.0830078125,465,1933.81
466,2313.49,15.5758,156.71,2330000,-13026.60546875,466,1937.26
467,2300.82,15.3877,156.6598,2335000,-13066.1865234375,467,1931.35
468,2306.93,15.5491,156.7138,2340000,-13082.51171875,468,1948.4
469,2307.58,15.3263,156.5887,2345000,-13097.50390625,469,1938.66
470,2323.54,15.4749,156.6939,2350000,-13087.3447265625,470,1950.89
471,2311.82,15.2132,156.7105,2355000,-13126.0263671875,471,1920.74
472,2306.26,15.4178,156.7778,2360000,-13120.0087890625,472,1955.21
473,2313.94,15.5256,156.647,2365000,-13181.837890625,473,1956.8
474,2325.54,15.6952,156.7885,2370000,-13257.6455078125,474,1951.61
