Running Reverse KL,Itration,Real Det Return,Running Forward KL,Real Sto Return,Running Env Steps,Running Update Time,Reward Loss
25.3624,150,3547.03,21.5046,1819.09,750000,150,-3644.177978515625
37.7641,151,2491.06,20.9174,1391.49,755000,151,-4560.1708984375
23.2714,152,3552.06,19.4685,2827.52,760000,152,-2345.920654296875
38.5281,153,2638.81,21.89,1808.08,765000,153,-4893.80029296875
24.7087,154,3468.03,20.7231,2806.5,770000,154,-3216.053466796875
33.7627,155,3521.75,21.5912,1735.79,775000,155,-5023.68994140625
20.3659,156,3507.62,19.9793,2153.81,780000,156,-2572.151611328125
22.9515,157,3449.7,21.9368,1448.91,785000,157,-4277.22119140625
25.8304,158,3433.76,22.3622,1749.74,790000,158,-5291.23828125
31.3673,159,1003.03,23.3029,746.89,795000,159,-5683.33544921875
28.824,160,3520.06,21.031,1562.5,800000,160,-4739.18798828125
29.3414,161,2334.22,22.6027,1889.31,805000,161,-5292.98583984375
24.6816,162,2331.13,21.8416,1892.05,810000,162,-4833.412109375
22.6174,163,3116.47,21.407,1964.63,815000,163,-4464.61767578125
13.1622,164,1122.01,21.2377,2056.3,820000,164,-4597.1689453125
30.9034,165,2753.05,23.5317,1831.85,825000,165,-6202.13671875
29.2267,166,1586.04,24.0301,1775.45,830000,166,-6078.6669921875
25.1661,167,2457.19,22.0271,1557.65,835000,167,-5400.12939453125
17.984,168,2042.29,22.8959,1375.07,840000,168,-5512.34521484375
24.944,169,1326.84,24.1825,1235.33,845000,169,-6436.22314453125
13.6011,170,2494.3,23.094,1367.13,850000,170,-5304.7294921875
12.511,171,3212.4,20.4605,1562.94,855000,171,-2467.220458984375
24.8677,172,2469.55,23.1124,1808.3,860000,172,-5753.94970703125
28.3502,173,3186.74,23.0367,1502.81,865000,173,-6714.12939453125
26.2052,174,1771.8,23.0059,1212.32,870000,174,-6461.939453125
19.5296,175,3130.8,21.5196,2221.59,875000,175,-4757.76708984375
23.402,176,3511.71,22.4161,1813.52,880000,176,-6035.11669921875
24.3078,177,2485.31,22.7882,1068.72,885000,177,-6734.95458984375
52.7895,178,2300.74,22.6427,982.17,890000,178,-7600.69140625
59.0797,179,2319.57,23.4337,1670.8,895000,179,-7742.64501953125
15.709,180,2855.14,22.2015,1510.23,900000,180,-4617.39404296875
33.4041,181,3521.03,23.0368,1378.75,905000,181,-7331.4921875
53.5175,182,1359.92,22.9247,1578.33,910000,182,-7527.7099609375
32.826,183,1851.69,23.555,1123.8,915000,183,-8500.6689453125
32.8944,184,12.58,24.667,12.95,920000,184,-8523.4443359375
19.4489,185,2958.57,22.572,1911.93,925000,185,-6324.5810546875
33.4006,186,17.49,24.1416,20.2,930000,186,-8578.6923828125
30.9272,187,3404.54,22.6383,1516.53,935000,187,-7670.59912109375
42.5282,188,1832.39,23.5952,1572.11,940000,188,-7982.2822265625
15.1062,189,3569.83,22.1702,1602.0,945000,189,-4474.77978515625
48.6164,190,1751.35,22.2391,1678.06,950000,190,-7813.97265625
30.3596,191,1298.98,21.7326,2192.92,955000,191,-6630.541015625
22.475,192,612.44,22.8822,562.17,960000,192,-6470.86767578125
62.7801,193,2302.6,23.2802,1260.0,965000,193,-9317.828125
24.8895,194,1799.96,22.2144,1126.71,970000,194,-5985.890625
17.21,195,1087.43,23.1217,1352.97,975000,195,-7459.57958984375
20.4218,196,2715.07,21.3756,2338.44,980000,196,-5720.39404296875
21.0366,197,2217.69,22.6869,1601.82,985000,197,-7568.69091796875
12.8531,198,1836.1,23.4266,1443.66,990000,198,-6552.140625
12.5224,199,1559.37,22.3478,2417.68,995000,199,-6303.482421875
