Running Env Steps,Real Det Return,Running Update Time,Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Itration
795000,2199.04,159,15.4974,-35833.8046875,1882.16,156.763,159
800000,2246.66,160,15.6866,-36292.4921875,1886.31,156.9095,160
805000,2226.43,161,15.51,-36653.5,1874.28,156.7191,161
810000,2224.62,162,15.7368,-36636.96875,1893.57,156.7694,162
815000,2221.93,163,15.3961,-36972.140625,1874.73,156.9409,163
820000,2214.92,164,15.894,-37452.203125,1904.28,156.8081,164
825000,2226.34,165,15.5221,-37786.91015625,1874.38,156.9399,165
830000,2256.49,166,15.552,-37898.90625,1896.67,156.607,166
835000,2212.34,167,15.5196,-38149.1953125,1834.02,156.7358,167
840000,2196.11,168,15.3238,-38273.5234375,1872.58,156.8834,168
845000,2246.81,169,15.6891,-38766.44140625,1868.6,156.8346,169
850000,2238.09,170,15.5199,-39029.89453125,1844.53,156.7355,170
855000,2262.69,171,15.5827,-38989.78125,1886.57,156.8663,171
860000,2186.19,172,15.4778,-39244.765625,1855.06,156.9957,172
865000,2257.13,173,15.7747,-39422.2421875,1925.75,156.7198,173
870000,2236.34,174,15.3197,-39275.8984375,1866.88,156.801,174
875000,2198.58,175,15.3779,-39784.85546875,1882.09,156.8088,175
880000,2219.69,176,15.2984,-40174.48046875,1880.4,156.7439,176
885000,2240.51,177,15.9387,-40261.6015625,1896.31,156.7486,177
890000,2235.71,178,15.4472,-40517.328125,1876.03,156.7213,178
895000,2235.26,179,15.5739,-40805.7109375,1880.83,156.8968,179
900000,2236.97,180,15.6649,-40745.26171875,1888.99,156.7136,180
905000,2222.98,181,15.432,-41188.6796875,1883.1,156.8365,181
910000,2268.57,182,15.6378,-41497.4375,1902.78,156.9919,182
915000,2251.82,183,15.3669,-41463.28515625,1892.26,156.7194,183
920000,2272.11,184,15.4966,-41757.98828125,1914.39,156.6932,184
925000,2243.7,185,15.6614,-41953.84375,1892.42,156.8287,185
930000,2259.85,186,15.3597,-42267.078125,1850.1,156.7111,186
