Running Update Time,Itration,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL
185,185,2243.78,925000,15.5754,1887.03,-8022.1865234375,156.7471
186,186,2195.39,930000,15.5157,1914.81,-8077.962890625,156.8405
187,187,2208.05,935000,15.6981,1891.86,-8124.63671875,156.8982
188,188,2203.67,940000,15.634,1873.4,-8157.033203125,156.7615
189,189,2190.17,945000,15.6522,1876.19,-8122.02734375,156.7829
190,190,2236.45,950000,16.1027,1913.6,-8248.0810546875,157.0205
191,191,2219.93,955000,15.7393,1873.31,-8247.40234375,156.9014
192,192,2242.26,960000,15.7565,1903.66,-8236.3173828125,156.8117
193,193,2174.34,965000,15.3802,1873.73,-8244.5048828125,156.8597
194,194,2206.95,970000,15.8532,1901.18,-8370.306640625,156.7361
195,195,2215.8,975000,15.9321,1905.13,-8303.873046875,156.8661
196,196,2208.84,980000,15.6517,1884.07,-8396.9931640625,156.8569
197,197,2257.59,985000,15.552,1907.43,-8368.1826171875,156.6864
198,198,2229.15,990000,15.7309,1866.82,-8459.75,157.0985
199,199,2223.54,995000,15.6075,1904.4,-8450.212890625,156.7631
200,200,2243.62,1000000,15.8565,1869.73,-8500.34765625,156.9722
201,201,2215.1,1005000,15.8355,1873.55,-8513.71484375,156.7594
202,202,2210.78,1010000,15.7723,1855.77,-8560.423828125,156.8763
203,203,2220.28,1015000,15.6579,1867.59,-8580.478515625,156.819
204,204,2241.71,1020000,15.7677,1874.98,-8598.5849609375,156.9067
205,205,2198.12,1025000,15.5797,1866.72,-8624.56640625,156.861
206,206,2204.13,1030000,15.5302,1875.83,-8665.1962890625,156.9597
207,207,2242.15,1035000,15.829,1901.48,-8679.810546875,156.8143
208,208,2249.9,1040000,15.6619,1893.1,-8703.994140625,156.7119
209,209,2224.83,1045000,15.5132,1866.61,-8722.33984375,156.9005
210,210,2254.83,1050000,15.8135,1910.63,-8803.4326171875,156.9232
211,211,2231.06,1055000,15.7586,1894.22,-8837.953125,156.9061
212,212,2252.68,1060000,15.745,1898.94,-8841.279296875,156.7689
213,213,2243.59,1065000,15.7909,1895.8,-8858.97265625,156.921
214,214,2244.6,1070000,15.9685,1917.43,-8930.7373046875,156.8925
215,215,2220.05,1075000,15.4761,1875.86,-8902.1357421875,156.6282
216,216,2224.63,1080000,15.8047,1882.88,-8967.3876953125,156.8469
217,217,2251.04,1085000,15.8723,1901.17,-9007.548828125,156.9339
218,218,2262.95,1090000,15.9423,1890.82,-9066.083984375,156.7739
219,219,2272.98,1095000,16.0124,1911.8,-9086.595703125,157.0543
220,220,2207.05,1100000,15.8001,1873.07,-9107.5390625,156.9289
221,221,2273.56,1105000,15.9414,1907.91,-9153.53125,156.8392
222,222,2253.2,1110000,15.9098,1897.94,-9180.302734375,156.9078
223,223,2266.42,1115000,16.0162,1896.0,-9204.1845703125,156.8385
224,224,2246.01,1120000,15.8355,1914.13,-9247.7666015625,156.7268
225,225,2250.96,1125000,15.8028,1909.15,-9276.7490234375,156.7781
226,226,2236.32,1130000,15.8925,1884.39,-9299.9580078125,156.8188
227,227,2268.34,1135000,15.7697,1910.7,-9310.029296875,156.8209
228,228,2260.71,1140000,15.7923,1911.48,-9382.10546875,156.6304
229,229,2254.91,1145000,15.7223,1892.52,-9409.607421875,156.8762
230,230,2264.3,1150000,15.7904,1910.14,-9430.0556640625,156.9063
231,231,2246.93,1155000,15.7934,1908.54,-9460.01171875,156.8128
232,232,2261.02,1160000,15.6964,1918.16,-9488.5908203125,156.7357
233,233,2244.28,1165000,15.7138,1888.49,-9557.15234375,156.8243
234,234,2200.38,1170000,15.8199,1872.86,-9621.3330078125,156.848
235,235,2262.59,1175000,15.867,1914.88,-9628.0302734375,156.9025
236,236,2241.53,1180000,15.855,1881.55,-9653.828125,156.9866
237,237,2268.05,1185000,15.6084,1888.89,-9658.2490234375,156.7139
238,238,2259.86,1190000,15.7126,1883.21,-9687.8447265625,156.7613
239,239,2250.07,1195000,15.6926,1878.81,-9733.375,156.8337
240,240,2267.26,1200000,15.8696,1900.09,-9767.51171875,156.8503
241,241,2258.98,1205000,16.0749,1895.25,-9807.24609375,156.9382
242,242,2247.58,1210000,15.9843,1891.1,-9837.5146484375,156.8093
243,243,2246.41,1215000,15.7626,1881.3,-9849.814453125,156.8976
244,244,2273.45,1220000,16.1494,1922.64,-9914.6025390625,156.8099
