Itration,Running Env Steps,Running Update Time,Running Forward KL,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL
388,1940000,388,82.3398,-11464.62109375,5626.69,6010.99,75.7703
389,1945000,389,74.9598,-11282.958984375,5548.91,5775.76,67.2687
390,1950000,390,81.8544,-11643.0419921875,5649.54,5964.37,75.0364
391,1955000,391,80.6068,-11658.48046875,5678.44,5801.27,75.4527
392,1960000,392,79.1378,-10949.11328125,4125.59,5333.97,91.5619
393,1965000,393,81.8343,-11634.3154296875,4102.75,4881.2,79.5796
394,1970000,394,78.2362,-11574.9267578125,5430.48,5824.84,68.7285
395,1975000,395,73.9671,-11178.744140625,5202.02,6083.8,61.4942
396,1980000,396,79.2991,-11630.853515625,5048.98,6027.31,70.0926
397,1985000,397,79.0105,-11609.2373046875,5674.46,6012.48,67.2358
398,1990000,398,78.7541,-11834.78125,5265.65,6131.02,69.2426
399,1995000,399,76.2307,-11558.7021484375,5477.09,6035.06,65.6568
400,2000000,400,78.641,-11707.1376953125,5724.38,6065.24,68.5436
401,2005000,401,80.0492,-11899.673828125,5528.14,6130.94,70.2571
402,2010000,402,80.5903,-11992.0751953125,5571.44,6117.11,69.7804
403,2015000,403,70.2499,-10802.1220703125,5704.68,6071.31,58.5731
404,2020000,404,79.6633,-11928.884765625,5335.86,6154.62,71.7546
405,2025000,405,79.3055,-11824.6630859375,5064.13,5885.13,69.7918
406,2030000,406,72.4611,-11516.9296875,5709.29,6190.42,63.511
407,2035000,407,77.2622,-11943.7255859375,5722.61,5930.35,68.8928
408,2040000,408,79.7067,-12029.6435546875,5747.09,5857.88,71.1635
409,2045000,409,72.0335,-11390.857421875,4659.12,5668.45,58.2723
410,2050000,410,67.0309,-9627.47265625,4180.22,4054.24,42.7863
411,2055000,411,82.6057,-12480.5869140625,5464.44,5918.13,76.6695
412,2060000,412,80.7596,-12181.390625,5614.91,6083.82,75.4417
413,2065000,413,78.868,-12189.390625,5695.69,6123.02,72.4055
414,2070000,414,75.2241,-11897.9208984375,5630.46,6243.46,64.8327
415,2075000,415,81.3002,-12360.85546875,5534.66,5771.51,74.5215
416,2080000,416,75.5289,-12014.787109375,5228.96,6140.66,66.9162
417,2085000,417,80.6075,-12403.1796875,5524.32,6093.55,73.8302
418,2090000,418,80.2966,-12477.5615234375,5450.62,6155.2,73.2236
419,2095000,419,78.4703,-12306.4501953125,5751.99,6136.22,69.2825
420,2100000,420,82.3351,-12689.7158203125,5729.43,6109.3,78.2194
421,2105000,421,79.1267,-12548.2802734375,5743.69,6128.59,73.1859
422,2110000,422,80.4989,-12529.0771484375,5473.67,6135.72,71.2473
423,2115000,423,81.5372,-12807.302734375,5619.33,6089.35,72.5122
424,2120000,424,80.8317,-12528.5009765625,5703.62,5679.75,73.5503
425,2125000,425,81.592,-12716.5087890625,5172.67,5735.69,74.719
426,2130000,426,73.8941,-12180.970703125,5739.11,6203.11,63.4139
427,2135000,427,81.4751,-12902.6103515625,5205.8,6197.49,73.2986
428,2140000,428,78.7058,-12537.68359375,5240.14,6102.43,66.0433
429,2145000,429,72.7923,-12008.1845703125,5202.18,5836.52,57.7735
430,2150000,430,80.3097,-12724.845703125,5740.57,5923.5,69.7529
431,2155000,431,78.3622,-12649.43359375,5512.52,5995.76,68.5503
432,2160000,432,79.0977,-12738.8935546875,4890.69,5855.4,68.0577
433,2165000,433,79.4541,-12747.54296875,5125.36,5993.3,70.0505
434,2170000,434,76.2124,-12455.32421875,4892.74,5669.39,62.3841
435,2175000,435,78.1627,-12670.6943359375,5781.92,6143.6,66.1384
436,2180000,436,73.8386,-12190.3779296875,5472.06,6171.3,60.8725
437,2185000,437,78.2183,-12704.501953125,4850.55,5848.36,66.4562
438,2190000,438,71.8434,-12077.88671875,5489.79,5499.43,56.9627
439,2195000,439,78.2005,-12606.03125,4924.33,6105.29,66.7343
440,2200000,440,78.0046,-13045.6181640625,4990.36,6062.89,65.4943
441,2205000,441,75.1712,-12596.171875,5252.61,6057.12,62.5898
442,2210000,442,73.6862,-12424.84765625,5518.76,6135.56,60.8641
443,2215000,443,79.7761,-13000.98046875,5233.89,6165.28,67.6591
444,2220000,444,74.9162,-12497.2001953125,4974.09,6141.85,61.2296
445,2225000,445,74.8893,-12608.8876953125,5478.08,5990.08,61.0294
446,2230000,446,79.9223,-13198.166015625,4918.19,5665.54,64.7692
447,2235000,447,78.0195,-13015.1083984375,5427.68,5997.18,66.0088
448,2240000,448,73.01,-12596.291015625,5168.2,5995.47,59.6187
449,2245000,449,78.6886,-13117.9482421875,5521.4,6202.06,67.2805
450,2250000,450,75.9508,-12790.59375,5213.42,6152.7,65.5788
451,2255000,451,74.6796,-12817.857421875,5729.41,6130.49,63.3112
