Itration,Running Update Time,Reward Loss,Running Forward KL,Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps
395,395,-18011.265625,433.7448,2892.95,2932.19,235.2813,1975000
396,396,-19168.953125,436.3349,3877.91,3045.5,221.966,1980000
397,397,-18372.958984375,425.1555,4075.13,4164.99,188.1958,1985000
398,398,-17374.181640625,444.9327,1262.95,1938.9,301.7905,1990000
399,399,-17273.083984375,443.1964,2103.16,1759.13,268.9986,1995000
400,400,-17671.515625,439.2776,1182.54,1313.13,271.5438,2000000
401,401,-17236.16015625,432.952,3039.14,2635.74,229.0587,2005000
402,402,-16992.177734375,443.8048,1724.28,1724.03,268.5782,2010000
403,403,-18375.9609375,430.1934,3437.47,4183.77,222.4555,2015000
404,404,-17991.255859375,424.828,2980.74,3001.75,248.811,2020000
405,405,-17714.802734375,430.7317,2895.6,2501.35,264.3368,2025000
406,406,-17875.4609375,430.1756,2261.26,2354.1,272.6281,2030000
407,407,-18985.98828125,427.6317,3893.73,3022.61,248.0915,2035000
408,408,-17031.783203125,410.218,1798.47,1802.09,217.041,2040000
409,409,-16421.619140625,421.7771,1378.07,1785.78,229.1146,2045000
410,410,-17979.34375,420.3887,2039.74,1611.76,231.2383,2050000
411,411,-16855.904296875,401.7097,2786.08,2622.66,235.02,2055000
412,412,-17988.9375,424.8595,3084.0,3090.39,223.8703,2060000
413,413,-18211.72265625,439.7224,1329.45,1972.58,279.8121,2065000
414,414,-16702.275390625,448.8589,1664.62,1681.51,393.6765,2070000
415,415,-16423.30859375,453.2785,1463.01,1335.62,250.1818,2075000
416,416,-17603.796875,450.9725,1726.8,1954.84,211.6919,2080000
417,417,-17560.70703125,435.3085,3267.06,3356.59,203.7457,2085000
418,418,-18081.90625,449.8525,1843.35,1924.91,288.4297,2090000
419,419,-17658.283203125,446.6446,1922.2,1676.41,252.7704,2095000
420,420,-18029.318359375,443.111,1244.86,1012.25,217.1115,2100000
421,421,-16778.087890625,459.6527,799.64,839.93,234.4915,2105000
422,422,-16723.685546875,475.7855,599.48,546.34,273.225,2110000
423,423,-16706.083984375,475.0919,529.77,479.63,654.3972,2115000
424,424,-15245.3916015625,459.7256,795.47,662.79,318.4058,2120000
425,425,-17348.638671875,483.7725,561.24,609.58,235.5636,2125000
426,426,-17419.80078125,472.1637,598.01,599.83,246.8784,2130000
427,427,-15162.28515625,469.6507,638.19,705.27,419.256,2135000
428,428,-15520.3818359375,479.4771,472.36,487.88,658.3563,2140000
429,429,-14662.0029296875,479.0553,535.48,538.03,274.1038,2145000
430,430,-16943.666015625,470.5547,727.84,791.89,266.5538,2150000
431,431,-16543.265625,458.4255,818.46,722.45,276.2536,2155000
432,432,-15031.7744140625,468.9136,653.38,628.31,533.8733,2160000
433,433,-17640.306640625,488.6427,531.73,618.7,324.5746,2165000
434,434,-17755.9765625,488.0694,554.01,488.27,288.8087,2170000
435,435,-17793.7421875,496.2499,410.67,427.04,327.4825,2175000
436,436,-17200.36328125,496.432,427.12,414.87,329.429,2180000
437,437,-17452.494140625,505.2343,329.87,333.59,282.5713,2185000
438,438,-16189.380859375,534.9539,241.63,253.56,419.3634,2190000
439,439,-17346.025390625,503.4845,266.31,274.88,270.8254,2195000
440,440,-17146.076171875,491.2398,290.18,286.13,279.3882,2200000
441,441,-17439.392578125,506.7061,242.78,254.51,317.5307,2205000
442,442,-17054.7421875,511.1583,263.24,275.31,295.0293,2210000
443,443,-16826.45703125,504.9748,218.66,211.38,321.7662,2215000
444,444,-17495.251953125,592.0392,175.66,169.9,1511.8285,2220000
445,445,-17347.99609375,585.7782,209.4,140.77,378.6662,2225000
446,446,-17745.640625,554.0557,221.69,218.91,300.234,2230000
447,447,-17244.36328125,609.2367,166.63,166.72,334.2571,2235000
448,448,-16377.6357421875,601.5706,138.34,135.84,323.3874,2240000
449,449,-17691.009765625,633.9564,106.77,118.44,344.8652,2245000
450,450,-17375.359375,613.0081,143.56,136.89,345.4789,2250000
451,451,-17350.482421875,649.5584,88.2,97.76,393.8729,2255000
452,452,-17330.2890625,643.0338,60.88,59.87,307.5224,2260000
453,453,-17961.669921875,639.2448,76.47,91.48,336.0185,2265000
454,454,-17354.67578125,687.5681,61.31,60.59,304.9052,2270000
455,455,-17698.771484375,577.2066,148.78,128.05,325.3141,2275000
456,456,-17943.86328125,636.1656,63.76,64.44,422.1983,2280000
457,457,-17832.134765625,655.5232,61.11,60.87,324.9105,2285000
458,458,-18387.6875,667.6769,53.5,53.45,483.393,2290000
459,459,-18078.35546875,724.2449,55.81,56.52,377.9907,2295000
460,460,-18003.470703125,668.9105,60.87,60.28,348.4758,2300000
461,461,-18886.41796875,700.3024,64.0,65.77,494.7173,2305000
462,462,-18344.642578125,697.983,58.92,58.9,353.8901,2310000
463,463,-17837.021484375,690.0044,60.78,58.48,347.0692,2315000
464,464,-19554.158203125,740.8484,56.59,56.56,1383.6095,2320000
465,465,-18354.0078125,684.5889,55.5,55.35,342.3833,2325000
466,466,-19100.78515625,708.2906,57.38,57.7,442.4801,2330000
467,467,-19163.625,685.2458,57.02,57.51,940.9693,2335000
468,468,-19057.9609375,689.6298,55.44,55.39,803.3702,2340000
469,469,-18955.28125,689.3813,56.35,56.41,1828.1106,2345000
470,470,-18942.35546875,697.669,55.98,55.87,359.5939,2350000
471,471,-19203.328125,696.0775,56.97,55.33,1615.429,2355000
472,472,-19242.634765625,712.0573,56.69,56.73,479.6551,2360000
473,473,-19722.287109375,753.5237,54.9,55.13,584.2695,2365000
474,474,-19576.875,714.5036,54.97,54.99,646.9858,2370000
475,475,-19370.869140625,695.9616,56.8,56.55,538.8237,2375000
476,476,-19457.34375,705.8549,54.55,54.65,1045.3571,2380000
477,477,-19463.541015625,692.3983,56.46,56.54,838.9665,2385000
478,478,-19515.677734375,669.9565,57.3,56.92,551.2198,2390000
479,479,-19438.60546875,711.1483,57.13,56.71,1477.9508,2395000
480,480,-18710.384765625,659.5338,58.83,57.81,351.2927,2400000
481,481,-18725.24609375,616.9542,57.4,57.53,355.8014,2405000
482,482,-19533.05859375,712.8411,56.16,55.55,352.503,2410000
483,483,-19221.298828125,714.3045,57.55,58.41,348.6041,2415000
484,484,-19252.419921875,654.0875,58.39,58.08,327.3304,2420000
485,485,-19031.318359375,624.8493,60.49,60.77,393.5523,2425000
486,486,-19345.294921875,709.5312,57.34,57.02,340.441,2430000
487,487,-19167.111328125,685.1644,58.34,57.9,332.472,2435000
488,488,-18853.1796875,624.184,56.77,56.64,379.7247,2440000
489,489,-19323.162109375,683.1826,58.48,58.33,393.6572,2445000
490,490,-19753.681640625,727.8657,58.24,57.85,607.3689,2450000
491,491,-19440.9375,689.8818,57.07,56.99,337.602,2455000
492,492,-19493.625,717.7087,58.6,58.36,358.9752,2460000
493,493,-19149.0546875,661.6742,58.2,58.13,374.1599,2465000
494,494,-19190.697265625,629.0343,56.95,57.09,379.0365,2470000
495,495,-18646.376953125,659.251,57.93,57.94,382.1462,2475000
496,496,-16714.283203125,656.8783,57.31,57.42,381.3259,2480000
497,497,-19120.060546875,638.8082,57.5,57.6,538.032,2485000
498,498,-18658.115234375,660.4336,57.79,58.02,402.5337,2490000
499,499,-18892.375,623.885,56.93,56.4,582.8299,2495000
500,500,-19217.7421875,704.1211,58.08,58.08,358.3802,2500000
501,501,-19142.27734375,663.6465,57.5,57.61,848.0867,2505000
502,502,-18780.154296875,643.1273,52.11,51.49,382.1959,2510000
503,503,-17054.146484375,602.5362,53.0,51.56,410.1827,2515000
504,504,-17755.154296875,606.8425,51.52,51.05,698.6154,2520000
505,505,-18854.4296875,620.9459,51.81,51.53,481.1755,2525000
506,506,-17359.865234375,604.1366,51.48,51.9,369.5779,2530000
507,507,-18646.751953125,627.3978,55.13,55.39,636.5706,2535000
508,508,-18089.466796875,593.207,55.42,55.71,340.6395,2540000
509,509,-18132.337890625,633.2865,53.1,53.58,334.0232,2545000
510,510,-18157.56640625,610.1578,53.87,53.44,332.6301,2550000
511,511,-18558.521484375,628.9653,53.89,53.5,379.8272,2555000
512,512,-18360.68359375,622.2325,53.96,53.65,441.0925,2560000
513,513,-16580.611328125,625.7133,55.97,55.82,385.1443,2565000
514,514,-17748.482421875,592.8866,52.82,52.3,379.9405,2570000
515,515,-18294.265625,600.9213,55.61,56.36,339.8124,2575000
516,516,-17878.376953125,622.9976,53.91,53.84,354.1624,2580000
517,517,-18122.92578125,599.2455,56.45,56.55,359.6951,2585000
518,518,-18071.533203125,620.3714,51.55,51.25,369.8519,2590000
519,519,-17496.26171875,606.1354,57.25,57.75,335.9979,2595000
520,520,-17721.806640625,620.3228,57.29,57.33,339.0832,2600000
521,521,-17889.552734375,605.3329,56.88,57.12,332.3976,2605000
522,522,-18878.87890625,602.4236,57.63,57.62,379.0015,2610000
523,523,-18040.568359375,602.3319,57.55,57.61,392.6995,2615000
524,524,-18504.505859375,601.3554,57.63,57.69,387.453,2620000
525,525,-18825.01171875,598.3727,58.17,58.11,836.2451,2625000
526,526,-18808.513671875,599.2087,57.49,57.45,367.3986,2630000
527,527,-18237.2890625,670.5171,57.98,58.08,393.0933,2635000
528,528,-17651.35546875,674.5968,57.77,57.99,433.7134,2640000
529,529,-18591.826171875,637.7714,57.56,58.35,716.4611,2645000
530,530,-18748.748046875,652.7282,58.01,58.17,675.5531,2650000
531,531,-17932.482421875,656.625,57.87,58.31,405.5911,2655000
532,532,-18679.48828125,653.0062,58.09,57.96,423.5402,2660000
533,533,-18538.22265625,593.3155,58.03,58.36,394.9539,2665000
534,534,-19101.53125,646.2906,56.77,56.87,516.2259,2670000
535,535,-18297.57421875,628.2127,57.41,57.16,428.8385,2675000
536,536,-16851.08203125,632.3316,56.88,56.93,424.6642,2680000
537,537,-18430.98046875,675.469,57.73,57.31,538.1159,2685000
538,538,-18331.9765625,624.5126,55.95,55.69,471.0159,2690000
539,539,-19001.908203125,633.1336,56.69,56.37,477.7165,2695000
540,540,-18294.236328125,638.42,55.87,55.87,400.7014,2700000
541,541,-18668.857421875,648.2739,56.13,56.46,486.0312,2705000
542,542,-18568.3359375,620.8041,56.57,56.85,404.2473,2710000
543,543,-19015.384765625,645.619,55.78,55.77,395.8689,2715000
544,544,-19309.41015625,584.6237,55.89,55.87,647.7902,2720000
545,545,-18958.904296875,637.2616,56.33,56.57,524.2945,2725000
546,546,-18307.3125,602.526,56.32,56.75,415.9085,2730000
547,547,-18403.548828125,610.594,56.03,56.03,464.348,2735000
548,548,-18769.24609375,626.1303,56.66,56.72,545.1552,2740000
549,549,-18821.0390625,594.3867,55.81,55.8,535.5865,2745000
550,550,-19330.2265625,631.6371,56.59,56.81,446.1479,2750000
551,551,-18713.4140625,615.7734,56.04,56.53,400.7577,2755000
552,552,-18943.626953125,613.3199,56.48,56.54,452.8128,2760000
553,553,-18748.076171875,591.1885,55.91,55.88,398.7113,2765000
554,554,-19096.3203125,605.5534,54.86,54.89,533.0884,2770000
555,555,-18856.99609375,600.1816,55.78,56.36,369.8815,2775000
556,556,-19299.349609375,613.381,55.97,55.89,408.4924,2780000
557,557,-19125.853515625,619.4951,55.92,55.91,418.1358,2785000
558,558,-19115.5546875,586.6523,54.93,54.65,382.1596,2790000
559,559,-19564.60546875,633.4772,56.03,56.03,440.5495,2795000
560,560,-19372.23828125,609.011,55.3,55.3,428.3809,2800000
561,561,-19165.646484375,612.6994,55.02,55.01,493.1945,2805000
562,562,-19134.978515625,595.9813,55.14,55.43,371.5398,2810000
563,563,-19376.572265625,609.5396,56.08,55.99,411.1379,2815000
564,564,-19500.427734375,603.7119,54.78,54.78,404.3338,2820000
565,565,-19171.642578125,607.6182,56.33,56.09,398.1671,2825000
566,566,-18682.9375,607.3197,57.01,57.0,404.6274,2830000
567,567,-18659.107421875,597.2341,56.6,56.61,385.8695,2835000
568,568,-19006.728515625,601.2434,56.33,56.1,402.1954,2840000
569,569,-19516.34765625,639.1904,56.15,56.15,445.9908,2845000
570,570,-19512.49609375,601.2414,56.34,56.14,408.9115,2850000
571,571,-19556.16015625,628.5634,56.12,56.12,478.7699,2855000
572,572,-19513.91015625,638.1721,56.37,56.15,475.2545,2860000
573,573,-19444.884765625,616.6948,56.84,57.1,431.3845,2865000
574,574,-19426.47265625,615.8007,57.11,57.1,410.347,2870000
575,575,-19555.8515625,619.5587,56.15,55.9,471.8226,2875000
576,576,-19308.052734375,605.9226,57.04,57.03,421.405,2880000
577,577,-19528.720703125,622.0019,56.74,56.72,430.5207,2885000
578,578,-19704.138671875,611.9155,57.72,57.97,590.5084,2890000
579,579,-19772.1640625,668.3048,58.08,58.09,927.2758,2895000
580,580,-19676.9609375,643.0761,57.32,57.32,454.1763,2900000
581,581,-19552.798828125,667.1714,57.29,57.29,506.316,2905000
582,582,-19580.798828125,644.353,57.08,57.14,463.6328,2910000
583,583,-19108.39453125,626.0958,56.78,56.79,402.1252,2915000
584,584,-19532.267578125,663.0126,57.05,57.0,521.5829,2920000
585,585,-19563.80078125,662.4804,57.28,57.28,528.9985,2925000
586,586,-19182.4609375,658.0759,57.02,57.01,533.7719,2930000
587,587,-19700.119140625,672.2047,57.77,57.36,584.0353,2935000
588,588,-18936.611328125,599.1473,56.97,56.98,454.1176,2940000
589,589,-19208.263671875,657.7057,57.03,57.04,484.3503,2945000
590,590,-19121.837890625,620.5446,57.16,57.05,457.2859,2950000
591,591,-19085.341796875,601.639,56.48,56.42,381.5474,2955000
592,592,-19085.40234375,628.4977,58.32,58.09,466.6112,2960000
593,593,-19338.431640625,609.8793,58.16,57.69,391.0097,2965000
594,594,-19738.41796875,641.9595,57.71,58.37,718.8545,2970000
595,595,-19526.8359375,602.3891,57.79,57.81,456.5458,2975000
596,596,-19323.447265625,634.8418,58.3,58.39,488.2995,2980000
597,597,-19145.490234375,637.8026,58.6,58.64,409.7827,2985000
598,598,-19010.46875,604.3572,58.78,58.63,492.9136,2990000
599,599,-19586.677734375,649.6247,57.86,58.4,573.135,2995000
