Running Env Steps,Running Forward KL,Itration,Running Update Time,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL
1470000,156.6459,294,294,-10808.44140625,1969.0,2321.92,15.3008
1475000,156.4626,295,295,-10802.64453125,1931.42,2282.82,15.1938
1480000,156.5183,296,296,-10834.6875,1934.97,2294.48,15.2966
1485000,156.4593,297,297,-10878.2783203125,1969.89,2312.33,15.1628
1490000,156.7913,298,298,-10911.63671875,1966.64,2306.64,15.2712
1495000,156.6305,299,299,-10897.255859375,1957.28,2268.07,15.2449
1500000,156.7604,300,300,-10997.9052734375,1951.21,2331.65,15.416
1505000,156.596,301,301,-10971.7578125,1956.0,2307.82,15.1902
1510000,156.5289,302,302,-11008.9287109375,1955.59,2320.54,15.2458
1515000,156.5096,303,303,-11044.3115234375,1983.05,2324.73,15.2272
1520000,156.5047,304,304,-11064.8525390625,1960.27,2314.84,15.3497
1525000,156.4905,305,305,-11090.658203125,1944.95,2307.9,15.2977
1530000,156.5977,306,306,-11183.330078125,1960.56,2329.17,15.3881
1535000,156.6606,307,307,-11127.4892578125,1958.59,2317.02,15.3581
1540000,156.5117,308,308,-11161.822265625,1959.68,2322.02,15.2217
1545000,156.5895,309,309,-11208.927734375,1966.18,2324.71,15.2652
1550000,156.4338,310,310,-11239.5224609375,1959.14,2299.25,15.0386
1555000,156.5456,311,311,-11269.71484375,1909.38,2242.9,15.0335
1560000,156.7597,312,312,-11257.673828125,1966.62,2296.79,15.1839
1565000,156.5276,313,313,-11321.146484375,1937.94,2295.88,14.9589
1570000,156.543,314,314,-11347.7646484375,1975.88,2310.15,15.3609
1575000,156.5666,315,315,-11368.974609375,1947.32,2306.91,15.3397
1580000,156.542,316,316,-11414.115234375,1952.69,2310.13,15.181
1585000,156.4452,317,317,-11388.2919921875,1939.16,2252.54,15.2799
1590000,156.5858,318,318,-11439.8310546875,1935.72,2313.53,15.1055
1595000,156.5801,319,319,-11459.0830078125,1932.26,2290.46,15.1265
1600000,156.447,320,320,-11428.11328125,1918.82,2251.96,15.093
1605000,156.5902,321,321,-11540.7216796875,1930.36,2268.83,15.206
1610000,156.7164,322,322,-11506.4052734375,1946.97,2283.23,15.1625
1615000,156.6229,323,323,-11545.677734375,1943.96,2286.83,15.0823
1620000,156.6169,324,324,-11601.330078125,1920.9,2312.83,15.0659
1625000,156.3965,325,325,-11596.962890625,1966.94,2304.44,15.1694
1630000,156.4766,326,326,-11644.16015625,1947.89,2310.12,15.1858
1635000,156.3642,327,327,-11696.5126953125,1956.0,2316.72,15.2804
1640000,156.4918,328,328,-11712.9501953125,1946.08,2324.31,15.1119
1645000,156.6393,329,329,-11719.890625,1952.88,2322.08,15.2196
1650000,156.6012,330,330,-11705.146484375,1973.28,2293.25,15.0935
1655000,156.554,331,331,-11779.58984375,1941.44,2302.0,15.0117
1660000,156.6547,332,332,-11797.953125,1948.3,2334.21,15.1921
1665000,156.58,333,333,-11828.876953125,1968.41,2335.66,15.0988
1670000,156.6615,334,334,-11796.8056640625,1934.16,2312.24,14.9637
1675000,156.5079,335,335,-11808.798828125,1973.84,2311.43,14.9479
1680000,156.4397,336,336,-11827.779296875,1927.33,2167.64,15.151
1685000,156.5839,337,337,-11882.763671875,1938.65,2316.76,15.0907
1690000,156.4467,338,338,-11898.8837890625,1929.44,2269.93,14.9049
1695000,156.5618,339,339,-11961.6552734375,1967.33,2317.23,15.1832
1700000,156.6807,340,340,-11953.8095703125,1951.86,2305.09,15.1476
1705000,156.6269,341,341,-11970.705078125,1933.66,2279.38,15.0665
1710000,156.5216,342,342,-11968.62109375,1928.55,2280.7,15.2283
1715000,156.5857,343,343,-12038.1884765625,1950.86,2293.25,15.1247
