Running Reverse KL,Itration,Running Forward KL,Real Det Return,Real Sto Return
130.4069,173,310.1195,5311.52,5188.37
116.7548,174,295.5877,5172.56,5156.68
116.374,175,303.0098,5208.71,5135.6
119.1691,176,296.8805,5048.38,5215.24
118.8013,177,307.1542,4900.52,5159.08
111.7895,178,300.4266,5280.13,5142.01
115.8443,179,302.4404,5249.89,5027.27
145.1872,180,319.7841,5241.09,5157.85
132.422,181,311.8923,5245.31,4940.59
146.6038,182,311.4963,5256.8,5161.64
133.9036,183,309.3606,5012.19,4664.55
107.3138,184,286.9073,4999.24,5153.01
108.5372,185,289.0597,5231.9,5108.26
145.0654,186,313.987,5288.58,4445.75
132.2023,187,306.9961,5242.07,5126.61
116.4702,188,300.0108,5184.98,5089.99
143.1969,189,312.5854,5041.4,4227.89
158.454,190,319.7859,5250.12,3613.61
173.284,191,330.6523,3359.84,4105.72
179.4048,192,330.1206,1784.31,1345.97
196.0346,193,336.3788,2143.52,3175.05
198.1591,194,354.4589,459.3,1070.44
185.3518,195,336.7964,594.82,1019.58
181.0235,196,332.0356,2583.49,1553.71
160.0188,197,318.8902,1429.71,1237.35
229.0462,198,391.9354,802.46,706.54
308.2535,199,476.9958,238.31,283.21
254.5664,200,390.3816,1290.47,571.25
321.6009,201,444.6616,305.71,365.87
296.3452,202,428.0217,690.08,455.07
263.9423,203,384.8934,543.34,530.04
209.9506,204,376.363,775.9,1398.56
261.6882,205,413.643,662.57,579.69
256.5412,206,361.4411,932.08,922.87
259.6975,207,411.3004,879.13,845.01
255.3996,208,444.2524,435.85,435.5
283.5041,209,426.8258,351.48,440.86
328.1916,210,431.3372,296.64,309.76
266.8942,211,414.8216,857.67,823.78
269.3398,212,444.9341,464.93,403.43
293.2526,213,422.7178,340.99,682.34
307.7603,214,424.6921,432.05,962.41
268.7031,215,411.9508,627.55,775.31
243.1403,216,402.4054,866.56,620.52
258.4543,217,431.808,629.64,491.73
276.6445,218,445.3273,375.44,463.3
262.6779,219,415.8888,871.04,945.12
301.8349,220,429.104,562.88,605.9
312.5921,221,448.3599,402.56,415.6
289.7311,222,431.2636,314.55,392.17
274.4123,223,396.2808,551.58,898.96
380.9634,224,414.6967,624.48,616.98
357.8996,225,417.0001,487.97,429.0
365.7355,226,438.2617,320.95,424.3
393.564,227,433.2939,476.36,455.56
307.5122,228,438.7385,577.05,461.66
314.2699,229,484.8839,361.75,407.24
407.1413,230,446.6056,533.13,498.11
536.7683,231,492.3359,223.91,254.28
394.3089,232,488.74,214.39,258.53
468.5659,233,617.5906,116.51,118.26
373.5128,234,522.0267,198.27,192.42
578.541,235,621.3831,107.67,115.23
458.352,236,568.2079,150.64,152.3
576.6267,237,486.7654,274.61,264.42
341.6256,238,490.9874,332.13,292.37
411.6639,239,488.8063,362.41,351.96
451.0233,240,505.1045,369.95,258.35
356.1805,241,515.9312,223.08,231.0
389.4716,242,539.7824,195.64,207.49
340.9416,243,529.5265,237.38,226.35
315.7931,244,543.572,192.27,184.56
304.1623,245,552.9736,188.5,182.23
343.2018,246,546.4189,237.57,243.33
348.6353,247,515.7267,351.15,364.08
321.4961,248,518.2297,326.51,296.75
308.3973,249,573.8438,201.21,215.1
334.8513,250,555.016,207.09,224.98
325.516,251,558.8406,138.56,135.5
356.2435,252,531.8983,158.55,177.39
363.7364,253,552.1476,178.71,178.47
339.8046,254,573.8932,184.36,197.29
382.243,255,569.6756,178.94,174.67
354.0096,256,516.179,239.32,224.51
400.1855,257,488.8888,379.95,387.82
423.8425,258,492.6712,383.29,418.75
414.4359,259,505.4822,252.15,253.28
561.4908,260,568.2256,148.35,146.29
452.7439,261,507.1412,299.05,312.83
362.2876,262,517.7333,233.23,223.88
503.193,263,514.1531,312.73,277.72
433.1098,264,537.9964,244.82,240.01
440.2813,265,562.2807,198.39,173.14
618.2823,266,576.8054,169.21,162.25
476.8355,267,560.1658,170.46,155.58
464.8939,268,690.8005,139.31,138.84
497.2529,269,619.8019,177.68,165.56
380.9233,270,555.1859,213.17,216.67
392.8707,271,540.0495,259.21,255.97
459.4734,272,545.038,293.24,282.04
351.2279,273,536.4799,347.24,303.18
416.0586,274,539.6588,249.92,291.77
475.4485,275,581.6379,180.05,158.63
402.6661,276,533.598,203.37,254.41
592.4588,277,519.4879,206.59,208.2
411.2208,278,522.3777,308.84,262.11
500.382,279,498.3408,236.55,213.57
372.9541,280,524.2906,307.05,244.55
393.3902,281,539.2578,191.2,203.04
429.0692,282,519.6284,365.92,314.19
489.3615,283,542.9259,191.13,184.65
824.5358,284,563.3043,200.21,211.2
1001.7716,285,552.596,194.3,201.83
1008.2974,286,521.4789,372.59,347.99
977.269,287,552.6481,275.83,234.87
1097.8838,288,523.9343,304.03,375.92
1215.6117,289,518.0522,232.55,183.68
1159.3777,290,529.6774,208.55,205.12
996.3367,291,569.6985,104.1,114.71
1186.8243,292,521.5914,233.78,255.81
1317.9368,293,516.4844,209.21,192.76
1386.929,294,555.9768,167.15,151.61
1434.8368,295,647.9462,88.39,96.49
1411.0348,296,536.45,156.37,155.05
922.9325,297,534.5871,181.23,167.9
1488.603,298,628.3592,86.25,80.61
1245.4464,299,543.4606,243.86,157.96
869.7806,300,610.6766,152.45,158.66
729.5476,301,523.4624,186.04,185.51
1457.8325,302,600.9767,140.97,138.28
1148.1114,303,569.443,151.93,149.29
1352.0896,304,569.3246,153.42,173.66
524.8054,305,529.5746,219.86,222.27
1113.7222,306,543.2051,216.38,217.76
957.8484,307,546.6342,230.53,226.21
940.2963,308,567.0159,231.02,234.34
1022.7167,309,558.8205,220.67,217.67
1301.7353,310,561.0296,230.34,218.77
1512.5474,311,560.04,221.71,223.85
1242.7898,312,564.8966,221.1,218.02
322.3572,313,571.8304,174.64,176.57
1334.612,314,583.9885,191.96,202.11
444.8015,315,591.0549,120.37,145.44
312.3552,316,620.0072,213.87,207.2
353.6509,317,598.2202,212.76,196.67
478.584,318,626.5705,208.51,204.68
660.7879,319,626.6255,201.65,215.91
914.307,320,594.7008,194.83,197.63
693.5589,321,636.9389,151.96,155.08
402.1366,322,661.3308,104.75,95.34
479.5402,323,679.9959,121.54,114.22
355.7279,324,577.423,188.75,183.52
413.6934,325,637.0024,151.47,148.01
747.9933,326,578.284,185.18,183.01
303.9289,327,610.9243,121.5,129.05
1416.1717,328,597.1499,154.19,155.66
495.7166,329,624.5455,143.98,147.09
608.4848,330,688.0015,96.25,98.1
1289.2731,331,607.9732,145.11,160.04
764.829,332,682.2981,88.53,89.25
404.8501,333,623.4826,171.99,164.89
429.3756,334,603.4794,150.21,145.49
449.9224,335,574.75,218.74,214.33
507.5565,336,577.5027,229.6,224.6
303.3248,337,566.3593,202.89,207.92
446.7424,338,616.6274,202.46,206.17
783.8844,339,629.9329,219.29,217.97
826.4092,340,596.2231,188.67,194.59
1245.7086,341,632.7891,163.5,172.26
770.4549,342,623.4141,210.0,209.38
2973.4892,343,630.2393,173.09,174.67
1242.8562,344,638.3185,111.73,124.53
1352.1838,345,638.4788,170.97,185.62
1212.4963,346,650.5205,73.58,75.88
1500.5822,347,592.4987,197.9,148.64
1575.1465,348,662.657,102.29,106.46
1852.9863,349,645.0693,77.36,76.8
907.056,350,649.2858,87.04,84.19
