Running Reverse KL,Running Env Steps,Reward Loss,Itration,Real Sto Return,Running Forward KL,Running Update Time,Real Det Return
13.0659,780000,-399.2503356933594,156,3113.99,21.2219,156,3225.28
13.2005,785000,-393.5180358886719,157,2910.15,21.4338,157,3252.51
13.2308,790000,-413.9209899902344,158,3105.92,21.7136,158,3234.21
13.0706,795000,-421.4897155761719,159,3079.19,21.5964,159,3222.2
13.1695,800000,-421.56219482421875,160,3105.29,21.5519,160,3265.19
13.465,805000,-422.77886962890625,161,3157.74,21.318,161,3240.7
13.3589,810000,-446.0286560058594,162,3007.59,21.3546,162,3267.54
13.8547,815000,-431.0824279785156,163,3210.5,21.507,163,3213.57
12.2605,820000,-447.16656494140625,164,3170.93,21.477,164,3257.14
12.3178,825000,-471.0939025878906,165,2759.43,21.658,165,3218.46
12.474,830000,-447.21002197265625,166,3185.17,21.0512,166,3227.54
13.1411,835000,-461.1329650878906,167,3209.02,21.4709,167,3221.59
13.4121,840000,-453.3919677734375,168,2836.03,21.609,168,3229.93
13.097,845000,-456.04180908203125,169,3134.98,21.4809,169,3233.42
12.2183,850000,-443.5682373046875,170,3147.4,21.2657,170,3237.31
13.2823,855000,-435.9064636230469,171,2798.59,20.9831,171,3247.24
12.3439,860000,-460.7148132324219,172,2537.29,21.2458,172,3253.87
12.0933,865000,-452.8716735839844,173,3089.0,21.2262,173,3232.45
12.4765,870000,-450.1233215332031,174,2887.82,21.5243,174,3239.69
12.3871,875000,-468.6160888671875,175,3200.61,21.3002,175,3237.39
13.5355,880000,-494.6673889160156,176,3238.54,21.617,176,3249.01
12.906,885000,-498.7843322753906,177,3137.65,21.5241,177,3244.01
13.9644,890000,-514.251220703125,178,3079.79,21.9293,178,3262.64
12.9833,895000,-516.2006225585938,179,2888.1,21.8053,179,3246.98
13.2674,900000,-513.6582641601562,180,3092.59,21.4429,180,3245.83
12.6805,905000,-538.9652099609375,181,3223.1,21.4709,181,3226.11
12.9547,910000,-509.0777282714844,182,3173.05,21.4681,182,3256.53
13.4544,915000,-534.041748046875,183,3235.04,21.5098,183,3242.68
12.8895,920000,-545.7938232421875,184,2975.68,21.7497,184,3256.13
12.6892,925000,-482.5740966796875,185,2898.43,21.1002,185,3279.44
13.8431,930000,-556.8834838867188,186,3242.81,22.0769,186,3268.18
13.2956,935000,-549.10791015625,187,3174.63,21.7538,187,3256.9
12.6219,940000,-511.9315490722656,188,3066.9,21.2554,188,3257.2
13.1785,945000,-515.5614624023438,189,3175.95,21.5574,189,3251.24
13.7354,950000,-553.6486206054688,190,3162.92,21.6506,190,3265.33
12.7691,955000,-550.8858032226562,191,3146.95,21.7174,191,3270.18
13.169,960000,-599.5698852539062,192,3152.59,21.7046,192,3264.29
12.4387,965000,-568.1292114257812,193,3160.76,21.0498,193,3233.07
12.3372,970000,-559.2191772460938,194,3076.48,21.083,194,3255.9
13.3559,975000,-577.53271484375,195,3045.17,21.7192,195,3256.3
13.2572,980000,-547.6632080078125,196,3082.73,21.625,196,3255.44
13.6283,985000,-556.1849975585938,197,3217.13,21.4537,197,3276.42
11.7812,990000,-562.7018432617188,198,2875.62,21.1299,198,3252.44
12.9182,995000,-593.4806518554688,199,2936.05,21.7062,199,3268.83
