Running Env Steps,Itration,Running Reverse KL,Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Running Forward KL
935000,187,27.7745,1074.92,-13384.66015625,1077.15,187,35.7141
940000,188,139.8908,1041.22,-14100.76171875,1041.36,188,34.9877
945000,189,112.4967,1044.87,-14079.49609375,1045.07,189,34.8651
950000,190,48.3857,1057.6,-13983.2373046875,1056.95,190,34.5739
955000,191,29.5821,1058.24,-13423.810546875,1054.48,191,34.6073
960000,192,73.5683,1037.35,-14641.36328125,1037.54,192,34.9133
965000,193,34.8859,1039.46,-14470.1923828125,1039.66,193,35.3029
970000,194,77.8734,668.52,-13089.283203125,853.64,194,31.5425
975000,195,45.2265,1049.96,-14227.84375,1045.28,195,32.5893
980000,196,25.4005,1100.2,-13333.263671875,1090.89,196,33.8405
985000,197,42.6467,784.75,-12499.962890625,807.48,197,32.2774
990000,198,22.0884,1182.01,-11340.7216796875,1153.66,198,31.7079
995000,199,24.8609,1175.18,-12360.9990234375,1181.43,199,32.9579
