Running Update Time,Itration,Running Reverse KL,Running Forward KL,Running Env Steps,Real Sto Return,Real Det Return,Reward Loss
386,386,19.1445,152.6877,1930000,7144.13,7580.06,-11371.46875
387,387,19.3569,152.6762,1935000,7174.48,7698.23,-11252.4677734375
388,388,18.1068,152.4519,1940000,6778.02,7443.41,-11593.8623046875
389,389,18.6655,152.2474,1945000,6988.8,7561.29,-11665.0576171875
390,390,19.0411,152.6403,1950000,7205.46,7758.48,-11601.4423828125
391,391,19.0684,152.5381,1955000,7254.41,7757.08,-11612.478515625
392,392,19.1475,152.6684,1960000,7082.97,7656.18,-11537.19921875
393,393,18.2726,152.1499,1965000,7062.78,7691.28,-11400.779296875
394,394,18.5241,152.4117,1970000,6796.43,7211.84,-12374.08203125
395,395,19.0906,152.0395,1975000,7212.07,7625.04,-11760.279296875
396,396,19.5133,152.6941,1980000,7264.96,7788.65,-11711.06640625
397,397,19.3354,152.1786,1985000,7197.79,7645.1,-11647.8408203125
398,398,19.4389,152.3623,1990000,7321.66,7741.7,-11567.607421875
399,399,19.2254,152.8348,1995000,7218.75,7666.12,-11805.4853515625
400,400,18.9833,152.7997,2000000,7257.72,7746.46,-11753.4072265625
401,401,19.4549,152.6512,2005000,7312.9,7846.92,-11622.5615234375
402,402,19.1812,152.4827,2010000,6958.95,7432.12,-12183.6865234375
403,403,19.4511,153.4233,2015000,6859.78,7316.75,-11995.439453125
404,404,18.8765,152.2662,2020000,7266.36,7888.28,-11896.6708984375
405,405,17.8021,152.1337,2025000,6861.51,7286.86,-11956.03125
