Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Itration,Running Env Steps
3166.28,10.7134,121,3310.47,18.1955,-760.716552734375,121,605000
3443.63,8.7589,122,3130.96,16.9317,-515.5960083007812,122,610000
3416.23,9.9963,123,3247.91,16.9451,-543.8623657226562,123,615000
3523.03,10.7841,124,2464.86,19.9808,-1217.86474609375,124,620000
3286.29,11.7025,125,3109.75,18.0424,-1208.678466796875,125,625000
3199.81,12.2999,126,2686.89,18.4812,-1064.114501953125,126,630000
3274.44,13.6143,127,2783.18,18.9191,-1137.28857421875,127,635000
3214.61,11.0158,128,3308.86,18.3403,-662.7258911132812,128,640000
1466.88,11.072,129,2188.78,20.6309,-1604.9427490234375,129,645000
3350.77,11.0991,130,3212.94,18.2033,-674.6024780273438,130,650000
3489.82,10.5548,131,3119.42,18.1609,-685.6209716796875,131,655000
2644.72,18.0167,132,2567.27,18.1197,-1205.7353515625,132,660000
3405.88,9.843,133,2924.87,17.5883,-749.7306518554688,133,665000
3233.37,10.3641,134,2727.8,18.4574,-964.633544921875,134,670000
3301.25,10.3173,135,3086.96,18.1554,-953.4042358398438,135,675000
1417.7,10.6018,136,2319.52,19.6175,-1176.1434326171875,136,680000
3542.38,11.2502,137,2881.46,20.3096,-1252.9730224609375,137,685000
3462.98,11.6367,138,2761.21,20.2766,-1287.29150390625,138,690000
3429.31,10.8418,139,3284.08,17.8537,-1027.7457275390625,139,695000
3088.25,11.5808,140,3094.46,19.0218,-708.1627197265625,140,700000
3312.8,10.9832,141,3214.39,18.2164,-774.681396484375,141,705000
3448.9,11.1317,142,3445.79,18.0381,-920.6578979492188,142,710000
3477.36,12.7034,143,3384.0,19.0637,-784.6134033203125,143,715000
3500.72,11.2027,144,3413.31,17.8147,-846.9652099609375,144,720000
3556.17,13.1278,145,3056.03,19.7485,-1127.550048828125,145,725000
3501.43,11.6736,146,3352.89,18.8409,-995.5875244140625,146,730000
3520.44,11.1319,147,3358.12,17.7203,-886.2582397460938,147,735000
3506.71,11.2698,148,3446.15,18.2823,-935.963134765625,148,740000
3496.14,12.1827,149,3087.13,19.3968,-937.0682373046875,149,745000
3518.8,13.0015,150,3160.72,20.0907,-913.5068969726562,150,750000
3461.89,12.8259,151,3452.91,18.8926,-1003.0087890625,151,755000
3492.19,12.7036,152,3424.97,18.9171,-887.0764770507812,152,760000
3569.32,13.8269,153,2885.99,20.2769,-1483.939208984375,153,765000
3522.74,12.0955,154,3139.27,19.4093,-1099.1982421875,154,770000
2653.93,13.3302,155,2418.15,20.7509,-1560.438232421875,155,775000
3557.58,13.6534,156,2948.82,19.9034,-1620.220458984375,156,780000
3576.67,15.2452,157,2449.73,20.2233,-1336.0694580078125,157,785000
3477.52,10.6697,158,3221.76,18.2343,-1045.4603271484375,158,790000
3081.62,11.6125,159,2861.28,21.3982,-2174.855712890625,159,795000
3515.25,22.322,160,2566.06,19.0505,-1539.32373046875,160,800000
3519.62,12.2312,161,3370.4,19.0125,-1151.34423828125,161,805000
3187.23,19.5859,162,3078.8,18.7638,-1084.9940185546875,162,810000
3489.75,10.7668,163,3273.75,18.6199,-1232.4227294921875,163,815000
1864.08,13.8969,164,1935.11,21.1408,-2035.2021484375,164,820000
3516.31,10.6611,165,3237.62,17.1888,-892.8880004882812,165,825000
2516.24,15.2089,166,2471.3,19.8456,-1839.6085205078125,166,830000
3501.44,13.3551,167,3209.31,18.6066,-1292.7784423828125,167,835000
3387.38,11.4526,168,2821.4,17.7711,-1015.4976196289062,168,840000
