Running Update Time,Running Forward KL,Running Reverse KL,Itration,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss
397,156.7923,15.4538,397,1748.16,1985000,1741.27,-63036.43359375
398,156.8823,15.1701,398,1970.76,1990000,1711.37,-63156.21484375
399,156.6426,15.0467,399,1749.41,1995000,1470.86,-64408.2421875
400,156.9227,15.7721,400,2139.66,2000000,1789.26,-63669.94140625
401,157.4059,17.5105,401,1767.0,2005000,1636.16,-64850.87109375
402,157.3019,16.275,402,1416.93,2010000,1274.97,-64661.28125
403,156.7856,15.7553,403,2104.48,2015000,1795.67,-64046.23046875
404,156.8277,15.1266,404,1977.11,2020000,1740.65,-63185.87109375
405,157.3874,17.0034,405,1757.68,2025000,1608.52,-65313.08984375
406,156.8342,15.7927,406,2155.27,2030000,1829.08,-64329.8984375
407,157.0835,16.281,407,1726.49,2035000,1451.29,-64516.15234375
408,157.6121,16.8947,408,1821.7,2040000,1692.95,-64740.23046875
409,156.7114,15.4435,409,2102.0,2045000,1793.45,-64591.375
410,156.821,15.7304,410,2157.66,2050000,1853.77,-64606.66015625
411,156.8053,15.3721,411,1971.15,2055000,1741.35,-64490.41015625
412,156.8565,15.3136,412,1857.7,2060000,1737.75,-64180.66015625
413,156.679,15.1554,413,2105.35,2065000,1749.94,-64789.22265625
414,156.7693,15.3223,414,2126.02,2070000,1802.46,-64640.4296875
415,156.9463,15.5718,415,2144.92,2075000,1797.34,-65395.5546875
416,156.8257,15.4658,416,2119.48,2080000,1803.47,-65087.625
417,156.8723,15.1461,417,2071.29,2085000,1752.66,-65201.72265625
418,156.7089,15.4825,418,2103.13,2090000,1811.43,-65271.7265625
419,156.7869,15.0653,419,2087.94,2095000,1753.04,-64710.66015625
420,158.5966,15.0267,420,-265.3,2100000,83.38,-54269.54296875
421,156.9817,15.4564,421,2062.34,2105000,1794.08,-65462.97265625
422,156.8137,14.9796,422,1984.9,2110000,1748.21,-65717.203125
423,157.0248,15.2018,423,2035.18,2115000,1773.93,-65698.5546875
424,156.8868,15.0587,424,2007.05,2120000,1771.53,-66130.8046875
425,157.0795,15.0777,425,2035.4,2125000,1739.26,-65924.953125
426,156.7354,15.4101,426,2073.38,2130000,1785.75,-65965.3359375
427,156.9037,15.4982,427,2121.6,2135000,1795.44,-66262.5234375
428,156.8996,15.1906,428,2093.58,2140000,1778.21,-65941.265625
429,157.0177,15.3432,429,2058.0,2145000,1769.97,-66315.4765625
430,156.8753,15.2594,430,2092.83,2150000,1791.3,-66892.15625
431,157.0153,15.3837,431,2101.41,2155000,1783.95,-66605.8203125
432,156.998,15.2987,432,2097.49,2160000,1776.01,-66828.109375
433,156.96,15.6358,433,2121.66,2165000,1719.93,-67038.21875
434,156.9674,15.3747,434,1847.91,2170000,1684.4,-67458.6796875
435,156.891,15.3009,435,2142.96,2175000,1808.87,-67549.2109375
436,156.9527,15.505,436,2137.09,2180000,1808.62,-67632.4453125
437,156.8419,15.2693,437,2112.51,2185000,1794.88,-67686.5703125
438,156.8568,15.3521,438,2138.27,2190000,1811.76,-67567.7734375
439,157.0412,15.368,439,2109.07,2195000,1788.75,-67789.7890625
440,156.8214,15.4935,440,2152.03,2200000,1820.05,-68014.6875
441,156.8813,15.363,441,2112.06,2205000,1803.04,-68087.1796875
442,156.8236,15.3542,442,2116.8,2210000,1823.16,-68084.90625
443,156.9353,15.5241,443,2144.51,2215000,1830.0,-68294.3125
444,156.8882,15.6027,444,2153.79,2220000,1839.69,-68253.0390625
445,156.9514,15.4679,445,2138.92,2225000,1841.53,-68827.328125
446,156.8324,15.4851,446,2153.78,2230000,1853.55,-68787.5546875
447,156.9811,15.3899,447,2145.7,2235000,1839.91,-68870.3046875
448,157.0605,15.4488,448,2137.76,2240000,1843.77,-69042.7578125
449,156.8156,15.6004,449,2149.85,2245000,1855.3,-69285.96875
450,156.9082,15.5449,450,2155.37,2250000,1847.42,-69574.171875
451,156.9055,15.5613,451,2162.33,2255000,1853.84,-69289.59375
452,156.8831,15.5475,452,2142.28,2260000,1865.0,-69586.9140625
453,156.9636,15.5369,453,2152.52,2265000,1840.56,-69520.921875
454,157.1084,15.5563,454,2154.3,2270000,1843.68,-69604.03125
455,156.8284,15.551,455,2150.75,2275000,1838.48,-69737.609375
456,156.9348,15.6362,456,2154.52,2280000,1847.18,-70035.765625
457,156.872,15.5987,457,2150.6,2285000,1842.55,-69933.3984375
458,157.1595,15.6584,458,2162.15,2290000,1852.77,-70249.328125
459,156.9799,15.4629,459,2155.33,2295000,1845.51,-70401.625
460,156.8122,15.5442,460,2181.04,2300000,1860.49,-70367.7265625
461,156.8798,15.5766,461,2136.41,2305000,1852.27,-70502.640625
462,156.9691,15.5611,462,2151.72,2310000,1850.84,-70740.15625
463,156.9603,15.4625,463,2108.48,2315000,1839.47,-70918.984375
464,156.9272,15.3503,464,2141.72,2320000,1857.64,-70862.453125
465,156.9186,15.4267,465,2166.05,2325000,1848.38,-70896.5234375
466,157.0156,15.7048,466,2148.67,2330000,1854.56,-71172.515625
467,156.8977,15.7507,467,2162.98,2335000,1863.6,-71339.625
468,156.8502,15.6181,468,2183.3,2340000,1868.01,-71398.8046875
469,156.8722,15.7166,469,2167.93,2345000,1857.93,-71373.2109375
470,156.8749,15.6033,470,2145.03,2350000,1851.5,-71537.3828125
471,156.8648,15.4947,471,2148.79,2355000,1847.82,-71801.84375
472,156.7853,15.6122,472,2151.4,2360000,1848.0,-71821.15625
473,156.8594,15.6942,473,2152.95,2365000,1856.11,-71794.6953125
474,156.7872,15.565,474,2148.05,2370000,1848.87,-71854.59375
475,157.0668,15.5389,475,2148.25,2375000,1838.72,-71990.3828125
476,156.6246,15.6995,476,2164.77,2380000,1852.76,-72299.1796875
477,156.8967,15.5248,477,2114.6,2385000,1827.39,-72213.40625
478,156.8627,15.5703,478,2153.41,2390000,1867.79,-72376.3671875
479,156.9171,15.536,479,2166.09,2395000,1832.79,-72325.0625
480,156.8369,15.4218,480,2133.72,2400000,1832.94,-72615.25
481,157.0038,15.5639,481,2151.79,2405000,1840.16,-72401.9609375
482,156.8815,15.5513,482,2166.94,2410000,1849.51,-72759.8671875
483,156.784,15.6751,483,2173.62,2415000,1873.54,-72991.5625
484,156.8407,15.6867,484,2155.44,2420000,1863.03,-73016.1328125
485,157.0006,15.7243,485,2167.8,2425000,1857.3,-73333.0234375
486,157.0294,15.6546,486,2152.67,2430000,1843.1,-73131.375
487,156.8976,15.6942,487,2148.74,2435000,1826.34,-73649.8125
488,156.7531,15.5364,488,2140.03,2440000,1825.54,-73306.9296875
489,156.6772,15.6847,489,2185.43,2445000,1871.51,-73688.0546875
490,156.8655,15.5961,490,2148.67,2450000,1848.98,-73901.34375
491,156.7596,15.6859,491,2169.13,2455000,1872.18,-73513.6796875
492,156.9429,15.6394,492,2184.23,2460000,1872.82,-73484.8828125
493,156.8603,15.5031,493,2160.29,2465000,1851.24,-73600.8515625
494,156.72,15.6439,494,2176.4,2470000,1868.02,-73795.9140625
495,157.0532,15.7612,495,2154.25,2475000,1850.39,-73700.546875
496,156.8547,15.556,496,2184.7,2480000,1879.61,-73886.703125
497,156.7979,15.595,497,2167.7,2485000,1866.16,-73896.6484375
498,156.7669,15.6882,498,2159.48,2490000,1864.35,-74164.3046875
499,156.88,15.6144,499,2170.99,2495000,1867.41,-74096.078125
500,156.7041,15.8264,500,2185.93,2500000,1879.71,-74552.96875
501,156.7975,15.665,501,2177.66,2505000,1873.98,-74646.2109375
502,156.817,15.5967,502,2165.3,2510000,1861.02,-74863.984375
503,156.5953,15.4888,503,2159.2,2515000,1855.8,-75009.2890625
504,156.968,15.118,504,1887.94,2520000,1688.13,-73724.2109375
505,157.3819,16.8342,505,232.59,2525000,399.87,-75759.25
506,159.6006,17.6822,506,-85.33,2530000,92.75,-56542.93359375
507,158.0618,14.3471,507,503.09,2535000,354.79,-75666.8984375
508,158.822,14.0655,508,632.09,2540000,107.85,-59090.24609375
509,157.9254,11.5462,509,-280.65,2545000,-160.71,-51665.046875
510,156.9275,10.5104,510,524.34,2550000,464.48,-51286.6484375
511,157.645,18.6731,511,-372.72,2555000,-177.89,-72225.5390625
512,156.9319,13.1613,512,-218.34,2560000,607.71,-70350.8203125
513,157.395,15.7524,513,-111.7,2565000,731.66,-74703.21875
514,156.7777,14.8883,514,1880.34,2570000,1593.6,-75836.1171875
515,157.3725,15.1947,515,-171.7,2575000,669.35,-75015.0546875
516,157.5664,14.0698,516,748.42,2580000,718.85,-76258.671875
517,156.7221,12.9677,517,516.6,2585000,768.66,-76122.84375
518,157.0321,14.3773,518,374.73,2590000,1171.31,-83205.3984375
519,157.1607,16.6051,519,1232.24,2595000,1008.19,-77307.5703125
520,157.2609,13.6853,520,321.92,2600000,453.08,-70871.765625
521,156.5551,13.9448,521,1480.01,2605000,1250.76,-77343.2734375
522,157.5632,16.9984,522,1228.61,2610000,940.96,-78806.203125
523,157.8031,13.9507,523,825.59,2615000,785.76,-73230.859375
524,156.761,14.9895,524,1822.51,2620000,1407.18,-77168.9921875
525,157.9003,14.9849,525,962.25,2625000,747.91,-78270.2890625
526,156.8991,15.0854,526,1305.93,2630000,1042.65,-77158.8125
527,157.0003,15.2899,527,2032.69,2635000,1674.44,-76390.234375
528,156.9933,15.0271,528,1974.95,2640000,1686.55,-76059.8515625
529,156.8242,15.1214,529,2037.5,2645000,1703.67,-76221.546875
530,156.7804,14.9815,530,2052.01,2650000,1731.6,-76232.640625
531,156.817,15.1766,531,2071.91,2655000,1747.55,-75744.78125
532,156.9326,15.1462,532,1630.0,2660000,1515.01,-74673.0390625
533,157.4057,13.8955,533,720.74,2665000,1181.29,-74079.2734375
534,157.692,15.4697,534,1218.87,2670000,1044.13,-74166.453125
535,158.6032,19.0624,535,23.35,2675000,6.81,-62090.03515625
536,156.7011,12.8599,536,1068.4,2680000,726.58,-76559.0625
537,161.1924,22.1555,537,-188.87,2685000,-245.97,-61429.28125
538,157.5617,14.318,538,932.03,2690000,818.96,-68228.6171875
539,156.9865,14.2207,539,1663.65,2695000,1159.91,-78990.5703125
540,157.2075,14.5937,540,932.95,2700000,656.05,-79508.453125
541,156.8898,12.614,541,1564.42,2705000,712.89,-70785.703125
542,157.7653,14.0625,542,-132.38,2710000,186.64,-62872.984375
543,156.812,14.752,543,741.89,2715000,1139.73,-75381.0390625
544,156.7072,15.7023,544,1853.81,2720000,1496.28,-79490.6953125
545,156.7036,15.6168,545,1988.72,2725000,1653.33,-80041.8515625
546,156.8786,15.1552,546,2051.95,2730000,1656.53,-77443.7734375
547,157.1088,15.275,547,1980.24,2735000,1660.1,-77393.0546875
548,160.2222,16.8665,548,-63.26,2740000,28.11,-69721.0703125
549,157.041,15.1424,549,1996.32,2745000,1677.36,-77756.59375
550,157.1184,15.4748,550,2049.51,2750000,1731.72,-77959.9296875
551,156.9498,15.1352,551,1936.58,2755000,1678.05,-77573.234375
552,157.0135,15.3647,552,2079.92,2760000,1744.28,-78320.46875
553,156.9147,15.2999,553,2057.92,2765000,1745.22,-77727.625
554,157.0014,15.1458,554,2105.37,2770000,1766.77,-75351.21875
555,156.9889,14.9691,555,2029.77,2775000,1734.01,-77260.3046875
556,157.0919,15.2576,556,2116.07,2780000,1752.25,-77783.546875
557,156.8475,15.8648,557,2174.21,2785000,1816.48,-79159.5546875
558,157.0729,15.8148,558,2172.71,2790000,1820.52,-79274.4140625
559,156.9132,15.868,559,2150.35,2795000,1825.87,-79434.828125
560,156.9554,15.8038,560,2157.32,2800000,1819.24,-79124.1953125
561,156.9857,15.9265,561,2133.02,2805000,1813.55,-79287.78125
562,157.0506,15.7569,562,2131.5,2810000,1822.76,-79628.3125
563,157.0408,15.818,563,2158.28,2815000,1835.4,-79948.8046875
564,157.0557,15.8629,564,2173.87,2820000,1833.6,-79726.1015625
565,156.9285,15.5228,565,2146.41,2825000,1824.73,-79782.859375
566,156.8391,15.7041,566,2163.61,2830000,1845.85,-79784.375
567,156.8412,15.8229,567,2179.33,2835000,1851.86,-80046.0546875
568,157.1468,15.8329,568,2150.12,2840000,1829.9,-80102.6015625
569,157.0174,16.0286,569,2184.01,2845000,1871.47,-80408.8671875
570,156.8424,15.6377,570,2175.32,2850000,1854.57,-80456.4609375
571,156.9337,15.6553,571,2178.67,2855000,1847.18,-80258.140625
572,156.767,15.7512,572,2180.04,2860000,1865.34,-80523.25
573,157.0127,16.0286,573,2196.07,2865000,1885.65,-80674.125
574,156.9432,15.7677,574,2185.15,2870000,1871.44,-80552.375
575,156.8078,15.6887,575,2185.19,2875000,1865.54,-80771.6328125
576,156.8482,15.6595,576,2160.3,2880000,1849.29,-80553.734375
577,156.8874,15.6729,577,2180.58,2885000,1846.66,-80789.5625
578,156.9405,15.7247,578,2200.59,2890000,1864.11,-81031.734375
579,156.702,15.6204,579,2186.71,2895000,1864.61,-80783.6875
580,156.9118,15.6911,580,2172.7,2900000,1882.39,-81028.890625
581,156.7425,15.6296,581,2181.51,2905000,1865.26,-80977.1484375
582,156.6888,15.7876,582,2191.73,2910000,1884.43,-81235.5390625
583,156.6955,15.661,583,2173.81,2915000,1875.64,-81473.9140625
584,156.7027,15.5717,584,2182.45,2920000,1872.15,-81356.375
585,156.8205,15.7592,585,2180.95,2925000,1863.67,-81611.3046875
586,156.6634,15.5627,586,2168.02,2930000,1874.57,-81429.8984375
587,156.917,15.6806,587,2187.32,2935000,1880.35,-81891.203125
588,156.8057,15.7249,588,2183.84,2940000,1875.24,-81637.5546875
589,156.6623,15.7109,589,2187.22,2945000,1870.53,-81772.859375
590,156.7854,15.6645,590,2197.21,2950000,1878.28,-81752.046875
591,156.7142,15.8708,591,2173.51,2955000,1872.69,-82042.6640625
592,156.7545,15.8638,592,2195.49,2960000,1888.6,-81845.75
593,156.9041,15.8302,593,2208.47,2965000,1882.3,-82098.8984375
594,156.88,15.6827,594,2221.49,2970000,1872.38,-82258.6953125
595,156.7971,15.6133,595,2198.07,2975000,1863.78,-82018.25
596,156.82,15.65,596,2202.7,2980000,1877.96,-82333.4296875
597,156.8026,15.6315,597,2187.28,2985000,1867.07,-82567.5625
598,156.7913,15.6491,598,2193.21,2990000,1870.83,-82379.546875
599,156.7174,15.6788,599,2197.36,2995000,1861.85,-82438.3671875
