Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Itration,Reward Loss
18.8755,3927.97,3432.74,45.2924,161,805000,161,-1024.7725830078125
21.1178,2926.08,2987.17,45.3561,162,810000,162,-1120.8173828125
17.2077,3338.63,3672.32,44.9738,163,815000,163,-1008.5108032226562
17.1621,3248.94,3191.04,45.4131,164,820000,164,-1068.9739990234375
18.2744,3348.6,3544.48,45.5199,165,825000,165,-1146.8292236328125
17.2807,3166.41,3226.66,45.703,166,830000,166,-1131.3543701171875
17.8182,3359.36,3131.79,45.1168,167,835000,167,-1176.38916015625
17.5697,3160.67,3420.47,45.4132,168,840000,168,-1102.425048828125
17.9675,3436.11,3216.06,45.1258,169,845000,169,-1149.5654296875
18.6515,3558.48,3542.14,45.4558,170,850000,170,-1131.50341796875
17.4382,3017.99,2859.73,44.8255,171,855000,171,-1305.366455078125
18.4785,3522.99,2969.17,44.8503,172,860000,172,-1163.095458984375
17.7908,3418.0,3437.4,45.4164,173,865000,173,-1124.485595703125
18.882,3466.39,3575.97,44.8426,174,870000,174,-1157.2020263671875
20.8267,3619.92,3017.02,44.824,175,875000,175,-1373.7200927734375
17.492,3677.3,3354.97,44.8503,176,880000,176,-1203.4464111328125
18.5826,3328.74,3373.16,45.0767,177,885000,177,-1224.374267578125
18.6063,3507.48,3651.24,45.0942,178,890000,178,-1184.1522216796875
19.2951,3856.88,3570.26,45.0732,179,895000,179,-1311.4163818359375
16.8306,3496.05,3635.91,45.4951,180,900000,180,-1295.8348388671875
19.6149,3528.78,3472.85,44.9075,181,905000,181,-1229.8671875
17.9822,3672.0,3121.02,44.9326,182,910000,182,-1256.0145263671875
16.9103,3411.96,3637.32,45.401,183,915000,183,-1268.3756103515625
17.9354,3818.73,3437.46,44.8462,184,920000,184,-1271.8121337890625
17.7257,3604.02,3727.64,45.0018,185,925000,185,-1318.8028564453125
17.2428,3432.91,3453.07,44.9289,186,930000,186,-1302.5750732421875
18.1415,3455.0,3548.86,45.0625,187,935000,187,-1305.8316650390625
16.79,3391.85,2879.73,45.066,188,940000,188,-1336.2607421875
19.3142,3692.29,3115.18,45.314,189,945000,189,-1343.821044921875
17.3359,3396.19,3208.77,44.9871,190,950000,190,-1321.0079345703125
15.5124,3600.86,3102.1,44.994,191,955000,191,-1513.6395263671875
18.1073,3585.12,2640.46,44.7999,192,960000,192,-1321.3975830078125
17.66,3757.78,3521.94,45.0588,193,965000,193,-1363.4107666015625
18.5333,3548.41,3757.42,45.0476,194,970000,194,-1423.0928955078125
17.73,3539.88,3401.37,45.1768,195,975000,195,-1440.3216552734375
16.4596,3436.29,3461.34,45.1009,196,980000,196,-1450.6671142578125
16.7082,3473.94,3251.24,44.7758,197,985000,197,-1398.41650390625
17.6171,3759.13,3514.78,45.5663,198,990000,198,-1519.3143310546875
17.0842,3860.71,3020.0,45.4037,199,995000,199,-1453.2657470703125
17.0375,3943.45,2972.66,44.9278,200,1000000,200,-1433.67626953125
16.2888,2303.4,2532.62,45.2942,201,1005000,201,-1615.3330078125
16.3574,3553.33,2477.97,45.0491,202,1010000,202,-1671.0341796875
16.587,3327.61,2767.29,45.0224,203,1015000,203,-1552.7894287109375
165.778,-5.15,-4.49,58.1193,204,1020000,204,-2005.0606689453125
28.1441,3082.46,1659.46,47.2377,205,1025000,205,-1618.919677734375
39.5074,1912.65,1324.79,47.2178,206,1030000,206,-2078.828857421875
