Running Update Time,Real Det Return,Reward Loss,Real Sto Return,Running Env Steps,Running Forward KL,Itration,Running Reverse KL
384,4071.0,-4641.9345703125,3907.62,1920000,42.6448,384,14.8951
385,4037.35,-4538.96826171875,3970.27,1925000,42.47,385,14.6054
386,4058.09,-4664.97900390625,3949.78,1930000,42.2387,386,14.7104
387,4114.41,-4651.94091796875,4038.76,1935000,42.2879,387,15.1737
388,4088.88,-4702.32373046875,4028.15,1940000,42.5637,388,14.59
389,4118.44,-4773.43359375,4009.01,1945000,42.6449,389,14.6534
390,4132.37,-4753.78271484375,3979.9,1950000,42.5057,390,15.1476
391,4056.02,-4732.83447265625,3993.34,1955000,42.461,391,14.6891
392,4094.24,-4865.0712890625,3990.62,1960000,42.5914,392,14.9045
393,4089.89,-4981.6865234375,3936.71,1965000,42.5061,393,13.8129
394,4068.84,-4919.66748046875,3868.14,1970000,42.6194,394,14.7354
395,4138.12,-4847.97216796875,4006.14,1975000,42.361,395,15.1759
396,4156.87,-4842.41650390625,4034.59,1980000,42.3318,396,15.9936
397,4089.11,-4726.0947265625,3931.27,1985000,42.5447,397,14.995
398,4088.36,-4958.9267578125,4031.0,1990000,42.5138,398,15.372
399,4089.1,-4858.40185546875,3769.58,1995000,41.8918,399,14.6266
400,4111.13,-4871.380859375,4040.04,2000000,42.5434,400,15.8185
401,4112.08,-4773.412109375,3924.26,2005000,42.3463,401,14.9349
402,4139.77,-4970.4580078125,3908.49,2010000,42.2411,402,15.4489
403,4113.7,-4886.30029296875,4048.6,2015000,42.0435,403,14.9156
404,4101.83,-4937.97802734375,4044.65,2020000,42.2867,404,14.801
405,4092.31,-4901.46533203125,3845.38,2025000,42.736,405,16.513
406,4113.65,-4907.22265625,4064.79,2030000,42.1852,406,15.1243
407,4095.82,-4940.9912109375,4018.86,2035000,42.7972,407,14.994
408,4061.05,-4991.18310546875,3889.92,2040000,42.0382,408,15.1082
409,4082.33,-5005.1689453125,4028.11,2045000,42.3792,409,14.9277
410,4097.98,-4956.6943359375,3844.36,2050000,42.3573,410,14.9223
411,4058.35,-5092.54736328125,3847.52,2055000,42.4033,411,15.6855
412,4109.17,-5112.57373046875,4021.68,2060000,42.3575,412,15.1365
413,4076.09,-5042.87353515625,4000.68,2065000,42.0387,413,15.0014
414,4074.3,-5092.00048828125,4018.52,2070000,42.452,414,14.7939
415,4100.88,-5134.91796875,4041.15,2075000,42.2317,415,14.9488
416,4096.07,-5138.693359375,4032.57,2080000,42.4358,416,14.7923
417,4102.29,-5080.93408203125,3854.82,2085000,42.2406,417,14.6813
418,4090.16,-5016.36376953125,4042.84,2090000,41.8628,418,14.8989
419,4125.44,-5127.07568359375,3846.45,2095000,41.8144,419,14.7496
420,4098.06,-5275.6611328125,4016.31,2100000,42.6024,420,18.075
421,4116.95,-5203.75244140625,4060.95,2105000,42.0223,421,14.5079
422,4118.68,-5286.11474609375,3727.69,2110000,41.7485,422,15.5922
423,4053.91,-5188.25830078125,4045.36,2115000,42.2913,423,14.7118
424,4123.41,-5273.31787109375,4042.31,2120000,41.8346,424,15.1809
425,4118.38,-5259.9482421875,4020.74,2125000,41.9183,425,14.6563
426,4097.78,-5386.55078125,4072.09,2130000,42.2306,426,14.5285
