Running Reverse KL,Running Update Time,Itration,Real Det Return,Real Sto Return,Running Forward KL,Running Env Steps,Reward Loss
9.8619,149,149,3432.59,3410.09,15.9242,745000,-86.89004516601562
9.2073,150,150,3409.7,3304.89,15.5768,750000,-92.02265930175781
9.7447,151,151,3331.84,3030.23,16.9151,755000,-104.54885864257812
11.5801,152,152,3364.93,3410.55,16.7939,760000,-122.43756866455078
11.1822,153,153,3318.74,3358.27,17.8375,765000,-146.44187927246094
9.2992,154,154,3436.47,3393.93,15.9334,770000,-69.1719970703125
9.7321,155,155,3434.2,3229.93,17.1277,775000,-123.4637680053711
12.7919,156,156,3490.19,1096.78,18.762,780000,-39.498924255371094
9.896,157,157,3502.23,3402.93,17.7515,785000,-121.75880432128906
11.8399,158,158,3329.56,3335.11,18.182,790000,-125.52947998046875
9.6081,159,159,3435.62,3400.44,16.3723,795000,-113.10086822509766
11.5821,160,160,3466.63,3444.68,16.8676,800000,-93.5786361694336
9.3922,161,161,3445.74,3102.93,15.8421,805000,-94.93011474609375
10.3608,162,162,3351.95,3347.78,16.9966,810000,-114.82231140136719
9.5564,163,163,3348.14,3252.05,16.5267,815000,-97.764404296875
10.0543,164,164,3347.34,3280.49,16.7579,820000,-100.68846130371094
9.8902,165,165,3308.45,3025.32,16.5008,825000,-132.30978393554688
16.2989,166,166,3386.82,3023.52,16.9062,830000,-190.02908325195312
11.5648,167,167,3357.14,2426.4,17.8833,835000,-198.03208923339844
13.089,168,168,3457.53,3431.99,18.3826,840000,-28.788000106811523
11.6028,169,169,3417.79,3407.39,17.2375,845000,-54.98638916015625
11.0717,170,170,3350.59,3313.06,18.8017,850000,-106.07475280761719
9.8563,171,171,3423.39,3216.39,16.8069,855000,-84.36360931396484
10.169,172,172,3339.01,2999.59,18.2273,860000,-135.4844970703125
10.6931,173,173,3372.73,3179.56,16.5317,865000,-127.02790069580078
9.7828,174,174,3429.57,3166.46,16.5672,870000,-141.9805908203125
9.4289,175,175,3366.46,3215.35,17.2496,875000,-128.76760864257812
10.4807,176,176,1501.06,1181.69,17.0139,880000,-110.78157806396484
10.1238,177,177,3448.36,3415.35,16.7603,885000,-138.96902465820312
10.6468,178,178,3379.41,3187.66,17.1724,890000,-127.04327392578125
9.0256,179,179,3362.05,3341.28,15.82,895000,-103.80330657958984
11.0533,180,180,3355.4,3358.27,17.1088,900000,-111.92965698242188
11.1578,181,181,3406.33,3401.44,17.4625,905000,-160.55154418945312
10.7354,182,182,3272.13,3269.55,18.1715,910000,-166.98834228515625
10.3609,183,183,3260.18,3273.57,18.7223,915000,-165.1231231689453
10.0533,184,184,3365.41,3327.06,17.6428,920000,-117.02066802978516
11.6142,185,185,3352.29,3334.94,18.3113,925000,-128.7558135986328
9.0202,186,186,3319.22,3300.76,15.5844,930000,-111.15318298339844
10.5756,187,187,3390.05,2123.35,16.7523,935000,-130.29351806640625
12.894,188,188,3444.51,3424.34,17.8176,940000,-180.36952209472656
12.148,189,189,3363.24,3355.77,17.5269,945000,-180.5425567626953
10.6014,190,190,3411.95,3389.89,16.3175,950000,-145.20249938964844
10.4732,191,191,3380.61,3358.02,16.5522,955000,-168.09811401367188
9.3211,192,192,3416.93,3430.25,16.0735,960000,-124.07350158691406
11.363,193,193,3381.51,3371.54,18.1384,965000,-161.44772338867188
10.4751,194,194,3201.56,3226.69,18.3926,970000,-166.8419189453125
9.9892,195,195,3297.92,3307.92,16.9102,975000,-163.6437225341797
9.4653,196,196,3358.37,3347.19,16.2174,980000,-139.4823760986328
10.6767,197,197,3421.21,3417.42,16.1698,985000,-151.7730712890625
10.5429,198,198,3361.41,3356.99,16.5348,990000,-124.05371856689453
9.1187,199,199,3401.25,3338.22,15.5224,995000,-153.46417236328125
