Itration,Real Sto Return,Real Det Return,Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps
146,218.24,219.25,32.9833,146,-7377.83837890625,60.0254,730000
147,222.82,223.28,31.6465,147,-2785.0595703125,18.0615,735000
148,302.08,214.25,28.4529,148,-1932.4259033203125,15.1342,740000
149,724.44,676.53,27.3354,149,-2049.36328125,14.0948,745000
150,985.04,984.42,40.2101,150,-8021.85498046875,55.246,750000
151,996.34,996.99,39.3586,151,-7955.19287109375,35.727,755000
152,992.35,991.77,39.2764,152,-7886.98583984375,37.9968,760000
153,993.33,992.8,36.787,153,-7055.78759765625,24.3247,765000
154,998.91,998.26,37.7665,154,-7893.76904296875,45.2955,770000
155,1003.67,1003.8,38.399,155,-8043.29052734375,34.824,775000
156,466.9,551.64,32.2971,156,-7182.7763671875,49.941,780000
157,587.47,620.16,34.2435,157,-7665.564453125,43.6542,785000
158,990.94,990.16,36.5496,158,-7103.37109375,25.0063,790000
159,129.79,33.0,29.077,159,-7438.92431640625,71.579,795000
160,500.48,507.06,28.1824,160,-5394.89013671875,79.7401,800000
161,601.19,623.45,27.6981,161,-7931.54150390625,49.6627,805000
162,1028.95,1028.88,38.3742,162,-8567.67578125,28.5422,810000
163,1007.96,1007.96,38.1627,163,-8537.5791015625,40.7142,815000
164,1009.8,1010.86,39.3821,164,-8732.5146484375,38.3732,820000
165,1014.47,1014.85,39.5455,165,-8736.5068359375,40.5009,825000
166,992.86,989.03,38.3551,166,-8751.9189453125,36.9086,830000
167,998.07,1018.12,36.5314,167,-8719.349609375,31.86,835000
168,1020.04,1022.79,39.3932,168,-8918.1650390625,33.7692,840000
169,1045.3,1043.42,39.2254,169,-9005.9013671875,27.6815,845000
170,1011.51,1010.0,36.691,170,-8094.6396484375,22.075,850000
171,993.08,993.64,36.2377,171,-8528.3779296875,25.2848,855000
172,1013.41,1015.61,37.0105,172,-8909.7998046875,27.116,860000
173,1013.16,1013.78,38.9738,173,-9435.048828125,35.4863,865000
