Real Det Return,Itration,Running Env Steps,Reward Loss,Real Sto Return,Running Reverse KL,Running Forward KL,Running Update Time
2271.06,207,1035000,-41427.3359375,1917.3,15.4413,156.6764,207
2299.99,208,1040000,-41545.14453125,1937.76,15.3615,156.5702,208
2315.75,209,1045000,-41579.84765625,1942.51,15.4489,156.6435,209
2284.34,210,1050000,-41707.30078125,1942.42,15.3539,156.7438,210
2281.69,211,1055000,-41865.48828125,1940.12,15.5271,156.6756,211
2292.94,212,1060000,-41980.23828125,1934.13,15.4253,156.5695,212
2277.8,213,1065000,-42271.57421875,1958.82,15.3749,156.5237,213
2292.96,214,1070000,-42219.5078125,1953.87,15.333,156.7238,214
2284.73,215,1075000,-42359.4921875,1932.53,15.2252,156.6709,215
2286.16,216,1080000,-42767.7734375,1932.14,15.4066,156.6484,216
2297.61,217,1085000,-42637.80859375,1951.77,15.2434,156.5371,217
2292.93,218,1090000,-42822.11328125,1940.33,15.231,156.5913,218
2283.55,219,1095000,-42995.09765625,1943.53,15.1836,156.5576,219
2290.86,220,1100000,-43168.70703125,1919.94,15.0971,156.5904,220
2291.63,221,1105000,-43432.703125,1928.48,15.2074,156.5784,221
2268.5,222,1110000,-43339.54296875,1930.86,15.0892,156.6547,222
2287.62,223,1115000,-43737.62109375,1933.53,15.3333,156.787,223
2292.21,224,1120000,-43701.35546875,1932.8,15.2474,156.5683,224
2286.03,225,1125000,-43790.37109375,1935.64,15.1747,156.6739,225
2308.35,226,1130000,-43904.95703125,1932.72,15.1884,156.675,226
2307.33,227,1135000,-44092.1015625,1950.95,15.3771,156.5848,227
2308.79,228,1140000,-44167.31640625,1954.93,15.3298,156.4918,228
2310.73,229,1145000,-44550.05078125,1939.69,15.4462,156.4989,229
2283.92,230,1150000,-44617.44921875,1918.72,15.1891,156.6337,230
2313.39,231,1155000,-44507.1640625,1940.44,15.4454,156.6072,231
2261.26,232,1160000,-44700.984375,1937.97,15.1839,156.6216,232
2300.69,233,1165000,-44897.7109375,1947.06,15.2869,156.801,233
2286.1,234,1170000,-44908.453125,1938.66,15.3115,156.7563,234
2308.98,235,1175000,-45172.73046875,1947.66,15.4295,156.561,235
2295.88,236,1180000,-45242.83984375,1953.54,15.4544,156.6806,236
2289.82,237,1185000,-45147.97265625,1938.33,15.2371,156.518,237
2280.99,238,1190000,-45438.953125,1918.48,15.1317,156.6693,238
2277.9,239,1195000,-45439.9296875,1927.57,15.3532,156.6684,239
2303.47,240,1200000,-45681.78515625,1937.68,15.4331,156.6386,240
2293.89,241,1205000,-45772.328125,1933.58,15.3883,156.682,241
2296.56,242,1210000,-46120.1953125,1933.69,15.3604,156.8182,242
2284.51,243,1215000,-45971.17578125,1909.36,15.3229,156.6298,243
2277.92,244,1220000,-46113.60546875,1925.69,15.3479,156.6049,244
2311.32,245,1225000,-46309.0390625,1957.9,15.4489,156.6271,245
2308.85,246,1230000,-46517.3046875,1949.31,15.4965,156.6691,246
2279.72,247,1235000,-46589.4375,1931.82,15.364,156.4739,247
2282.76,248,1240000,-46731.91015625,1933.16,15.3191,156.6417,248
2311.13,249,1245000,-46796.421875,1964.47,15.3607,156.6173,249
2271.15,250,1250000,-46832.80078125,1920.37,15.1984,156.6783,250
2276.52,251,1255000,-47117.234375,1940.61,15.5054,156.6929,251
2303.06,252,1260000,-47275.3671875,1937.98,15.5535,156.6168,252
2277.43,253,1265000,-47386.296875,1936.29,15.3914,156.6645,253
2288.44,254,1270000,-47484.85546875,1946.06,15.3313,156.7893,254
2301.18,255,1275000,-47596.90234375,1946.75,15.3848,156.6054,255
2274.93,256,1280000,-47849.33203125,1929.75,15.5014,156.6661,256
2294.28,257,1285000,-47846.484375,1932.96,15.421,156.8123,257
2300.99,258,1290000,-47993.33984375,1941.8,15.3215,156.7592,258
2307.97,259,1295000,-47928.09765625,1958.22,15.5024,156.6895,259
2309.42,260,1300000,-48271.640625,1955.65,15.6524,156.6807,260
2291.79,261,1305000,-48266.4453125,1963.81,15.498,156.7105,261
2291.91,262,1310000,-48510.9296875,1949.71,15.3711,156.7378,262
2303.19,263,1315000,-48561.6640625,1955.46,15.4161,156.5563,263
2308.09,264,1320000,-48705.203125,1935.87,15.3064,156.6797,264
2314.08,265,1325000,-48821.02734375,1959.95,15.2838,156.5663,265
2303.19,266,1330000,-48750.40625,1950.35,15.3771,156.6286,266
2299.44,267,1335000,-48843.89453125,1970.6,15.3941,156.7588,267
2318.14,268,1340000,-49022.00390625,1944.46,15.4643,156.6362,268
2312.24,269,1345000,-49053.56640625,1951.05,15.3749,156.5979,269
2313.35,270,1350000,-49502.9453125,1943.83,15.3902,156.7639,270
2332.15,271,1355000,-49613.6875,1964.74,15.5071,156.6782,271
2337.09,272,1360000,-49640.3046875,1984.6,15.6453,156.6604,272
2314.79,273,1365000,-49790.90234375,1975.13,15.4883,156.5501,273
2333.47,274,1370000,-50000.22265625,1977.15,15.5069,156.6038,274
2337.8,275,1375000,-49957.625,1960.68,15.444,156.5469,275
2317.67,276,1380000,-50262.390625,1985.87,15.7157,156.5708,276
2335.78,277,1385000,-50227.53125,1969.99,15.682,156.5916,277
2332.73,278,1390000,-50146.90625,1962.41,15.6795,156.8575,278
2306.19,279,1395000,-50432.9140625,1978.14,15.6116,156.4642,279
2344.99,280,1400000,-50692.5234375,1982.92,15.646,156.6777,280
2322.29,281,1405000,-50977.2578125,1963.96,15.6413,156.6795,281
2327.39,282,1410000,-50917.59375,1965.73,15.5764,156.675,282
2333.18,283,1415000,-51081.171875,1968.32,15.4108,156.6463,283
2313.32,284,1420000,-51192.40625,1945.71,15.3438,156.6357,284
2335.54,285,1425000,-51357.6640625,1962.59,15.5258,156.6451,285
2324.28,286,1430000,-51627.4140625,1955.58,15.569,156.7349,286
2320.84,287,1435000,-51559.50390625,1963.42,15.3693,156.433,287
