Running Update Time,Reward Loss,Real Sto Return,Itration,Real Det Return,Running Forward KL,Running Reverse KL,Running Env Steps
388,-13789.080078125,1810.88,388,2226.1,156.6057,14.787,1940000
389,-13789.1005859375,1809.25,389,2160.51,156.721,14.6909,1945000
390,-13740.2060546875,1768.59,390,2131.91,156.8166,14.8779,1950000
391,-13854.064453125,1338.14,391,1509.8,157.2551,15.0602,1955000
392,-13638.2099609375,1121.15,392,1470.92,157.1002,14.6237,1960000
393,-14023.9443359375,1232.26,393,1514.84,156.9167,14.2692,1965000
394,-14093.2548828125,1757.88,394,2100.76,156.732,14.9693,1970000
395,-13977.5546875,1587.56,395,1833.63,156.8384,14.7867,1975000
396,-13836.771484375,1405.69,396,1695.7,157.0175,15.0869,1980000
397,-13510.369140625,1184.18,397,1418.96,157.0382,14.6545,1985000
398,-14189.5126953125,1767.69,398,2127.14,156.7768,14.9569,1990000
399,-14088.9013671875,1823.13,399,2191.74,156.6831,15.2294,1995000
400,-13805.916015625,1410.11,400,2080.15,156.7992,15.1179,2000000
401,-14111.2568359375,1806.0,401,2192.1,156.5498,15.1082,2005000
402,-14177.798828125,1880.85,402,2241.6,156.8824,15.4209,2010000
403,-14057.6806640625,1834.16,403,2181.04,156.9144,15.0162,2015000
