Real Sto Return,Running Env Steps,Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Itration
3227.03,875000,3549.25,175,19.777,-3046.8212890625,22.3952,175
3403.76,880000,3495.32,176,18.1225,-1171.81103515625,10.2949,176
3137.92,885000,3532.1,177,18.4765,-2317.48828125,13.4922,177
3504.83,890000,3527.38,178,17.5616,-1154.8790283203125,10.5643,178
3530.62,895000,3551.43,179,17.8236,-1169.22216796875,11.3436,179
3266.79,900000,3540.3,180,18.8298,-1959.708740234375,15.607,180
3228.59,905000,3468.95,181,18.8197,-1613.2685546875,11.9167,181
3465.2,910000,3489.52,182,17.4844,-1189.6087646484375,10.3304,182
3281.97,915000,3541.05,183,18.5401,-1190.4342041015625,11.3513,183
3479.99,920000,3489.69,184,17.3128,-1080.293212890625,10.1127,184
3310.7,925000,3503.83,185,17.1351,-1367.8914794921875,10.2703,185
3487.86,930000,3503.34,186,17.3312,-1361.4273681640625,10.9348,186
3505.49,935000,3505.55,187,17.0972,-1223.9605712890625,10.1335,187
3203.61,940000,3506.02,188,17.0553,-1205.4844970703125,10.0437,188
3409.14,945000,3478.88,189,17.6862,-1363.31494140625,10.0208,189
3185.49,950000,3497.6,190,17.7426,-1338.35888671875,10.2592,190
3525.05,955000,3537.3,191,17.7382,-1403.7791748046875,10.444,191
2905.78,960000,3530.53,192,18.7066,-2783.850341796875,15.4383,192
3297.67,965000,3448.61,193,17.4864,-1345.18994140625,10.0862,193
3059.35,970000,3535.16,194,19.4272,-2454.68505859375,13.3092,194
3478.27,975000,3503.2,195,18.2521,-1423.7567138671875,11.1198,195
3369.39,980000,3499.89,196,18.1336,-1333.6370849609375,10.2962,196
3350.77,985000,3489.39,197,18.7251,-1908.3360595703125,12.2946,197
3471.5,990000,3450.07,198,17.6559,-1295.9847412109375,10.3086,198
3347.43,995000,3480.06,199,18.7413,-1414.2552490234375,10.5992,199
