Itration,Reward Loss,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL
386,-14439.8994140625,386,1930000,1956.18,156.6311,2369.47,15.1493
387,-14402.140625,387,1935000,1953.54,156.593,2370.65,15.0859
388,-14398.8017578125,388,1940000,1965.61,156.6329,2363.38,15.094
389,-14432.435546875,389,1945000,1973.45,156.6714,2362.07,15.0928
390,-14536.478515625,390,1950000,1979.5,156.571,2374.79,15.2442
391,-14504.2998046875,391,1955000,1942.65,156.6029,2360.94,15.1142
392,-14536.5546875,392,1960000,1971.9,156.5511,2372.11,15.2291
393,-14513.8798828125,393,1965000,1957.97,156.5507,2365.62,15.1571
394,-14537.583984375,394,1970000,1947.32,156.5022,2341.13,14.9797
395,-14561.189453125,395,1975000,1974.67,156.5056,2371.8,15.1865
396,-14566.7568359375,396,1980000,1966.32,156.6027,2351.52,15.2338
397,-14589.9521484375,397,1985000,1944.15,156.6197,2352.12,15.0885
398,-14601.3583984375,398,1990000,1960.65,156.6881,2362.3,15.0146
399,-14610.3798828125,399,1995000,1963.76,156.5237,2356.48,15.0214
400,-14595.416015625,400,2000000,1946.99,156.4104,2345.6,14.9375
401,-14647.8193359375,401,2005000,1955.14,156.5032,2361.42,15.1056
402,-14702.8037109375,402,2010000,1943.52,156.5195,2350.51,15.0379
403,-14679.9814453125,403,2015000,1962.38,156.5873,2358.15,14.8585
404,-14687.26171875,404,2020000,1944.38,156.4176,2329.7,15.1289
405,-14737.302734375,405,2025000,1998.3,156.5767,2353.13,15.1351
