Running Reverse KL,Running Update Time,Running Env Steps,Reward Loss,Running Forward KL,Real Sto Return,Real Det Return,Itration
15.3369,351,1755000,-59750.66015625,156.7565,1938.9,2277.66,351
15.3464,352,1760000,-59847.39453125,156.908,1939.56,2265.58,352
15.3646,353,1765000,-59996.3359375,156.5952,1953.29,2283.46,353
15.3432,354,1770000,-60144.9609375,156.6878,1935.49,2287.69,354
15.3195,355,1775000,-60229.6328125,156.5395,1935.52,2296.49,355
15.3405,356,1780000,-60364.53125,156.7506,1951.51,2309.64,356
15.402,357,1785000,-60586.24609375,156.556,1942.13,2287.22,357
15.3684,358,1790000,-60795.375,156.6275,1951.07,2307.9,358
15.2949,359,1795000,-60876.48046875,156.5941,1936.02,2273.76,359
15.2163,360,1800000,-61026.6875,156.7074,1914.77,2293.96,360
15.1484,361,1805000,-61192.046875,156.6715,1961.07,2328.79,361
15.2873,362,1810000,-61065.00390625,156.663,1927.88,2289.79,362
15.1989,363,1815000,-61157.15625,156.6844,1949.42,2300.37,363
15.2134,364,1820000,-61649.73828125,156.6892,1958.86,2298.77,364
15.2206,365,1825000,-61608.34375,156.7536,1949.03,2298.24,365
15.2569,366,1830000,-61684.609375,156.6469,1965.78,2328.78,366
15.1444,367,1835000,-61599.19140625,156.7854,1947.16,2277.6,367
15.0168,368,1840000,-61759.9453125,156.6771,1946.39,2264.91,368
15.3028,369,1845000,-61897.515625,156.6784,1962.11,2288.3,369
15.2066,370,1850000,-62510.3828125,156.6899,1941.68,2292.4,370
15.0705,371,1855000,-62414.46484375,156.7474,1921.76,2299.35,371
15.2718,372,1860000,-62631.125,156.6891,1939.91,2260.65,372
15.315,373,1865000,-62580.4765625,156.6067,1946.23,2281.36,373
15.2351,374,1870000,-62919.77734375,156.6425,1957.88,2315.02,374
15.1647,375,1875000,-62791.87109375,156.5792,1965.58,2286.38,375
15.1131,376,1880000,-63180.51171875,156.7025,1952.78,2294.56,376
15.1193,377,1885000,-63091.1015625,156.6085,1962.48,2294.78,377
15.1376,378,1890000,-63405.1953125,156.5383,1951.5,2308.26,378
15.0365,379,1895000,-63358.69921875,156.6634,1956.21,2294.27,379
15.3388,380,1900000,-63517.796875,156.6573,1965.51,2298.86,380
15.1522,381,1905000,-63648.33203125,156.6298,1948.11,2292.58,381
15.2616,382,1910000,-63865.921875,156.6733,1964.23,2301.4,382
15.2048,383,1915000,-63976.3203125,156.5584,1952.83,2300.65,383
15.0685,384,1920000,-64085.42578125,156.5482,1961.72,2286.67,384
15.2152,385,1925000,-64318.4453125,156.6438,1953.98,2283.22,385
15.1395,386,1930000,-64435.40625,156.5917,1971.27,2300.72,386
15.2467,387,1935000,-64717.6953125,156.5139,1966.74,2297.28,387
15.1435,388,1940000,-64827.0234375,156.4081,1973.92,2288.26,388
15.3321,389,1945000,-64741.07421875,156.6165,1981.21,2271.4,389
15.2626,390,1950000,-64878.51953125,156.5417,1976.64,2277.06,390
