Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return,Itration,Running Update Time,Running Forward KL,Reward Loss
20.7524,4723.09,990000,4552.89,198,198,43.4539,-1051.3602294921875
21.2136,4674.65,995000,4343.62,199,199,44.9614,-1079.7191162109375
21.0944,4689.07,1000000,4358.57,200,200,44.5711,-1083.14208984375
20.983,4890.2,1005000,4701.35,201,201,44.2948,-1081.6470947265625
21.8247,4855.1,1010000,4541.53,202,202,44.3601,-1089.6710205078125
26.4394,343.71,1015000,309.73,203,203,51.1222,-1147.5107421875
45.7994,511.85,1020000,492.15,204,204,49.6117,-833.8522338867188
62.7657,47.19,1025000,845.71,205,205,50.8473,-1144.243896484375
39.2691,4359.24,1030000,1998.87,206,206,47.4252,-1140.81005859375
22.6142,4357.4,1035000,3171.2,207,207,46.4702,-1175.119873046875
27.1061,4413.8,1040000,3750.04,208,208,45.7587,-1184.443603515625
22.4322,4601.8,1045000,4329.25,209,209,45.1826,-1159.6976318359375
21.6216,4765.27,1050000,4183.87,210,210,43.4989,-1164.1187744140625
21.2773,4901.67,1055000,4688.44,211,211,44.9505,-1203.5517578125
20.4512,4795.45,1060000,4574.58,212,212,43.5931,-1175.821044921875
20.7365,4892.18,1065000,4653.99,213,213,43.3508,-1213.5059814453125
22.4011,4803.74,1070000,4641.0,214,214,44.8595,-1246.0478515625
20.799,4822.71,1075000,4598.25,215,215,43.5568,-1224.8701171875
19.4864,4873.11,1080000,4173.87,216,216,44.4748,-1243.6510009765625
19.6255,4788.67,1085000,4155.61,217,217,43.1088,-1250.48486328125
20.016,4866.06,1090000,4366.87,218,218,42.8454,-1255.640380859375
21.583,4823.06,1095000,4616.14,219,219,44.0878,-1279.4320068359375
21.5895,4835.93,1100000,4674.67,220,220,44.3495,-1272.5372314453125
21.7988,4851.18,1105000,4679.82,221,221,44.2407,-1278.869140625
21.7319,4874.71,1110000,4751.78,222,222,44.0768,-1301.4984130859375
21.1886,4704.58,1115000,4392.93,223,223,44.6409,-1293.5250244140625
21.7387,4825.23,1120000,4646.96,224,224,44.5314,-1324.5673828125
21.5759,4900.72,1125000,4748.46,225,225,44.0197,-1326.1298828125
20.7331,4904.01,1130000,4683.37,226,226,44.4476,-1314.8013916015625
20.1014,4855.26,1135000,4678.32,227,227,43.5832,-1313.6224365234375
20.9517,4888.47,1140000,4668.14,228,228,43.8319,-1336.498046875
20.6655,4844.79,1145000,4639.34,229,229,44.4607,-1347.2010498046875
20.8094,4824.36,1150000,4632.26,230,230,43.7116,-1366.9913330078125
20.6837,4741.43,1155000,4562.96,231,231,43.3139,-1366.6666259765625
19.6874,4883.08,1160000,4541.29,232,232,43.1586,-1380.8031005859375
19.31,4737.91,1165000,4452.15,233,233,43.8988,-1396.11572265625
20.163,4852.06,1170000,4647.36,234,234,43.8535,-1421.8570556640625
19.78,4738.36,1175000,4672.18,235,235,43.3328,-1423.1844482421875
19.3329,4474.59,1180000,4572.65,236,236,42.8723,-1416.5789794921875
19.2307,4965.66,1185000,4776.2,237,237,42.829,-1413.8841552734375
19.8881,4828.83,1190000,4632.27,238,238,43.945,-1451.422607421875
19.9089,5006.71,1195000,4764.38,239,239,43.5225,-1466.2275390625
20.0647,4941.06,1200000,4705.42,240,240,43.6033,-1492.697509765625
20.1889,4876.77,1205000,4715.06,241,241,44.2145,-1462.2440185546875
19.6622,4818.27,1210000,4412.55,242,242,42.9194,-1479.350830078125
19.3087,4698.64,1215000,3688.2,243,243,42.2035,-1531.270263671875
20.2905,4712.35,1220000,4409.08,244,244,43.4641,-1508.623779296875
20.3056,4648.15,1225000,4350.85,245,245,42.5252,-1537.392578125
20.6724,4694.14,1230000,3995.52,246,246,43.9278,-1564.4730224609375
20.1113,4964.73,1235000,4635.46,247,247,42.626,-1523.6265869140625
19.102,4585.93,1240000,4680.63,248,248,42.8827,-1514.7752685546875
20.4799,4910.31,1245000,4789.76,249,249,43.5635,-1583.548828125
20.2359,4960.09,1250000,4821.66,250,250,43.6869,-1590.2667236328125
20.3233,4903.66,1255000,4770.3,251,251,42.9247,-1590.265380859375
20.714,4965.64,1260000,4802.72,252,252,43.7864,-1617.295166015625
19.8269,4942.94,1265000,4690.8,253,253,42.3708,-1607.1239013671875
20.7342,4934.09,1270000,4819.89,254,254,42.2785,-1619.3623046875
20.0861,4872.27,1275000,4788.13,255,255,43.1974,-1622.7607421875
19.6245,4933.75,1280000,4797.39,256,256,42.922,-1585.64453125
19.0809,4857.9,1285000,4711.99,257,257,42.2425,-1635.60693359375
20.678,4932.92,1290000,4844.56,258,258,42.6655,-1670.78564453125
19.759,4891.16,1295000,4749.75,259,259,43.5631,-1670.97802734375
20.5029,4914.02,1300000,4777.7,260,260,43.3344,-1716.519775390625
20.3121,4946.08,1305000,4629.39,261,261,43.3384,-1740.143798828125
20.0472,4900.34,1310000,4816.29,262,262,42.5807,-1736.14306640625
20.0414,4878.73,1315000,4661.34,263,263,43.2016,-1743.8367919921875
20.8644,4899.84,1320000,4669.26,264,264,43.8761,-1796.7744140625
20.5721,4975.68,1325000,4833.85,265,265,43.6231,-1784.4710693359375
19.7605,4887.73,1330000,4745.84,266,266,43.7529,-1783.4532470703125
19.8826,4931.74,1335000,4779.91,267,267,43.1814,-1784.0986328125
20.2406,4899.87,1340000,4787.84,268,268,43.1295,-1834.044677734375
19.6221,4906.13,1345000,4803.7,269,269,43.0669,-1833.5362548828125
19.7763,4948.76,1350000,4797.04,270,270,42.9817,-1846.1932373046875
19.97,4959.04,1355000,4569.37,271,271,42.7781,-1846.3839111328125
19.8411,4981.87,1360000,4784.3,272,272,42.7473,-1871.174560546875
19.7368,4901.48,1365000,4743.27,273,273,42.8141,-1883.0255126953125
19.2816,4882.46,1370000,4766.52,274,274,43.0458,-1896.1319580078125
19.103,4997.01,1375000,4849.77,275,275,43.158,-1873.0443115234375
18.939,4952.45,1380000,4787.14,276,276,43.0016,-1910.927490234375
19.4792,4996.06,1385000,4855.63,277,277,42.7074,-1894.0341796875
18.9741,4994.31,1390000,4808.39,278,278,43.0107,-1949.848388671875
18.853,4940.39,1395000,4773.21,279,279,42.9778,-1948.232666015625
19.6148,5005.29,1400000,4759.75,280,280,43.0711,-1990.3563232421875
19.6358,4945.08,1405000,4638.34,281,281,42.8069,-2012.6065673828125
19.3581,4894.58,1410000,4778.72,282,282,43.5402,-2007.3056640625
19.6972,4911.45,1415000,4759.14,283,283,43.0787,-2037.548583984375
18.8623,4948.29,1420000,4745.07,284,284,42.6255,-2026.3013916015625
19.1487,4872.57,1425000,4757.43,285,285,43.2715,-2119.444091796875
19.496,4880.45,1430000,4741.01,286,286,42.9043,-2132.624267578125
19.5808,4844.82,1435000,4469.36,287,287,43.1693,-2150.2734375
19.3844,4873.39,1440000,4761.09,288,288,42.35,-2103.709228515625
19.0332,4928.87,1445000,4793.07,289,289,42.9521,-2115.78076171875
18.9547,4922.64,1450000,4777.0,290,290,42.6773,-2128.33447265625
18.8188,4865.32,1455000,4767.5,291,291,42.2969,-2103.351806640625
72.7202,401.39,1460000,512.64,292,292,51.0218,-1294.5574951171875
18.5743,732.6,1465000,462.94,293,293,49.7869,-2217.900634765625
25.809,505.72,1470000,467.24,294,294,49.6724,-2430.575927734375
33.087,421.03,1475000,406.42,295,295,48.3704,-1851.717529296875
49.9554,564.33,1480000,417.71,296,296,48.2507,-1603.8837890625
18.0208,734.12,1485000,618.03,297,297,47.4229,-2266.148193359375
27.1955,1467.94,1490000,1366.18,298,298,46.1856,-1859.712158203125
17.7664,1076.01,1495000,2202.8,299,299,45.1673,-1985.0330810546875
18.0727,988.41,1500000,1924.15,300,300,45.2628,-2129.2333984375
19.4138,2926.28,1505000,3112.77,301,301,45.0092,-2322.846923828125
18.3956,4391.32,1510000,4111.19,302,302,44.6157,-2225.391357421875
17.3646,4235.84,1515000,3048.81,303,303,44.543,-2241.98779296875
17.4735,3110.93,1520000,2268.62,304,304,45.0424,-2120.1982421875
20.6293,2923.78,1525000,2889.15,305,305,44.5234,-2141.755859375
19.7855,4621.61,1530000,2956.13,306,306,44.1324,-2191.252197265625
20.046,4759.23,1535000,3294.39,307,307,44.0938,-2296.960693359375
20.1863,4602.3,1540000,3600.45,308,308,44.3297,-2294.96337890625
20.8386,4605.71,1545000,3693.33,309,309,44.539,-2350.135498046875
21.8878,4570.5,1550000,4178.08,310,310,44.2542,-2537.882080078125
19.6268,4693.57,1555000,4156.97,311,311,43.8488,-2412.81689453125
21.0348,4601.9,1560000,4297.75,312,312,43.1554,-2458.125
20.5089,4646.51,1565000,4173.34,313,313,42.9042,-2480.679931640625
21.2018,4690.36,1570000,4275.58,314,314,43.8255,-2541.864501953125
22.7726,3421.11,1575000,4415.6,315,315,43.7257,-2597.088134765625
23.8516,4299.54,1580000,4353.46,316,316,44.0238,-2656.9658203125
23.325,3286.43,1585000,4372.16,317,317,43.703,-2622.285400390625
23.032,4296.66,1590000,4626.96,318,318,43.8515,-2646.303955078125
24.2061,4037.96,1595000,4300.1,319,319,44.6056,-2724.626953125
23.7641,3975.59,1600000,4779.81,320,320,44.4683,-2727.2529296875
