Running Reverse KL,Real Sto Return,Running Forward KL,Running Env Steps,Reward Loss,Real Det Return,Itration,Running Update Time
14.5587,3194.71,22.5151,680000,-2483.074951171875,3188.92,136,136
13.8563,3195.56,22.1368,685000,-2414.92041015625,3197.35,137,137
13.9572,3193.14,22.225,690000,-2434.870361328125,3206.61,138,138
14.0378,3214.14,22.1738,695000,-2389.1943359375,3221.31,139,139
14.016,3222.58,22.0396,700000,-2525.0380859375,3227.53,140,140
13.8382,3192.72,22.0857,705000,-2519.61083984375,3196.47,141,141
14.1141,3218.36,22.1268,710000,-2433.12109375,3229.89,142,142
13.8163,3132.58,22.0236,715000,-2187.37158203125,3199.68,143,143
14.004,3185.59,21.8229,720000,-2575.589111328125,3194.27,144,144
13.8476,3214.5,22.467,725000,-2489.035888671875,3213.54,145,145
12.2908,3204.05,20.9934,730000,-2415.886962890625,3214.07,146,146
13.9292,3201.68,21.7778,735000,-2600.607666015625,3210.17,147,147
13.7079,3121.96,21.9078,740000,-2911.1923828125,3184.77,148,148
12.1785,3224.43,20.4429,745000,-2170.79541015625,3247.45,149,149
13.4574,3210.53,21.5562,750000,-2671.576416015625,3223.01,150,150
12.4488,3231.14,20.9043,755000,-2451.728271484375,3233.64,151,151
13.7398,3206.48,21.6781,760000,-2556.05859375,3220.71,152,152
14.0206,3180.32,22.2894,765000,-2930.049560546875,3191.5,153,153
14.4623,3178.67,22.3875,770000,-2992.292236328125,3191.14,154,154
13.6502,3210.36,22.4026,775000,-2908.538818359375,3234.41,155,155
14.0776,3187.5,22.0008,780000,-2846.91357421875,3194.17,156,156
12.899,3197.72,21.4196,785000,-2672.545166015625,3196.09,157,157
13.9109,3201.55,21.8561,790000,-2647.89404296875,3214.81,158,158
14.1173,3226.65,21.8701,795000,-2641.3212890625,3226.11,159,159
14.0945,3195.57,22.3528,800000,-2949.41455078125,3216.27,160,160
13.7659,3182.28,21.9112,805000,-2996.635498046875,3179.06,161,161
13.8889,3215.58,21.8763,810000,-2954.395751953125,3226.72,162,162
13.0449,3193.78,21.4018,815000,-2829.79248046875,3218.45,163,163
13.3095,3155.61,21.6375,820000,-2612.532958984375,3250.72,164,164
13.685,3172.69,22.0513,825000,-3161.079345703125,3185.11,165,165
13.6387,3167.29,21.5718,830000,-2990.785400390625,3180.81,166,166
12.9736,3174.45,21.7322,835000,-2950.128173828125,3167.94,167,167
12.3459,3119.98,20.7955,840000,-2759.681884765625,3208.49,168,168
13.2649,3194.8,21.7689,845000,-3056.765380859375,3188.91,169,169
14.3492,3221.63,22.4222,850000,-3043.443115234375,3260.77,170,170
12.1973,3187.59,21.0013,855000,-2963.408203125,3198.76,171,171
14.0762,3101.91,22.1794,860000,-3033.3505859375,3245.32,172,172
12.8918,3193.02,21.5558,865000,-2999.800048828125,3207.52,173,173
13.0409,3130.76,21.7374,870000,-3274.880615234375,3199.29,174,174
13.286,3149.21,21.8607,875000,-3274.785888671875,3155.5,175,175
12.7656,3160.05,20.9321,880000,-3017.747802734375,3168.66,176,176
13.5272,3210.18,21.7069,885000,-3240.409423828125,3237.63,177,177
14.5785,3224.83,21.9916,890000,-3343.6826171875,3234.86,178,178
14.1092,3184.44,21.882,895000,-3377.145751953125,3179.58,179,179
14.0321,3178.89,21.7434,900000,-3439.537841796875,3193.65,180,180
13.9393,3206.2,21.9108,905000,-3433.4326171875,3221.37,181,181
13.105,3218.02,21.2515,910000,-3255.091552734375,3218.74,182,182
13.2457,3229.39,21.4485,915000,-3409.7451171875,3225.41,183,183
13.1312,3199.88,21.5788,920000,-3310.705322265625,3212.42,184,184
13.8196,3078.98,22.1014,925000,-3566.66748046875,3218.2,185,185
12.3118,3019.41,20.9996,930000,-3391.489990234375,3202.27,186,186
13.3054,3186.05,20.6991,935000,-3440.849365234375,3188.93,187,187
13.5049,3155.89,21.3799,940000,-3482.481689453125,3221.5,188,188
13.3353,3242.99,21.4905,945000,-3250.728759765625,3233.39,189,189
13.526,3101.01,21.8071,950000,-3666.78466796875,3215.0,190,190
12.7919,3201.58,21.2615,955000,-3385.33349609375,3208.65,191,191
13.6034,3220.89,21.5617,960000,-3487.05029296875,3225.89,192,192
12.5451,3167.15,20.6321,965000,-3526.023681640625,3228.56,193,193
13.1027,3101.92,21.0527,970000,-3351.050537109375,3216.41,194,194
12.7527,3120.32,20.5545,975000,-3176.431884765625,3228.57,195,195
13.487,3114.33,21.1311,980000,-3614.83544921875,3250.34,196,196
13.338,3100.17,20.8775,985000,-3220.2109375,3260.69,197,197
12.9274,3088.44,21.1497,990000,-3522.824462890625,3209.46,198,198
12.1734,3215.55,20.6722,995000,-3313.3232421875,3226.26,199,199
