Running Reverse KL,Reward Loss,Real Det Return,Real Sto Return,Running Forward KL,Running Update Time,Running Env Steps,Itration
20.6866,-2726.331787109375,3495.59,2663.5,20.8321,177,885000,177
15.0216,-2042.688720703125,3477.99,3007.58,19.9128,178,890000,178
12.5169,-1549.8013916015625,3255.41,2897.91,19.8107,179,895000,179
12.8524,-1230.9075927734375,3387.26,3140.61,19.3362,180,900000,180
11.7695,-1725.5042724609375,3514.3,3193.94,19.882,181,905000,181
13.3594,-1230.1929931640625,3523.5,3194.26,20.2259,182,910000,182
13.8702,-1657.255615234375,3441.0,3189.68,20.3136,183,915000,183
12.7461,-1938.83447265625,3551.67,2784.02,20.3695,184,920000,184
12.1572,-1473.1090087890625,3027.55,2684.93,19.7223,185,925000,185
12.9329,-954.2640991210938,3518.11,3287.26,19.5712,186,930000,186
13.7376,-2013.5526123046875,1835.36,2442.61,20.4058,187,935000,187
12.8447,-1883.230712890625,3515.77,3000.7,20.3744,188,940000,188
12.474,-1114.1357421875,3516.85,3032.8,19.6514,189,945000,189
13.0191,-2151.2705078125,3563.99,3033.79,20.489,190,950000,190
12.9073,-1013.506591796875,3160.64,3121.7,19.4929,191,955000,191
11.8742,-1097.43798828125,3463.77,3148.1,18.7603,192,960000,192
12.8344,-2601.764892578125,3334.02,2516.84,20.7628,193,965000,193
12.9706,-2431.20751953125,3177.48,2533.9,20.4958,194,970000,194
12.9717,-2799.1201171875,3317.55,2655.25,20.8088,195,975000,195
12.5473,-1980.228271484375,3476.6,3235.57,19.4274,196,980000,196
12.921,-2422.91015625,2657.96,2550.39,20.3209,197,985000,197
29.1654,-3337.201904296875,3346.3,2335.15,20.8306,198,990000,198
13.0105,-1661.826416015625,3545.68,3339.57,19.8278,199,995000,199
